ALL SEQUENCING RUNS

IN VITRO
5728-27-00-01    17-NSTY1
5728-28-00-01    18-NSGR1
5728-29-00-01    19-NSTY2
5728-30-00-01    20-NSGR2
5728-31-00-01    21-WTTY1
5728-32-00-01    22-WTGR1
5728-33-00-01    23-WTTY2
5728-34-00-01    24-WTGR2

RHIZOSPHERE
4305P2-01-0-1    N1I NSI1
4305P2-02-0-1    N3I NSI3
4305P2-03-0-1    W1I WTI1
4305P2-04-0-1    W3I WTI3
4305P2-05-0-1    RT1 NS1NFR5
4305P2-06-0-1    RT2 NS3NFR5
4305P2-07-0-1    RT3 NS1GIFU
4305P2-08-0-1    RT4 NS3GIFU
4305P2-09-0-1    RT5 WT1NFR5
4305P2-10-0-1    RT6 WT3NFR5
4305P2-11-0-1    RT7 WT1GIFU
4305P2-12-0-1    RT8 WT3GIFU
4305P2-13-0-1    N1C NS1COL0
4305P2-14-0-1    N3C NS3COL0
4305P2-15-0-1    W1C WT1COL0
4305P2-16-0-1    W3C WT3COL0

PRELIM RHIZOSPHERES
5237-01-00-01    Gf-R-NS
5237-02-00-01    Gf-R-WT
5237-03-00-01    Nf-R-NS
5237-04-00-01    Nf-R-WT

PRELIM INPUT POOLS
4817-01		 WT1
4817-02		 WT3
4817-03		 NS1
4817-04		 NS3
4817-05		 WT1-01DNA
4817-06		 WT1-001DNA
