locus_tag	ins_index.NSES	ins_index.WTES
R7A2020_00005	0.000	0.000
R7A2020_00010	0.000	0.000
R7A2020_00015	0.162	0.140
R7A2020_00020	0.190	0.173
R7A2020_00025	0.206	0.197
R7A2020_00030	0.181	0.203
R7A2020_00035	0.000	0.004
R7A2020_00040	0.184	0.181
R7A2020_00045	0.109	0.114
R7A2020_00050	0.000	0.000
R7A2020_00055	0.001	0.000
R7A2020_00060	0.165	0.156
R7A2020_00065	0.152	0.129
R7A2020_00070	0.165	0.135
R7A2020_00075	0.004	0.001
R7A2020_00080	0.004	0.004
R7A2020_00085	0.167	0.175
R7A2020_00090	0.124	0.114
R7A2020_00095	0.131	0.136
R7A2020_00100	0.001	0.001
R7A2020_00105	0.022	0.013
R7A2020_00110	0.015	0.015
R7A2020_00115	0.024	0.014
R7A2020_00120	0.106	0.142
R7A2020_00125	0.176	0.157
R7A2020_00130	0.002	0.005
R7A2020_00135	0.078	0.073
R7A2020_00140	0.106	0.126
R7A2020_00145	0.195	0.209
R7A2020_00150	0.210	0.188
R7A2020_00155	0.177	0.175
R7A2020_00160	0.230	0.184
R7A2020_00165	0.077	0.038
R7A2020_00165	0.077	0.038
R7A2020_00170	0.198	0.189
R7A2020_00175	0.212	0.191
R7A2020_00180	0.178	0.163
R7A2020_00185	0.192	0.178
R7A2020_00190	0.003	0.002
R7A2020_00195	0.152	0.153
R7A2020_00200	0.163	0.145
R7A2020_00205	0.150	0.159
R7A2020_00210	0.169	0.152
R7A2020_00215	0.139	0.184
R7A2020_00220	0.141	0.125
R7A2020_00225	0.034	0.019
R7A2020_00230	0.201	0.194
R7A2020_00235	0.193	0.180
R7A2020_00240	0.235	0.228
R7A2020_00245	0.201	0.198
R7A2020_00250	0.170	0.143
R7A2020_00255	0.188	0.146
R7A2020_00260	0.175	0.155
R7A2020_00265	0.196	0.179
R7A2020_00270	0.166	0.157
R7A2020_00275	0.142	0.152
R7A2020_00280	0.219	0.254
R7A2020_00285	0.170	0.196
R7A2020_00290	0.158	0.126
R7A2020_00295	0.221	0.217
R7A2020_00300	0.002	0.001
R7A2020_00305	0.000	0.000
R7A2020_00310	0.185	0.190
R7A2020_00315	0.205	0.180
R7A2020_00320	0.169	0.184
R7A2020_00325	0.166	0.190
R7A2020_00330	0.000	0.002
R7A2020_00335	0.080	0.085
R7A2020_00340	0.123	0.120
R7A2020_00345	0.142	0.137
R7A2020_00350	0.137	0.093
R7A2020_00355	0.133	0.117
R7A2020_00360	0.159	0.130
R7A2020_00365	0.149	0.180
R7A2020_00370	0.143	0.161
R7A2020_00375	0.141	0.163
R7A2020_00380	0.197	0.175
R7A2020_00385	0.210	0.204
R7A2020_00390	0.142	0.133
R7A2020_00395	0.174	0.150
R7A2020_00400	0.015	0.000
R7A2020_00405	0.173	0.142
R7A2020_00410	0.139	0.139
R7A2020_00415	0.225	0.197
R7A2020_00420	0.109	0.094
R7A2020_00425	0.041	0.026
R7A2020_00430	0.199	0.203
R7A2020_00435	0.227	0.196
R7A2020_00440	0.195	0.176
R7A2020_00445	0.164	0.176
R7A2020_00450	0.157	0.143
R7A2020_00455	0.186	0.177
R7A2020_00460	0.190	0.175
R7A2020_00465	0.158	0.156
R7A2020_00470	0.160	0.154
R7A2020_00475	0.125	0.123
R7A2020_00480	0.142	0.127
R7A2020_00485	0.135	0.148
R7A2020_00490	0.169	0.159
R7A2020_00495	0.168	0.194
R7A2020_00500	0.174	0.185
R7A2020_00505	0.143	0.155
R7A2020_00510	0.154	0.142
R7A2020_00515	0.161	0.159
R7A2020_00520	0.180	0.142
R7A2020_00525	0.166	0.178
R7A2020_00530	0.168	0.166
R7A2020_00535	0.110	0.102
R7A2020_00540	0.149	0.134
R7A2020_00545	0.137	0.152
R7A2020_00550	0.191	0.191
R7A2020_00555	0.195	0.158
R7A2020_00560	0.152	0.145
R7A2020_00565	0.216	0.201
R7A2020_00570	0.181	0.167
R7A2020_00575	0.205	0.137
R7A2020_00580	0.138	0.136
R7A2020_00585	0.170	0.135
R7A2020_00590	0.221	0.176
R7A2020_00595	0.167	0.167
R7A2020_00600	0.215	0.220
R7A2020_00605	0.136	0.144
R7A2020_00610	0.168	0.142
R7A2020_00615	0.178	0.190
R7A2020_00620	0.155	0.170
R7A2020_00625	0.191	0.186
R7A2020_00630	0.150	0.145
R7A2020_00635	0.243	0.205
R7A2020_00640	0.115	0.115
R7A2020_00645	0.013	0.016
R7A2020_00650	0.149	0.229
R7A2020_00655	0.209	0.207
R7A2020_00660	0.193	0.200
R7A2020_00665	0.184	0.164
R7A2020_00670	0.195	0.150
R7A2020_00675	0.173	0.161
R7A2020_00680	0.143	0.117
R7A2020_00685	0.136	0.114
R7A2020_00690	0.153	0.148
R7A2020_00695	0.167	0.176
R7A2020_00700	0.168	0.165
R7A2020_00705	0.134	0.178
R7A2020_00710	0.170	0.172
R7A2020_00715	0.135	0.155
R7A2020_00720	0.164	0.138
R7A2020_00725	0.153	0.160
R7A2020_00730	0.190	0.171
R7A2020_00735	0.124	0.139
R7A2020_00740	0.156	0.185
R7A2020_00745	0.156	0.174
R7A2020_00750	0.169	0.159
R7A2020_00755	0.147	0.175
R7A2020_00760	0.169	0.160
R7A2020_00765	0.193	0.189
R7A2020_00770	0.162	0.154
R7A2020_00775	0.151	0.159
R7A2020_00780	0.153	0.154
R7A2020_00785	0.182	0.174
R7A2020_00790	0.145	0.154
R7A2020_00795	0.079	0.059
R7A2020_00800	0.184	0.193
R7A2020_00805	0.202	0.208
R7A2020_00810	0.171	0.172
R7A2020_00815	0.160	0.153
R7A2020_00820	0.105	0.105
R7A2020_00825	0.233	0.223
R7A2020_00830	0.167	0.202
R7A2020_00835	0.111	0.093
R7A2020_00840	0.183	0.153
R7A2020_00845	0.121	0.128
R7A2020_00850	0.173	0.167
R7A2020_00855	0.165	0.168
R7A2020_00860	0.162	0.179
R7A2020_00865	0.169	0.099
R7A2020_00870	0.147	0.187
R7A2020_00875	0.010	0.005
R7A2020_00880	0.189	0.152
R7A2020_00885	0.196	0.174
R7A2020_00890	0.133	0.130
R7A2020_00895	0.200	0.148
R7A2020_00900	0.225	0.238
R7A2020_00905	0.149	0.174
R7A2020_00910	0.205	0.200
R7A2020_00915	0.184	0.156
R7A2020_00920	0.202	0.193
R7A2020_00925	0.189	0.176
R7A2020_00930	0.197	0.211
R7A2020_00935	0.167	0.179
R7A2020_00940	0.208	0.184
R7A2020_00945	0.138	0.115
R7A2020_00950	0.085	0.083
R7A2020_00955	0.001	0.000
R7A2020_00960	0.133	0.139
R7A2020_00965	0.132	0.163
R7A2020_00970	0.001	0.001
R7A2020_00975	0.158	0.158
R7A2020_00980	0.031	0.031
R7A2020_00985	0.120	0.129
R7A2020_00990	0.156	0.161
R7A2020_00995	0.190	0.158
R7A2020_01000	0.111	0.111
R7A2020_01005	0.054	0.094
R7A2020_01010	0.157	0.120
R7A2020_01015	0.170	0.151
R7A2020_01020	0.076	0.081
R7A2020_01025	0.155	0.163
R7A2020_01030	0.175	0.176
R7A2020_01035	0.143	0.139
R7A2020_01040	0.160	0.184
R7A2020_01045	0.131	0.146
R7A2020_01050	0.139	0.129
R7A2020_01055	0.127	0.130
R7A2020_01060	0.222	0.193
R7A2020_01065	0.155	0.149
R7A2020_01070	0.146	0.140
R7A2020_01075	0.155	0.162
R7A2020_01080	0.156	0.170
R7A2020_01085	0.157	0.172
R7A2020_01090	0.205	0.182
R7A2020_01095	0.192	0.182
R7A2020_01100	0.124	0.127
R7A2020_01105	0.125	0.124
R7A2020_01110	0.160	0.158
R7A2020_01115	0.199	0.201
R7A2020_01120	0.200	0.221
R7A2020_01125	0.068	0.105
R7A2020_01130	0.140	0.111
R7A2020_01135	0.136	0.134
R7A2020_01140	0.166	0.136
R7A2020_01145	0.173	0.158
R7A2020_01150	0.007	0.010
R7A2020_01155	0.134	0.120
R7A2020_01160	0.015	0.022
R7A2020_01165	0.010	0.011
R7A2020_01170	0.146	0.156
R7A2020_01175	0.010	0.011
R7A2020_01180	0.001	0.002
R7A2020_01185	0.186	0.145
R7A2020_01190	0.029	0.029
R7A2020_01195	0.125	0.131
R7A2020_01200	0.199	0.148
R7A2020_01205	0.040	0.037
R7A2020_01210	0.097	0.092
R7A2020_01215	0.152	0.158
R7A2020_01220	0.084	0.107
R7A2020_01225	0.223	0.211
R7A2020_01230	0.115	0.092
R7A2020_01235	0.141	0.165
R7A2020_01240	0.257	0.230
R7A2020_01245	0.211	0.193
R7A2020_01250	0.163	0.153
R7A2020_01255	0.194	0.165
R7A2020_01260	0.085	0.081
R7A2020_01260	0.085	0.081
R7A2020_01265	0.076	0.090
R7A2020_01270	0.006	0.001
R7A2020_01275	0.005	0.004
R7A2020_01280	0.191	0.196
R7A2020_01285	0.157	0.143
R7A2020_01290	0.150	0.155
R7A2020_01295	0.181	0.188
R7A2020_01300	0.142	0.166
R7A2020_01305	0.176	0.196
R7A2020_01310	0.153	0.143
R7A2020_01315	0.160	0.158
R7A2020_01320	0.154	0.145
R7A2020_01325	0.157	0.171
R7A2020_01330	0.161	0.150
R7A2020_01335	0.162	0.150
R7A2020_01340	0.157	0.172
R7A2020_01345	0.162	0.149
R7A2020_01350	0.179	0.173
R7A2020_01355	0.182	0.193
R7A2020_01360	0.181	0.186
R7A2020_01365	0.180	0.187
R7A2020_01370	0.146	0.163
R7A2020_01375	0.167	0.185
R7A2020_01380	0.184	0.200
R7A2020_01385	0.160	0.147
R7A2020_01390	0.224	0.204
R7A2020_01395	0.195	0.199
R7A2020_01400	0.147	0.159
R7A2020_01405	0.195	0.190
R7A2020_01410	0.146	0.160
R7A2020_01415	0.000	0.000
R7A2020_01420	0.033	0.021
R7A2020_01425	0.001	0.000
R7A2020_01430	0.117	0.088
R7A2020_01435	0.006	0.005
R7A2020_01440	0.162	0.183
R7A2020_01445	0.209	0.194
R7A2020_01450	0.239	0.229
R7A2020_01455	0.212	0.200
R7A2020_01460	0.218	0.202
R7A2020_01465	0.161	0.154
R7A2020_01470	0.172	0.197
R7A2020_01475	0.222	0.219
R7A2020_01480	0.177	0.177
R7A2020_01485	0.153	0.144
R7A2020_01490	0.195	0.218
R7A2020_01495	0.180	0.173
R7A2020_01500	0.138	0.177
R7A2020_01505	0.149	0.139
R7A2020_01510	0.191	0.178
R7A2020_01515	0.130	0.167
R7A2020_01520	0.166	0.172
R7A2020_01525	0.000	0.000
R7A2020_01530	0.169	0.161
R7A2020_01535	0.170	0.144
R7A2020_01540	0.223	0.176
R7A2020_01545	0.172	0.167
R7A2020_01550	0.135	0.094
R7A2020_01555	0.138	0.148
R7A2020_01560	0.117	0.148
R7A2020_01565	0.086	0.093
R7A2020_01570	0.165	0.137
R7A2020_01575	0.200	0.192
R7A2020_01580	0.194	0.202
R7A2020_01585	0.175	0.161
R7A2020_01590	0.271	0.261
R7A2020_01595	0.124	0.141
R7A2020_01600	0.209	0.189
R7A2020_01605	0.152	0.159
R7A2020_01610	0.172	0.159
R7A2020_01615	0.141	0.135
R7A2020_01620	0.141	0.140
R7A2020_01625	0.144	0.117
R7A2020_01630	0.153	0.141
R7A2020_01635	0.214	0.190
R7A2020_01640	0.245	0.217
R7A2020_01645	0.189	0.178
R7A2020_01650	0.144	0.187
R7A2020_01655	0.223	0.191
R7A2020_01660	0.135	0.145
R7A2020_01665	0.115	0.099
R7A2020_01670	0.110	0.110
R7A2020_01675	0.124	0.156
R7A2020_01680	0.143	0.117
R7A2020_01685	0.144	0.129
R7A2020_01690	0.182	0.174
R7A2020_01695	0.192	0.189
R7A2020_01700	0.183	0.187
R7A2020_01705	0.188	0.160
R7A2020_01710	0.161	0.177
R7A2020_01715	0.155	0.143
R7A2020_01720	0.166	0.161
R7A2020_01725	0.182	0.175
R7A2020_01730	0.188	0.174
R7A2020_01735	0.152	0.120
R7A2020_01740	0.159	0.155
R7A2020_01745	0.181	0.180
R7A2020_01750	0.158	0.143
R7A2020_01755	0.163	0.146
R7A2020_01760	0.150	0.183
R7A2020_01765	0.225	0.184
R7A2020_01770	0.166	0.155
R7A2020_01775	0.155	0.137
R7A2020_01780	0.174	0.198
R7A2020_01785	0.170	0.152
R7A2020_01790	0.169	0.168
R7A2020_01795	0.167	0.179
R7A2020_01800	0.189	0.170
R7A2020_01805	0.182	0.165
R7A2020_01810	0.209	0.182
R7A2020_01815	0.172	0.183
R7A2020_01820	0.189	0.182
R7A2020_01825	0.208	0.233
R7A2020_01830	0.168	0.170
R7A2020_01835	0.143	0.153
R7A2020_01840	0.143	0.165
R7A2020_01845	0.202	0.190
R7A2020_01850	0.120	0.122
R7A2020_01855	0.145	0.145
R7A2020_01860	0.163	0.143
R7A2020_01865	0.167	0.155
R7A2020_01870	0.163	0.141
R7A2020_01875	0.112	0.116
R7A2020_01880	0.103	0.098
R7A2020_01885	0.075	0.080
R7A2020_01890	0.154	0.129
R7A2020_01895	0.168	0.121
R7A2020_01900	0.207	0.174
R7A2020_01905	0.190	0.174
R7A2020_01910	0.149	0.154
R7A2020_01915	0.002	0.002
R7A2020_01920	0.005	0.001
R7A2020_01925	0.036	0.025
R7A2020_01930	0.003	0.000
R7A2020_01935	0.028	0.051
R7A2020_01935	0.028	0.051
R7A2020_01935	0.028	0.051
R7A2020_01940	0.050	0.042
R7A2020_01945	0.001	0.001
R7A2020_01950	0.051	0.057
R7A2020_01955	0.134	0.130
