locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_00005	0.000	0.000
R7A2020_00010	0.000	0.000
R7A2020_00015	0.041	0.039
R7A2020_00020	0.062	0.037
R7A2020_00025	0.049	0.042
R7A2020_00030	0.043	0.052
R7A2020_00035	0.000	0.002
R7A2020_00040	0.063	0.090
R7A2020_00045	0.027	0.041
R7A2020_00050	0.000	0.000
R7A2020_00055	0.000	0.000
R7A2020_00060	0.047	0.047
R7A2020_00065	0.041	0.040
R7A2020_00070	0.045	0.045
R7A2020_00075	0.001	0.000
R7A2020_00080	0.000	0.000
R7A2020_00085	0.048	0.068
R7A2020_00090	0.035	0.036
R7A2020_00095	0.044	0.049
R7A2020_00100	0.000	0.000
R7A2020_00105	0.004	0.002
R7A2020_00110	0.002	0.004
R7A2020_00115	0.002	0.007
R7A2020_00120	0.050	0.028
R7A2020_00125	0.047	0.065
R7A2020_00130	0.000	0.003
R7A2020_00135	0.020	0.045
R7A2020_00140	0.021	0.030
R7A2020_00145	0.060	0.077
R7A2020_00150	0.052	0.071
R7A2020_00155	0.080	0.065
R7A2020_00160	0.074	0.057
R7A2020_00165	0.014	0.002
R7A2020_00165	0.014	0.002
R7A2020_00170	0.048	0.066
R7A2020_00175	0.053	0.069
R7A2020_00180	0.059	0.063
R7A2020_00185	0.076	0.071
R7A2020_00190	0.002	0.000
R7A2020_00195	0.060	0.049
R7A2020_00200	0.048	0.046
R7A2020_00205	0.048	0.055
R7A2020_00210	0.060	0.051
R7A2020_00215	0.038	0.045
R7A2020_00220	0.050	0.038
R7A2020_00225	0.016	0.009
R7A2020_00230	0.069	0.063
R7A2020_00235	0.047	0.054
R7A2020_00240	0.079	0.081
R7A2020_00245	0.072	0.051
R7A2020_00250	0.046	0.033
R7A2020_00255	0.059	0.043
R7A2020_00260	0.049	0.055
R7A2020_00265	0.059	0.061
R7A2020_00270	0.041	0.049
R7A2020_00275	0.036	0.055
R7A2020_00280	0.056	0.058
R7A2020_00285	0.049	0.066
R7A2020_00290	0.032	0.037
R7A2020_00295	0.058	0.091
R7A2020_00300	0.001	0.000
R7A2020_00305	0.000	0.000
R7A2020_00310	0.067	0.092
R7A2020_00315	0.071	0.061
R7A2020_00320	0.042	0.084
R7A2020_00325	0.056	0.069
R7A2020_00330	0.000	0.000
R7A2020_00335	0.014	0.031
R7A2020_00340	0.033	0.048
R7A2020_00345	0.045	0.046
R7A2020_00350	0.063	0.038
R7A2020_00355	0.056	0.041
R7A2020_00360	0.065	0.059
R7A2020_00365	0.047	0.052
R7A2020_00370	0.037	0.055
R7A2020_00375	0.033	0.069
R7A2020_00380	0.054	0.056
R7A2020_00385	0.061	0.075
R7A2020_00390	0.045	0.048
R7A2020_00395	0.040	0.045
R7A2020_00400	0.000	0.000
R7A2020_00405	0.037	0.031
R7A2020_00410	0.024	0.043
R7A2020_00415	0.050	0.055
R7A2020_00420	0.041	0.036
R7A2020_00425	0.008	0.008
R7A2020_00430	0.059	0.064
R7A2020_00435	0.064	0.068
R7A2020_00440	0.044	0.059
R7A2020_00445	0.052	0.060
R7A2020_00450	0.038	0.040
R7A2020_00455	0.058	0.040
R7A2020_00460	0.058	0.054
R7A2020_00465	0.049	0.049
R7A2020_00470	0.040	0.052
R7A2020_00475	0.043	0.043
R7A2020_00480	0.046	0.047
R7A2020_00485	0.057	0.042
R7A2020_00490	0.069	0.039
R7A2020_00495	0.041	0.049
R7A2020_00500	0.048	0.063
R7A2020_00505	0.057	0.053
R7A2020_00510	0.052	0.050
R7A2020_00515	0.038	0.046
R7A2020_00520	0.050	0.030
R7A2020_00525	0.065	0.065
R7A2020_00530	0.051	0.041
R7A2020_00535	0.028	0.008
R7A2020_00540	0.044	0.040
R7A2020_00545	0.035	0.043
R7A2020_00550	0.056	0.054
R7A2020_00555	0.050	0.043
R7A2020_00560	0.043	0.039
R7A2020_00565	0.051	0.052
R7A2020_00570	0.062	0.062
R7A2020_00575	0.038	0.048
R7A2020_00580	0.041	0.036
R7A2020_00585	0.058	0.040
R7A2020_00590	0.052	0.053
R7A2020_00595	0.054	0.057
R7A2020_00600	0.068	0.068
R7A2020_00605	0.057	0.074
R7A2020_00610	0.035	0.047
R7A2020_00615	0.055	0.057
R7A2020_00620	0.037	0.045
R7A2020_00625	0.046	0.058
R7A2020_00630	0.039	0.056
R7A2020_00635	0.057	0.066
R7A2020_00640	0.029	0.042
R7A2020_00645	0.002	0.002
R7A2020_00650	0.062	0.099
R7A2020_00655	0.077	0.071
R7A2020_00660	0.055	0.073
R7A2020_00665	0.059	0.051
R7A2020_00670	0.056	0.063
R7A2020_00675	0.058	0.051
R7A2020_00680	0.050	0.030
R7A2020_00685	0.030	0.042
R7A2020_00690	0.045	0.047
R7A2020_00695	0.059	0.051
R7A2020_00700	0.045	0.055
R7A2020_00705	0.048	0.059
R7A2020_00710	0.044	0.058
R7A2020_00715	0.027	0.049
R7A2020_00720	0.051	0.046
R7A2020_00725	0.066	0.046
R7A2020_00730	0.059	0.077
R7A2020_00735	0.040	0.038
R7A2020_00740	0.039	0.066
R7A2020_00745	0.042	0.054
R7A2020_00750	0.059	0.061
R7A2020_00755	0.047	0.061
R7A2020_00760	0.042	0.049
R7A2020_00765	0.049	0.049
R7A2020_00770	0.053	0.054
R7A2020_00775	0.050	0.045
R7A2020_00780	0.047	0.044
R7A2020_00785	0.052	0.071
R7A2020_00790	0.040	0.047
R7A2020_00795	0.030	0.020
R7A2020_00800	0.056	0.060
R7A2020_00805	0.083	0.068
R7A2020_00810	0.046	0.050
R7A2020_00815	0.055	0.052
R7A2020_00820	0.020	0.017
R7A2020_00825	0.068	0.080
R7A2020_00830	0.057	0.042
R7A2020_00835	0.035	0.030
R7A2020_00840	0.064	0.047
R7A2020_00845	0.028	0.036
R7A2020_00850	0.061	0.055
R7A2020_00855	0.048	0.056
R7A2020_00860	0.041	0.075
R7A2020_00865	0.056	0.023
R7A2020_00870	0.047	0.065
R7A2020_00875	0.005	0.000
R7A2020_00880	0.039	0.071
R7A2020_00885	0.048	0.044
R7A2020_00890	0.039	0.037
R7A2020_00895	0.062	0.055
R7A2020_00900	0.059	0.079
R7A2020_00905	0.044	0.072
R7A2020_00910	0.056	0.064
R7A2020_00915	0.060	0.053
R7A2020_00920	0.056	0.063
R7A2020_00925	0.053	0.052
R7A2020_00930	0.053	0.058
R7A2020_00935	0.036	0.051
R7A2020_00940	0.064	0.070
R7A2020_00945	0.044	0.035
R7A2020_00950	0.028	0.031
R7A2020_00955	0.000	0.000
R7A2020_00960	0.040	0.049
R7A2020_00965	0.049	0.043
R7A2020_00970	0.000	0.000
R7A2020_00975	0.029	0.036
R7A2020_00980	0.014	0.004
R7A2020_00985	0.038	0.051
R7A2020_00990	0.044	0.064
R7A2020_00995	0.053	0.077
R7A2020_01000	0.021	0.035
R7A2020_01005	0.020	0.034
R7A2020_01010	0.026	0.049
R7A2020_01015	0.057	0.047
R7A2020_01020	0.015	0.022
R7A2020_01025	0.045	0.043
R7A2020_01030	0.057	0.060
R7A2020_01035	0.066	0.054
R7A2020_01040	0.046	0.080
R7A2020_01045	0.049	0.055
R7A2020_01050	0.037	0.036
R7A2020_01055	0.041	0.044
R7A2020_01060	0.076	0.094
R7A2020_01065	0.058	0.037
R7A2020_01070	0.044	0.052
R7A2020_01075	0.040	0.048
R7A2020_01080	0.060	0.055
R7A2020_01085	0.027	0.048
R7A2020_01090	0.066	0.062
R7A2020_01095	0.055	0.049
R7A2020_01100	0.047	0.041
R7A2020_01105	0.031	0.031
R7A2020_01110	0.045	0.057
R7A2020_01115	0.071	0.079
R7A2020_01120	0.058	0.071
R7A2020_01125	0.016	0.029
R7A2020_01130	0.031	0.039
R7A2020_01135	0.036	0.050
R7A2020_01140	0.053	0.045
R7A2020_01145	0.057	0.049
R7A2020_01150	0.002	0.003
R7A2020_01155	0.037	0.043
R7A2020_01160	0.001	0.006
R7A2020_01165	0.000	0.004
R7A2020_01170	0.038	0.064
R7A2020_01175	0.003	0.005
R7A2020_01180	0.000	0.001
R7A2020_01185	0.043	0.037
R7A2020_01190	0.008	0.002
R7A2020_01195	0.018	0.047
R7A2020_01200	0.043	0.046
R7A2020_01205	0.003	0.003
R7A2020_01210	0.031	0.033
R7A2020_01215	0.041	0.056
R7A2020_01220	0.021	0.040
R7A2020_01225	0.080	0.070
R7A2020_01230	0.038	0.031
R7A2020_01235	0.051	0.055
R7A2020_01240	0.084	0.075
R7A2020_01245	0.058	0.064
R7A2020_01250	0.046	0.046
R7A2020_01255	0.059	0.054
R7A2020_01260	0.013	0.025
R7A2020_01260	0.013	0.025
R7A2020_01265	0.017	0.028
R7A2020_01270	0.005	0.000
R7A2020_01275	0.003	0.002
R7A2020_01280	0.064	0.062
R7A2020_01285	0.051	0.048
R7A2020_01290	0.055	0.053
R7A2020_01295	0.060	0.064
R7A2020_01300	0.058	0.053
R7A2020_01305	0.049	0.067
R7A2020_01310	0.062	0.045
R7A2020_01315	0.047	0.056
R7A2020_01320	0.048	0.050
R7A2020_01325	0.031	0.057
R7A2020_01330	0.048	0.050
R7A2020_01335	0.050	0.046
R7A2020_01340	0.040	0.057
R7A2020_01345	0.057	0.044
R7A2020_01350	0.054	0.053
R7A2020_01355	0.061	0.082
R7A2020_01360	0.051	0.058
R7A2020_01365	0.042	0.044
R7A2020_01370	0.038	0.051
R7A2020_01375	0.036	0.066
R7A2020_01380	0.060	0.073
R7A2020_01385	0.050	0.041
R7A2020_01390	0.094	0.069
R7A2020_01395	0.060	0.074
R7A2020_01400	0.035	0.065
R7A2020_01405	0.060	0.066
R7A2020_01410	0.055	0.032
R7A2020_01415	0.000	0.000
R7A2020_01420	0.012	0.006
R7A2020_01425	0.001	0.000
R7A2020_01430	0.032	0.020
R7A2020_01435	0.001	0.000
R7A2020_01440	0.047	0.064
R7A2020_01445	0.055	0.045
R7A2020_01450	0.083	0.073
R7A2020_01455	0.054	0.056
R7A2020_01460	0.063	0.055
R7A2020_01465	0.059	0.053
R7A2020_01470	0.062	0.071
R7A2020_01475	0.062	0.063
R7A2020_01480	0.064	0.067
R7A2020_01485	0.043	0.045
R7A2020_01490	0.055	0.074
R7A2020_01495	0.058	0.059
R7A2020_01500	0.038	0.062
R7A2020_01505	0.046	0.043
R7A2020_01510	0.053	0.050
R7A2020_01515	0.052	0.056
R7A2020_01520	0.049	0.061
R7A2020_01525	0.000	0.000
R7A2020_01530	0.043	0.050
R7A2020_01535	0.055	0.032
R7A2020_01540	0.066	0.050
R7A2020_01545	0.050	0.063
R7A2020_01550	0.036	0.057
R7A2020_01555	0.050	0.065
R7A2020_01560	0.031	0.086
R7A2020_01565	0.020	0.040
R7A2020_01570	0.062	0.048
R7A2020_01575	0.067	0.066
R7A2020_01580	0.077	0.084
R7A2020_01585	0.054	0.061
R7A2020_01590	0.065	0.091
R7A2020_01595	0.030	0.064
R7A2020_01600	0.068	0.065
R7A2020_01605	0.035	0.057
R7A2020_01610	0.044	0.047
R7A2020_01615	0.042	0.039
R7A2020_01620	0.046	0.046
R7A2020_01625	0.047	0.018
R7A2020_01630	0.048	0.038
R7A2020_01635	0.062	0.055
R7A2020_01640	0.063	0.053
R7A2020_01645	0.049	0.060
R7A2020_01650	0.052	0.057
R7A2020_01655	0.066	0.044
R7A2020_01660	0.042	0.072
R7A2020_01665	0.032	0.027
R7A2020_01670	0.049	0.051
R7A2020_01675	0.043	0.059
R7A2020_01680	0.039	0.030
R7A2020_01685	0.026	0.051
R7A2020_01690	0.060	0.057
R7A2020_01695	0.070	0.062
R7A2020_01700	0.049	0.049
R7A2020_01705	0.053	0.041
R7A2020_01710	0.066	0.049
R7A2020_01715	0.051	0.045
R7A2020_01720	0.049	0.049
R7A2020_01725	0.047	0.065
R7A2020_01730	0.059	0.071
R7A2020_01735	0.057	0.038
R7A2020_01740	0.043	0.052
R7A2020_01745	0.050	0.056
R7A2020_01750	0.057	0.046
R7A2020_01755	0.053	0.054
R7A2020_01760	0.047	0.064
R7A2020_01765	0.056	0.056
R7A2020_01770	0.050	0.062
R7A2020_01775	0.042	0.054
R7A2020_01780	0.055	0.038
R7A2020_01785	0.053	0.063
R7A2020_01790	0.047	0.065
R7A2020_01795	0.043	0.059
R7A2020_01800	0.066	0.044
R7A2020_01805	0.060	0.060
R7A2020_01810	0.044	0.059
R7A2020_01815	0.054	0.058
R7A2020_01820	0.055	0.076
R7A2020_01825	0.073	0.061
R7A2020_01830	0.046	0.056
R7A2020_01835	0.043	0.043
R7A2020_01840	0.032	0.046
R7A2020_01845	0.049	0.061
R7A2020_01850	0.049	0.049
R7A2020_01855	0.042	0.043
R7A2020_01860	0.055	0.052
R7A2020_01865	0.048	0.040
R7A2020_01870	0.042	0.038
R7A2020_01875	0.023	0.056
R7A2020_01880	0.046	0.029
R7A2020_01885	0.017	0.023
R7A2020_01890	0.042	0.038
R7A2020_01895	0.032	0.033
R7A2020_01900	0.055	0.064
R7A2020_01905	0.045	0.045
R7A2020_01910	0.046	0.050
R7A2020_01915	0.000	0.000
R7A2020_01920	0.001	0.001
R7A2020_01925	0.005	0.003
R7A2020_01930	0.000	0.000
R7A2020_01935	0.008	0.004
R7A2020_01935	0.008	0.004
R7A2020_01935	0.008	0.004
R7A2020_01940	0.018	0.023
R7A2020_01945	0.000	0.000
R7A2020_01950	0.014	0.016
R7A2020_01955	0.042	0.035
