locus_tag,INPUT,RHIZO,GIFU,NFR5,COL0,ES,TY,GR,state
R7A2020_28750,0.026,0.061,0.033,0.023,0.022,0.102,0.045,0.035,NE
R7A2020_28755,0.021,0.035,0.016,0.014,0.012,0.084,0.036,0.03,NE
R7A2020_28760,0.001,0,0,0,0,0.006,0.004,0.001,ICE-ES
R7A2020_28765,0.008,0.023,0.01,0.012,0.006,0.061,0.033,0.025,NE
R7A2020_28770,0.02,0.033,0.02,0.02,0.007,0.052,0.013,0.016,NE
R7A2020_28775,0,0.002,0,0,0.002,0,0,0,ICE-ES
R7A2020_28780,0.01,0.025,0.009,0.005,0.01,0.054,0.027,0.022,NE
R7A2020_28785,0.015,0.023,0.007,0.012,0.006,0.054,0.024,0.009,NE
R7A2020_28790,0.033,0.04,0.022,0.018,0.011,0.087,0.029,0.007,NE
R7A2020_28795,0.011,0.048,0.016,0.021,0.021,0.037,0.011,0.011,NE
R7A2020_28800,0.063,0.086,0.023,0.039,0.055,0.172,0.063,0.023,NE
R7A2020_28805,0.047,0.074,0.036,0.031,0.03,0.125,0.041,0.027,NE
R7A2020_28810,0.049,0.092,0.054,0.033,0.04,0.132,0.059,0.031,NE
R7A2020_28815,0.042,0.084,0.044,0.031,0.039,0.128,0.05,0.037,NE
R7A2020_28820,0.042,0.072,0.035,0.027,0.024,0.114,0.046,0.026,NE
R7A2020_28825,0.023,0.086,0.023,0.031,0.039,0.102,0.047,0.016,NE
R7A2020_28830,0.047,0.079,0.045,0.029,0.032,0.119,0.045,0.042,NE
R7A2020_28835,0.042,0.064,0.037,0.02,0.026,0.127,0.049,0.034,NE
R7A2020_28840,0.039,0.07,0.035,0.028,0.024,0.081,0.024,0.015,NE
R7A2020_28845,0.026,0.061,0.026,0.03,0.02,0.093,0.039,0.02,NE
R7A2020_28850,0.048,0.072,0.033,0.029,0.037,0.132,0.061,0.041,NE
R7A2020_28855,0.034,0.056,0.021,0.026,0.034,0.086,0.026,0.013,NE
R7A2020_28860,0.04,0.063,0.033,0.029,0.019,0.103,0.038,0.03,NE
R7A2020_28865,0.04,0.07,0.035,0.033,0.026,0.128,0.055,0.037,NE
R7A2020_28870,0.055,0.091,0.049,0.039,0.032,0.152,0.061,0.05,NE
R7A2020_28875,0.06,0.072,0.033,0.029,0.034,0.162,0.058,0.052,NE
R7A2020_28880,0.049,0.086,0.037,0.031,0.032,0.142,0.058,0.052,NE
R7A2020_28885,0.052,0.082,0.04,0.036,0.032,0.136,0.048,0.041,NE
R7A2020_28890,0.056,0.107,0.06,0.047,0.043,0.197,0.082,0.047,NE
R7A2020_28895,0.045,0.076,0.042,0.042,0.038,0.125,0.053,0.045,NE
R7A2020_28900,0.063,0.08,0.034,0.039,0.036,0.182,0.068,0.067,NE
R7A2020_28905,0.054,0.079,0.042,0.02,0.034,0.133,0.04,0.045,NE
R7A2020_28910,0.042,0.068,0.038,0.029,0.028,0.118,0.053,0.031,NE
R7A2020_28915,0.034,0.045,0.022,0.011,0.006,0.118,0.067,0.034,NE
R7A2020_28920,0.039,0.045,0.012,0.021,0.021,0.111,0.039,0.036,NE
R7A2020_28925,0.018,0.029,0.006,0.018,0.006,0.044,0.021,0.009,NE
R7A2020_28930,0.03,0.053,0.019,0.017,0.023,0.114,0.051,0.036,NE
R7A2020_28935,0.033,0.058,0.026,0.027,0.022,0.096,0.038,0.034,NE
R7A2020_28940,0.016,0.031,0.016,0.01,0.014,0.059,0.031,0.015,NE
R7A2020_28945,0.047,0.076,0.029,0.035,0.047,0.129,0.088,0.006,NE
R7A2020_28950,0.04,0.064,0.029,0.025,0.023,0.126,0.057,0.041,NE
R7A2020_28955,0.049,0.067,0.033,0.031,0.02,0.131,0.058,0.036,NE
R7A2020_28960,0.037,0.075,0.039,0.041,0.023,0.112,0.059,0.027,NE
R7A2020_28965,0.034,0.055,0.019,0.024,0.032,0.123,0.049,0.043,NE
R7A2020_28970,0.05,0.084,0.042,0.057,0.029,0.128,0.051,0.042,NE
R7A2020_28975,0.034,0.057,0.022,0.021,0.021,0.098,0.034,0.032,NE
R7A2020_28980,0.009,0.036,0.018,0,0.018,0.036,0.009,0.009,NE
R7A2020_28985,0.023,0.053,0.017,0.023,0.021,0.105,0.07,0.028,NE
R7A2020_28990,0.013,0.027,0.012,0.009,0.01,0.063,0.026,0.024,NE
R7A2020_28995,0.012,0.028,0.011,0.007,0.016,0.056,0.025,0.017,NE
R7A2020_29000,0.023,0.033,0.014,0.009,0.011,0.076,0.029,0.027,NE
R7A2020_29005,0.005,0.021,0.008,0.008,0.007,0.048,0.028,0.011,NE
R7A2020_29010,0.008,0.015,0.005,0.003,0.008,0.054,0.026,0.013,NE
R7A2020_29015,0,0.007,0.007,0,0,0,0,0,ICE-ES
R7A2020_29020,0.016,0.022,0.008,0.007,0.013,0.065,0.029,0.021,NE
R7A2020_29025,0.005,0.019,0.007,0.009,0.007,0.031,0.016,0.009,NE
R7A2020_29030,0.019,0.024,0.012,0.009,0.005,0.07,0.031,0.022,NE
R7A2020_29035,0.039,0.057,0.014,0.032,0.018,0.125,0.061,0.039,NE
R7A2020_29040,0.038,0.051,0.022,0.019,0.019,0.128,0.042,0.038,NE
R7A2020_29045,0.035,0.065,0.03,0.026,0.021,0.104,0.039,0.029,NE
R7A2020_29050,0.04,0.058,0.026,0.029,0.024,0.105,0.045,0.026,NE
R7A2020_29055,0.034,0.051,0.024,0.014,0.024,0.119,0.071,0.037,NE
R7A2020_29060,0.042,0.071,0.036,0.031,0.028,0.117,0.051,0.029,NE
R7A2020_29065,0.021,0.051,0.023,0.024,0.011,0.074,0.033,0.02,NE
R7A2020_29070,0.024,0.039,0.014,0.016,0.011,0.076,0.03,0.022,NE
R7A2020_29075,0.016,0.016,0.005,0,0.011,0.077,0.022,0.027,NE
R7A2020_29080,0.038,0.056,0.026,0.023,0.023,0.127,0.055,0.043,NE
R7A2020_29085,0.092,0.14,0.087,0.073,0.073,0.188,0.058,0.04,NE
R7A2020_29090,0.091,0.129,0.056,0.069,0.052,0.214,0.082,0.047,NE
R7A2020_29095,0.089,0.149,0.082,0.074,0.072,0.171,0.058,0.038,NE
R7A2020_29100,0.105,0.163,0.088,0.078,0.088,0.226,0.072,0.063,NE
R7A2020_29105,0.08,0.125,0.069,0.053,0.066,0.182,0.063,0.033,NE
R7A2020_29110,0.104,0.152,0.086,0.079,0.08,0.212,0.068,0.046,NE
R7A2020_29115,0.093,0.142,0.073,0.057,0.068,0.193,0.067,0.049,NE
R7A2020_29120,0.078,0.124,0.061,0.061,0.048,0.176,0.058,0.041,NE
R7A2020_29125,0.042,0.072,0.032,0.032,0.025,0.095,0.025,0.017,NE
R7A2020_29130,0.032,0.056,0.027,0.015,0.027,0.135,0.044,0.047,NE
R7A2020_29135,0.012,0.043,0.024,0.024,0.024,0.073,0.055,0.012,NE
R7A2020_29140,0.064,0.085,0.042,0.04,0.039,0.152,0.052,0.04,NE
R7A2020_29145,0.035,0.058,0.025,0.026,0.022,0.11,0.041,0.032,NE
R7A2020_29150,0.029,0.071,0.034,0.028,0.025,0.11,0.053,0.039,NE
R7A2020_29155,0.032,0.051,0.026,0.019,0.021,0.102,0.041,0.029,NE
R7A2020_29160,0.043,0.082,0.035,0.037,0.027,0.125,0.038,0.04,NE
R7A2020_29165,0.043,0.053,0.025,0.016,0.03,0.125,0.058,0.026,NE
R7A2020_29170,0.053,0.083,0.047,0.023,0.044,0.125,0.042,0.031,NE
R7A2020_29175,0.06,0.102,0.061,0.043,0.043,0.152,0.057,0.042,NE
R7A2020_29180,0.033,0.06,0.023,0.022,0.021,0.112,0.053,0.038,NE
R7A2020_29185,0.025,0.035,0.017,0.011,0.011,0.089,0.038,0.026,NE
R7A2020_29190,0.011,0.024,0.014,0.007,0.006,0.058,0.031,0.014,NE
R7A2020_29195,0.012,0.022,0.012,0.008,0.007,0.057,0.025,0.017,NE
