locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_00005,0,0,0,0,0,0,0,0,0,0
R7A2020_00010,0,0,0,0,0,0,0,0,0,0
R7A2020_00015,0.07,0.099,0.056,0.042,0.041,0.076,0.096,0.055,0.043,0.044
R7A2020_00020,0.089,0.112,0.067,0.064,0.036,0.08,0.105,0.044,0.045,0.044
R7A2020_00025,0.074,0.128,0.064,0.059,0.061,0.081,0.143,0.064,0.091,0.057
R7A2020_00030,0.092,0.143,0.07,0.063,0.066,0.076,0.129,0.053,0.06,0.067
R7A2020_00035,0.002,0,0,0,0,0,0,0,0,0
R7A2020_00040,0.063,0.117,0.048,0.051,0.039,0.063,0.111,0.051,0.048,0.033
R7A2020_00045,0.054,0.073,0.027,0.035,0.024,0.019,0.071,0.027,0.024,0.033
R7A2020_00050,0,0,0,0,0,0,0,0,0,0
R7A2020_00055,0,0,0,0,0,0,0,0,0,0
R7A2020_00060,0.073,0.085,0.035,0.026,0.038,0.075,0.095,0.032,0.039,0.042
R7A2020_00065,0.062,0.095,0.049,0.046,0.045,0.072,0.11,0.059,0.061,0.045
R7A2020_00070,0.066,0.107,0.053,0.059,0.047,0.078,0.122,0.063,0.066,0.049
R7A2020_00075,0.001,0,0,0,0,0.002,0.001,0,0,0.001
R7A2020_00080,0,0.009,0,0.004,0.009,0.004,0.009,0.004,0.004,0.004
R7A2020_00085,0.074,0.107,0.057,0.054,0.044,0.07,0.105,0.057,0.04,0.034
R7A2020_00090,0.059,0.073,0.03,0.044,0.028,0.05,0.101,0.047,0.052,0.036
R7A2020_00095,0.072,0.08,0.023,0.031,0.044,0.062,0.093,0.039,0.046,0.033
R7A2020_00100,0,0,0,0,0,0,0,0,0,0
R7A2020_00105,0.009,0.009,0.004,0.002,0.007,0.013,0.014,0.005,0.009,0.004
R7A2020_00110,0.007,0.006,0.003,0.003,0.004,0.008,0.014,0.005,0.01,0.007
R7A2020_00115,0.007,0.009,0.002,0.004,0.004,0.009,0.005,0.005,0.005,0.002
R7A2020_00120,0.078,0.057,0.043,0.021,0.028,0.035,0.085,0.035,0.043,0.035
R7A2020_00125,0.077,0.124,0.062,0.062,0.044,0.08,0.151,0.057,0.079,0.072
R7A2020_00130,0,0,0,0,0,0,0,0,0,0
R7A2020_00135,0.02,0.042,0.028,0.014,0.006,0.025,0.059,0.017,0.014,0.031
R7A2020_00140,0.049,0.069,0.028,0.025,0.026,0.048,0.074,0.025,0.026,0.033
R7A2020_00145,0.103,0.143,0.07,0.063,0.066,0.078,0.134,0.067,0.066,0.057
R7A2020_00150,0.093,0.127,0.069,0.066,0.057,0.102,0.139,0.077,0.068,0.056
R7A2020_00155,0.085,0.125,0.07,0.06,0.052,0.082,0.127,0.07,0.067,0.055
R7A2020_00160,0.093,0.101,0.052,0.055,0.045,0.104,0.134,0.067,0.077,0.05
R7A2020_00165,0.014,0.016,0.002,0.009,0.009,0.031,0.016,0.002,0.005,0.012
R7A2020_00170,0.091,0.125,0.072,0.06,0.058,0.102,0.153,0.074,0.083,0.057
