locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,7615,0.04437564499484,1140,43,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,2322,0.0436817472698908,753,28,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,2019,0.0565110565110565,477,23,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,7579,0.0669014084507042,1002,57,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,1011,0.0331325301204819,390,11,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,1293,0.0326086956521739,432,12,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,2180,0.0423976608187134,804,29,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,6121,0.0449010654490107,1545,59,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,5184,0.0488372093023256,1011,42,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,148,0.00109469074986316,2148,2,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,26,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,3074,0.0343347639484979,1095,32,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,4366,0.0360144057623049,978,30,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,726,0.0334190231362468,456,13,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,500,0.0036101083032491,651,2,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,1297,0.00662739322533137,1596,9,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,159,0.00181159420289855,648,1,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,332,0.0354609929078014,165,5,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,6200,0.0720268006700168,702,43,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,1046,0.030812324929972,420,11,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,2397,0.033210332103321,1593,45,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,2689,0.0572139303482587,945,46,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,4252,0.0555555555555556,762,36,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,3316,0.0548628428927681,471,22,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,5963,0.0501635768811341,1077,46,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,551,0.0117370892018779,501,5,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,5669,0.0571108622620381,1050,51,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,10428,0.055045871559633,1410,66,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,1837,0.0425844346549192,801,29,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,1752,0.037914691943128,495,16,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,4350,0.0479233226837061,1104,45,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,6438,0.0413943355119826,1080,38,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,4914,0.0352422907488987,1602,48,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,2209,0.0628019323671498,486,26,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,582,0.0300751879699248,312,8,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,3172,0.03281677301732,1290,36,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,7203,0.0615808823529412,1278,67,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,7465,0.0557275541795666,1140,54,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,7745,0.0636663007683864,1071,58,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,19099,0.0565167243367935,3060,147,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,4251,0.0393081761006289,747,25,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,4842,0.0532959326788219,837,38,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,4270,0.0498084291187739,921,39,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,4954,0.0509413067552602,1062,46,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,8238,0.0486409155937053,1644,68,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,4664,0.0489642184557439,1248,52,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,5102,0.0697674418604651,606,36,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,3846,0.0539906103286385,1002,46,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,1449,0.0517241379310345,408,18,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,3700,0.0869565217391304,324,24,YbaB/EbfC family nucleoid-associated protein
