locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,145,0.0106666666666667,882,8,family 16 glycosylhydrolase
R7A2020_01950,tsaE,0,429386,430897,1,368,0.0116640746500778,1512,15,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02025,R7A2020_02025,0,446090,446848,-1,679,0.0108191653786708,759,7,M48 family metallopeptidase
R7A2020_03000,R7A2020_03000,0,628989,629723,1,182,0.0111821086261981,735,7,TetR/AcrR family transcriptional regulator
R7A2020_04455,rpsP,0,930164,930565,-1,59,0.0116959064327485,402,4,30S ribosomal protein S16
R7A2020_04670,R7A2020_04670,0,968771,969445,-1,292,0.0121739130434783,675,7,septation protein A
R7A2020_04865,sdhC,0,1006497,1006916,1,108,0.0112044817927171,420,4,succinate dehydrogenase, cytochrome b556 subunit
R7A2020_06095,ruvC,0,1251708,1252217,1,278,0.00921658986175115,510,4,crossover junction endodeoxyribonuclease RuvC
R7A2020_06350,R7A2020_06350,0,1308199,1308798,-1,180,0.00980392156862745,600,5,TetR/AcrR family transcriptional regulator
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,267,0.0103761348897536,906,8,anti-sigma factor
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,3,0.0111111111111111,105,1,pseudogene
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,77,0.0117302052785924,399,4,GFA family protein
R7A2020_07610,R7A2020_07610,0,1549991,1550983,-1,418,0.0118343195266272,993,10,ABC transporter permease
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,14,0.0114942528735632,204,2,hypothetical protein
R7A2020_08035,rrf,0,1639463,1639577,1,4,0.0101010101010101,115,1,
R7A2020_08075,rrf,0,1646973,1647087,1,9,0.0101010101010101,115,1,
R7A2020_08420,R7A2020_08420,0,1713672,1714190,1,253,0.0112866817155756,519,5,YcnI family protein
R7A2020_08720,R7A2020_08720,0,1793802,1796867,1,881,0.0122746451860376,3066,32,OmpA family protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,79,0.0116959064327485,201,2,hypothetical protein
R7A2020_08980,R7A2020_08980,0,1842590,1843060,-1,120,0.0124688279301746,471,5,hypothetical protein
R7A2020_09165,R7A2020_09165,0,1875069,1876010,-1,263,0.0124843945068664,942,10,hypothetical protein
R7A2020_09220,R7A2020_09220,0,1885186,1885683,-1,439,0.0117647058823529,498,5,ferritin-like domain-containing protein
R7A2020_09725,R7A2020_09725,0,1994951,1996822,1,651,0.0113065326633166,1872,18,DUF882 domain-containing protein
R7A2020_10305,R7A2020_10305,0,2116726,2116920,1,97,0.0119760479041916,195,2,hypothetical protein
R7A2020_10450,R7A2020_10450,0,2146569,2146946,-1,143,0.00928792569659443,378,3,flagellar export protein FliJ
R7A2020_10510,R7A2020_10510,0,2156704,2157183,-1,70,0.0122549019607843,480,5,hypothetical protein
R7A2020_10985,R7A2020_10985,0,2249664,2250164,1,25,0.00938967136150235,501,4,hypothetical protein
R7A2020_11080,R7A2020_11080,0,2261995,2262201,-1,16,0.0112994350282486,207,2,cold-shock protein
R7A2020_11085,R7A2020_11085,0,2262406,2262753,-1,21,0.0101010101010101,348,3,hypothetical protein
R7A2020_12050,R7A2020_12050,0,2460179,2462251,1,454,0.0107770845150312,2073,19,response regulator
R7A2020_12065,R7A2020_12065,0,2464349,2464648,-1,38,0.0117647058823529,300,3,DUF1236 domain-containing protein
R7A2020_12070,R7A2020_12070,0,2464959,2465177,1,59,0.0106382978723404,219,2,hypothetical protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,398,0.00922722029988466,1020,8,YihY/virulence factor BrkB family protein
R7A2020_12100,R7A2020_12100,0,2471246,2471791,-1,101,0.010752688172043,546,5,hypothetical protein
R7A2020_12180,R7A2020_12180,0,2493430,2494533,-1,221,0.00958466453674121,1104,9,DUF2169 domain-containing protein
R7A2020_12230,R7A2020_12230,0,2506868,2507317,-1,142,0.010443864229765,450,4,type VI secretion system tube protein Hcp
