locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,434,0.0392156862745098,1140,38,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,237,0.0374414976599064,753,24,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,167,0.0417690417690418,477,17,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,446,0.0516431924882629,1002,44,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,1,0.00209643605870021,561,1,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,369,0.0903614457831325,390,30,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,102,0.0407608695652174,432,15,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,511,0.0467836257309941,804,32,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,961,0.0395738203957382,1545,52,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,432,0.0453488372093023,1011,39,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,997,0.0675965665236052,1095,63,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,318,0.0360144057623049,978,30,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,268,0.0488431876606684,456,19,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,3,0.00180505415162455,651,1,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,97,0.00368188512518409,1596,5,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,35,0.0072463768115942,648,4,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,18,0.0283687943262411,165,4,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,716,0.0653266331658292,702,39,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,6,0.00278551532033426,1266,3,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,133,0.0448179271708683,420,16,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,408,0.0302583025830258,1593,41,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,794,0.0771144278606965,945,62,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,848,0.0709876543209877,762,46,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,473,0.0648379052369077,471,26,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,604,0.0567066521264995,1077,52,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,4,0.00234741784037559,501,1,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,809,0.0660694288913774,1050,59,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,1063,0.0692243536280234,1410,83,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,879,0.0631424375917768,801,43,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,465,0.0710900473933649,495,30,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,547,0.0489882854100106,1104,46,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,692,0.0457516339869281,1080,42,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,1074,0.0550660792951542,1602,75,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,166,0.0507246376811594,486,21,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,127,0.0451127819548872,312,12,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,564,0.0382862351868733,1290,42,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,156,0.00937207122774133,1254,10,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,1167,0.0625,1278,68,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,878,0.0536635706914345,1140,52,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,1181,0.0812294182217344,1071,74,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,2144,0.0511341791618608,3060,133,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,472,0.0330188679245283,747,21,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,642,0.0434782608695652,837,31,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,696,0.0549169859514687,921,43,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,755,0.0609080841638981,1062,55,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,913,0.0493562231759657,1644,69,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,908,0.0546139359698682,1248,58,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,355,0.0581395348837209,606,30,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,810,0.0657276995305164,1002,56,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,188,0.0373563218390805,408,13,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,428,0.0905797101449275,324,25,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
