locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,9204,0.132094943240454,1140,128,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,11293,0.145085803432137,753,93,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,5822,0.184275184275184,477,75,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,16965,0.172535211267606,1002,147,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,3717,0.13855421686747,390,46,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,1083,0.0951086956521739,432,35,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,3855,0.10233918128655,804,70,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,21778,0.142313546423135,1545,187,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,14043,0.151162790697674,1011,130,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,58,0.00869565217391304,270,2,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,14105,0.142703862660944,1095,133,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,9878,0.12124849939976,978,101,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,4165,0.105398457583548,456,41,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,615,0.0144404332129964,651,8,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,2117,0.0147275405007364,1596,20,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,292,0.0108695652173913,648,6,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,762,0.0921985815602837,165,13,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,7870,0.174204355108878,702,104,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,1041,0.0672268907563025,420,24,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,7294,0.0848708487084871,1593,115,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,13289,0.174129353233831,945,140,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,14543,0.174382716049383,762,113,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,6619,0.15211970074813,471,61,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,15120,0.162486368593239,1077,149,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,149,0.0164319248826291,501,7,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,14457,0.183650615901456,1050,164,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,24680,0.171809841534612,1410,206,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,6897,0.117474302496329,801,80,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,3269,0.113744075829384,495,48,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,15015,0.15122470713525,1104,142,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,12471,0.133986928104575,1080,123,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,18345,0.138032305433186,1602,188,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,4601,0.142512077294686,486,59,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,4903,0.154135338345865,312,41,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,10045,0.120328167730173,1290,132,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,83,0.000937207122774133,1254,1,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,26403,0.203125,1278,221,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,21718,0.202270381836945,1140,196,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,20213,0.215148188803513,1071,196,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,58745,0.195309496347559,3060,508,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,10062,0.147798742138365,747,94,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,10675,0.151472650771388,837,108,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,9348,0.137931034482759,921,108,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,15228,0.159468438538206,1062,144,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,17326,0.138054363376252,1644,193,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,15674,0.139359698681733,1248,148,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,11320,0.205426356589147,606,106,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,10985,0.151408450704225,1002,129,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,2858,0.0862068965517241,408,30,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,5256,0.181159420289855,324,50,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
