locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,373,0.0412796697626419,1140,40,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,284,0.0483619344773791,753,31,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,175,0.0712530712530713,477,29,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,538,0.0657276995305164,1002,56,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,201,0.072289156626506,390,24,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,149,0.0570652173913043,432,21,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,247,0.0555555555555556,804,38,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,451,0.0426179604261796,1545,56,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,216,0.0348837209302326,1011,30,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,499,0.0515021459227468,1095,48,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,394,0.0360144057623049,978,30,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,23,0.012853470437018,456,5,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,0,0,651,0,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,0,0,1596,0,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,8,0.0036231884057971,648,2,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,33,0.0141843971631206,165,2,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,163,0.0368509212730318,702,22,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,60,0.0252100840336134,420,9,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,216,0.0302583025830258,1593,41,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,532,0.0646766169154229,945,52,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,691,0.0632716049382716,762,41,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,185,0.057356608478803,471,23,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,567,0.0534351145038168,1077,49,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,16,0.00704225352112676,501,3,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,412,0.0571108622620381,1050,51,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,643,0.0683903252710592,1410,82,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,311,0.0484581497797357,801,33,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,178,0.0592417061611374,495,25,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,461,0.0415335463258786,1104,39,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,356,0.0501089324618736,1080,46,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,384,0.0535976505139501,1602,73,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,153,0.0483091787439614,486,20,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,93,0.0639097744360902,312,17,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,356,0.0437556973564266,1290,48,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,4,0.00187441424554827,1254,2,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,587,0.0643382352941176,1278,70,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,473,0.0588235294117647,1140,57,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,553,0.0735455543358946,1071,67,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,1615,0.0622837370242214,3060,162,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,150,0.0440251572327044,747,28,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,491,0.0603085553997195,837,43,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,524,0.0498084291187739,921,39,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,479,0.053156146179402,1062,48,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,624,0.0529327610872675,1644,74,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,266,0.0451977401129944,1248,48,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,330,0.063953488372093,606,33,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,143,0.0375586854460094,1002,32,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,158,0.0488505747126437,408,17,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,180,0.0398550724637681,324,11,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,1,0.000646412411118293,1818,1,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
