locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,3,0.00560224089635854,420,2,helix-turn-helix transcriptional regulator
R7A2020_03080,R7A2020_03080,0,643654,643848,-1,2,0.00598802395209581,195,1,hypothetical protein
R7A2020_03095,R7A2020_03095,0,644980,645372,1,14,0.00597014925373134,393,2,lysozyme inhibitor LprI family protein
R7A2020_03295,pyrF,0,696530,697243,1,161,0.00493421052631579,714,3,orotidine-5'-phosphate decarboxylase
R7A2020_04455,rpsP,0,930164,930565,-1,25,0.00584795321637427,402,2,30S ribosomal protein S16
R7A2020_04670,R7A2020_04670,0,968771,969445,-1,9,0.00521739130434783,675,3,septation protein A
R7A2020_04870,sdhD,0,1006919,1007317,1,78,0.00586510263929619,399,2,succinate dehydrogenase, hydrophobic membrane anchor protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,25,0.00495049504950495,474,2,hypothetical protein
R7A2020_04975,R7A2020_04975,0,1026293,1026751,-1,5,0.00510204081632653,459,2,Crp/Fnr family transcriptional regulator
R7A2020_06695,R7A2020_06695,0,1364619,1365815,-1,17,0.00588812561334642,1197,6,phosphoglycerate kinase
R7A2020_06750,R7A2020_06750,0,1376740,1377147,1,219,0.00574712643678161,408,2,VOC family protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,9,0.00574712643678161,204,1,hypothetical protein
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,98,0.00586510263929619,399,2,GFA family protein
R7A2020_07405,R7A2020_07405,0,1513600,1514211,1,50,0.00575815738963532,612,3,shikimate kinase
R7A2020_07720,R7A2020_07720,0,1574027,1575034,-1,168,0.00582750582750583,1008,5,iron ABC transporter substrate-binding protein
R7A2020_07975,R7A2020_07975,0,1623082,1624038,1,181,0.0049079754601227,957,4,DUF4167 domain-containing protein
R7A2020_08180,R7A2020_08180,0,1666900,1667319,-1,16,0.00560224089635854,420,2,cupin domain-containing protein
R7A2020_08520,polA,0,1740114,1743077,-1,218,0.00515873015873016,2964,13,DNA polymerase I
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,25,0.00597014925373134,1182,6,ABC transporter permease
R7A2020_08635,R7A2020_08635,0,1772299,1773297,-1,87,0.00470035252643948,999,4,ABC transporter permease
R7A2020_08740,R7A2020_08740,0,1799721,1799909,1,3,0.00617283950617284,189,1,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,333,0.00518403317781234,2268,10,penicillin-binding protein
R7A2020_09785,R7A2020_09785,0,2006145,2006354,1,1,0.00558659217877095,210,1,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,6,0.00549450549450549,642,3,hypothetical protein
R7A2020_09975,R7A2020_09975,0,2041292,2041879,-1,5,0.00598802395209581,588,3,lytic transglycosylase domain-containing protein
R7A2020_10390,R7A2020_10390,0,2136346,2136537,-1,13,0.00609756097560976,192,1,hypothetical protein
R7A2020_10900,ychF,0,2234592,2235695,-1,18,0.0053248136315229,1104,5,redox-regulated ATPase YchF
R7A2020_10915,R7A2020_10915,0,2237500,2238411,-1,15,0.00515463917525773,912,4,hypothetical protein
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,1,0.00549450549450549,213,1,cold-shock protein
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,3,0.0055045871559633,639,3,TetR/AcrR family transcriptional regulator
R7A2020_11790,R7A2020_11790,0,2407057,2407641,-1,51,0.00602409638554217,585,3,cephalosporin hydroxylase
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,47,0.00550964187327824,426,2,hypothetical protein
R7A2020_12230,R7A2020_12230,0,2506868,2507317,-1,4,0.00522193211488251,450,2,type VI secretion system tube protein Hcp
R7A2020_12825,R7A2020_12825,0,2626202,2626615,1,3,0.0056657223796034,414,2,SnoaL-like domain-containing protein
R7A2020_12925,R7A2020_12925,0,2640797,2641249,1,4,0.00518134715025907,453,2,SRPBCC domain-containing protein
R7A2020_13120,R7A2020_13120,0,2673840,2674070,1,4,0.0050761421319797,231,1,hypothetical protein
R7A2020_14245,R7A2020_14245,0,2903373,2903600,1,1,0.00512820512820513,228,1,hypothetical protein
R7A2020_14290,R7A2020_14290,0,2911797,2912216,1,51,0.00560224089635854,420,2,HNH endonuclease
R7A2020_14410,R7A2020_14410,0,2927042,2927650,1,48,0.00578034682080925,609,3,HMP/thiamine-binding protein
R7A2020_14430,R7A2020_14430,0,2930413,2931192,-1,18,0.00603318250377074,780,4,hypothetical protein
R7A2020_14675,R7A2020_14675,0,2978745,2979773,1,45,0.00570776255707763,1029,5,LacI family DNA-binding transcriptional regulator
R7A2020_15710,R7A2020_15710,0,3206295,3207035,1,16,0.00476190476190476,741,3,pyridoxine 5'-phosphate synthase
R7A2020_15845,R7A2020_15845,0,3231732,3232118,-1,73,0.00606060606060606,387,2,cobalamin biosynthesis protein
R7A2020_16100,R7A2020_16100,0,3286049,3286435,1,5,0.00606060606060606,387,2,MerR family DNA-binding transcriptional regulator
R7A2020_16495,R7A2020_16495,0,3370154,3370356,1,24,0.00578034682080925,203,1,pseudogene
R7A2020_17010,R7A2020_17010,0,3480704,3480925,1,18,0.00529100529100529,222,1,twin-arginine translocase TatA/TatE family subunit
R7A2020_17510,gcvP,0,3586281,3589091,-1,90,0.00543933054393305,2811,13,aminomethyl-transferring glycine dehydrogenase
R7A2020_18380,R7A2020_18380,0,3779176,3779607,-1,46,0.00543478260869565,432,2,HIT family protein
R7A2020_18695,R7A2020_18695,0,3854347,3854574,1,6,0.00512820512820513,228,1,pseudogene
R7A2020_18740,R7A2020_18740,0,3869225,3869953,1,39,0.00483091787439614,729,3,hypothetical protein
R7A2020_19045,R7A2020_19045,0,3924825,3925622,-1,88,0.00588235294117647,798,4,sterol desaturase family protein
R7A2020_19050,R7A2020_19050,0,3925958,3926191,1,56,0.005,234,1,hypothetical protein
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,116,0.00557103064066852,2955,14,Rne/Rng family ribonuclease
R7A2020_20655,R7A2020_20655,0,4216318,4216710,-1,38,0.00597014925373134,393,2,SUF system Fe-S cluster assembly protein
R7A2020_20820,R7A2020_20820,0,4250979,4251182,-1,1,0.00574712643678161,204,1,hypothetical protein
R7A2020_20870,R7A2020_20870,0,4260734,4261186,-1,24,0.00518134715025907,453,2,MucR family transcriptional regulator
R7A2020_20990,R7A2020_20990,0,4287332,4288732,1,85,0.00503778337531486,1401,6,hypothetical protein
R7A2020_21550,R7A2020_21550,0,4390238,4391452,-1,18,0.00580270793036751,1215,6,AI-2E family transporter
R7A2020_21760,R7A2020_21760,0,4444513,4445388,1,72,0.00536193029490617,876,4,metal ABC transporter permease
R7A2020_21765,R7A2020_21765,0,4445415,4446356,1,13,0.00499375780274657,942,4,metal ABC transporter substrate-binding protein
R7A2020_22310,R7A2020_22310,0,4550014,4551381,1,56,0.00515463917525773,1368,6,tyrosine-protein kinase family protein
R7A2020_22480,R7A2020_22480,0,4583989,4584753,1,37,0.00614439324116743,765,4,hypothetical protein
