locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_00005,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,L,chromosomal replication initiator protein DnaA,K02313,chromosomal replication initiator protein,dnaA,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,1,1545,1545,1,0,0,0,0,0,0,0,0
R7A2020_00010,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,L,DNA polymerase III subunit beta,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],dnaN,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",R7A2020_00010,1851,2969,1119,1,0,0,0,0,0,0,0,0
R7A2020_00015,NE,NE,NE,NE,NA,NA,DNA replication/repair protein RecF,K03629,DNA replication and repair protein RecF,recF,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,3053,4192,1140,1,0.14,0.07,0.039,0.018,0.162,0.076,0.041,0.041
R7A2020_00020,NE,NE,NE,NE,NA,NA,molybdopterin-synthase adenylyltransferase MoeB,NA,NA,moeB,H,involved in molybdopterin and thiamine biosynthesis family 2,R7A2020_00020,4224,4976,753,1,0.173,0.089,0.037,0.041,0.19,0.08,0.062,0.048
R7A2020_00025,NE,NE,NE,NE,NA,NA,GNAT family N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_00025,4991,5467,477,1,0.197,0.074,0.042,0.066,0.206,0.081,0.049,0.071
R7A2020_00030,NE,NE,NE,NE,NA,NA,D-glycerate dehydrogenase,K00015,glyoxylate reductase [EC:1.1.1.26],gyaR,CH,D-isomer specific 2-hydroxyacid dehydrogenase,R7A2020_00030,5518,6519,1002,-1,0.203,0.092,0.052,0.053,0.181,0.076,0.043,0.066
R7A2020_00035,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,HYP,hypothetical protein,NA,NA,MA20_24010,S,Bacterial SH3 domain,R7A2020_00035,6668,7228,561,1,0.004,0.002,0.002,0,0,0,0,0
R7A2020_00040,NE,NE,NE,NE,NA,NA,DUF4260 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4260),R7A2020_00040,7218,7607,390,-1,0.181,0.063,0.09,0.057,0.184,0.063,0.063,0.072
R7A2020_00045,NE,NE,NE,NE,NA,NA,transcriptional repressor,K09826,"Fur family transcriptional regulator, iron response regulator",fur,K,Belongs to the Fur family,R7A2020_00045,7664,8095,432,-1,0.114,0.054,0.041,0.022,0.109,0.019,0.027,0.057
R7A2020_00050,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,I,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,K01716,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14],fabA,I,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length",fabA,8338,8853,516,1,0,0,0,0,0,0,0,0
