locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0,rhizo.state,GIFU.state,NFR5.state,COL0.state,ICE.state,invitro.state,TB.state,TY.state,GR.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,DESeq2.LRT,ICESym.DESeq2.LRT,ICESym,WT1.INPUT.norm,WT3.INPUT.norm,NS1.INPUT.norm,NS3.INPUT.nrom,WT1.NFR5.norm,WT3.NFR5.norm,NS1.NFR5.norm,NS3.NFR5.norm,WT1.GIFU.norm,WT3.GIFU.norm,NS1.GIFU.norm,NS3.GIFU.norm,WT1.COL0.norm,WT3.COL0.norm,NS1.COL0.norm,NS3.COL0.norm,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Chrom.cluster,ICESym.cluster
R7A2020_00005,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,L,chromosomal replication initiator protein DnaA,K02313,chromosomal replication initiator protein,dnaA,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,1,1545,1545,1,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00010,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,L,DNA polymerase III subunit beta,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],dnaN,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",R7A2020_00010,1851,2969,1119,1,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00015,0.07,0.099,0.056,0.042,0.041,0.076,0.096,0.055,0.043,0.044,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,DNA replication/repair protein RecF,K03629,DNA replication and repair protein RecF,recF,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,3053,4192,1140,1,TRUE,FALSE,FALSE,2662.5,1338.4,1685.9,1922.4,1895.1,501.8,745.4,662.6,1014.0,1248.3,1924.3,855.1,732.0,789.3,3833.4,880.6,1423.604,-0.988,0.644,13.211,0.067,0.411,NA,NA
R7A2020_00020,0.089,0.112,0.067,0.064,0.036,0.08,0.105,0.044,0.045,0.044,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,molybdopterin-synthase adenylyltransferase MoeB,NA,NA,moeB,H,involved in molybdopterin and thiamine biosynthesis family 2,R7A2020_00020,4224,4976,753,1,TRUE,FALSE,FALSE,1489.4,2324.6,1197.1,1115.7,2138.4,913.2,1692.3,512.7,1461.3,1763.8,616.7,1602.7,323.4,775.7,543.9,1037.1,1222.319,0.934,0.641,10.709,0.152,0.575,NA,NA
R7A2020_00025,0.074,0.128,0.064,0.059,0.061,0.081,0.143,0.064,0.091,0.057,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,GNAT family N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_00025,4991,5467,477,1,TRUE,FALSE,FALSE,914.8,769.8,569.8,788.5,516.8,238.5,836.3,1267.4,890.4,437.1,1128.8,605.5,3031.4,1023.5,935.9,334.5,894.580,-0.763,0.663,16.609,0.020,0.228,NA,NA
R7A2020_00030,0.092,0.143,0.07,0.063,0.066,0.076,0.129,0.053,0.06,0.067,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,D-glycerate dehydrogenase,K00015,glyoxylate reductase [EC:1.1.1.26],gyaR,CH,D-isomer specific 2-hydroxyacid dehydrogenase,R7A2020_00030,5518,6519,1002,-1,TRUE,FALSE,FALSE,2203.7,2016.6,1712.0,1591.5,1455.7,3250.2,1795.0,2421.3,3344.7,1851.0,1213.6,968.8,2539.7,2552.4,3019.4,1849.6,2115.638,-0.063,0.427,11.873,0.105,0.505,NA,NA
R7A2020_00035,0.002,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,HYP,hypothetical protein,NA,NA,MA20_24010,S,Bacterial SH3 domain,R7A2020_00035,6668,7228,561,1,FALSE,FALSE,FALSE,15.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
R7A2020_00040,0.063,0.117,0.048,0.051,0.039,0.063,0.111,0.051,0.048,0.033,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,DUF4260 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4260),R7A2020_00040,7218,7607,390,-1,TRUE,FALSE,FALSE,472.9,172.1,487.5,700.4,344.8,242.5,504.4,434.6,301.0,1113.7,209.0,280.1,308.2,177.3,496.1,138.5,399.687,-0.125,0.830,7.268,0.401,0.790,NA,NA
R7A2020_00045,0.054,0.073,0.027,0.035,0.024,0.019,0.071,0.027,0.024,0.033,NE,NE,NE,NE,NA,NE,NE,NE,NE,NA,transcriptional repressor,K09826,"Fur family transcriptional regulator, iron response regulator",fur,K,Belongs to the Fur family,R7A2020_00045,7664,8095,432,-1,TRUE,FALSE,FALSE,389.6,262.6,81.0,74.9,295.8,99.4,76.4,200.2,52.1,59.9,177.7,120.0,10.1,588.8,344.3,518.9,210.323,-1.141,1.215,9.062,0.248,0.685,NA,NA
R7A2020_00050,0,0,0,0,0,0,0,0,0,0,INPUT-ES,INPUT-ES,INPUT-ES,INPUT-ES,NA,CORE-ES,CORE-ES,CORE-ES,CORE-ES,I,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,K01716,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14],fabA,I,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length",fabA,8338,8853,516,1,FALSE,FALSE,FALSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
