locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,15,0.00840336134453781,420,3,helix-turn-helix transcriptional regulator
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,5,0.00742574257425743,474,3,DUF805 domain-containing protein
R7A2020_03295,pyrF,0,696530,697243,1,220,0.00822368421052632,714,5,orotidine-5'-phosphate decarboxylase
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,107,0.00840336134453781,558,4,hypothetical protein
R7A2020_03880,R7A2020_03880,0,807772,808245,1,21,0.00742574257425743,474,3,RloB domain-containing protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,9,0.00742574257425743,474,3,hypothetical protein
R7A2020_05390,R7A2020_05390,0,1105561,1106067,1,9,0.00694444444444444,507,3,GNAT family N-acetyltransferase
R7A2020_06095,ruvC,0,1251708,1252217,1,56,0.00691244239631336,510,3,crossover junction endodeoxyribonuclease RuvC
R7A2020_06175,R7A2020_06175,0,1267265,1267723,-1,42,0.0076530612244898,459,3,hypothetical protein
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,124,0.00778210116731518,906,6,anti-sigma factor
R7A2020_08545,R7A2020_08545,0,1746285,1746431,1,1,0.00793650793650794,147,1,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,317,0.00829445308449974,2268,16,penicillin-binding protein
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,15,0.00798403193612774,588,4,hypothetical protein
R7A2020_11375,greA,0,2324355,2324828,1,57,0.00742574257425743,474,3,transcription elongation factor GreA
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,119,0.0073394495412844,639,4,TetR/AcrR family transcriptional regulator
R7A2020_12120,R7A2020_12120,0,2476649,2477149,-1,36,0.00704225352112676,501,3,DUF1036 domain-containing protein
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,6,0.00826446280991736,426,3,hypothetical protein
R7A2020_12630,R7A2020_12630,0,2593636,2593950,1,18,0.00743494423791822,315,2,co-chaperone GroES
R7A2020_13500,R7A2020_13500,0,2753427,2753732,-1,28,0.00766283524904215,306,2,hypothetical protein
R7A2020_13705,minE,0,2791230,2791502,1,4,0.00858369098712446,273,2,cell division topological specificity factor MinE
R7A2020_14290,R7A2020_14290,0,2911797,2912216,1,44,0.00840336134453781,420,3,HNH endonuclease
R7A2020_14530,R7A2020_14530,0,2948161,2948472,1,23,0.0075187969924812,312,2,Rieske 2Fe-2S domain-containing protein
R7A2020_14715,R7A2020_14715,0,2987448,2987723,1,5,0.00847457627118644,276,2,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
R7A2020_14870,R7A2020_14870,0,3031134,3031769,-1,8,0.00738007380073801,636,4,TetR/AcrR family transcriptional regulator
R7A2020_15260,R7A2020_15260,0,3112075,3112371,1,6,0.0078740157480315,297,2,AzlD family protein
R7A2020_15305,R7A2020_15305,0,3122941,3123222,1,12,0.00833333333333333,282,2,hypothetical protein
R7A2020_15350,R7A2020_15350,0,3134451,3134765,1,23,0.00743494423791822,315,2,hypothetical protein
R7A2020_17095,R7A2020_17095,0,3497986,3498126,-1,21,0.00833333333333333,141,1,DUF1127 domain-containing protein
R7A2020_17115,R7A2020_17115,0,3500465,3501316,-1,85,0.00827586206896552,852,6,hypothetical protein
R7A2020_18090,R7A2020_18090,0,3723560,3723712,-1,2,0.00763358778625954,153,1,hypothetical protein
R7A2020_18990,R7A2020_18990,0,3913364,3914170,1,94,0.00727802037845706,807,5,phosphatidylcholine/phosphatidylserine synthase
R7A2020_20610,R7A2020_20610,0,4208262,4208429,-1,1,0.00694444444444444,168,1,pseudogene
R7A2020_20695,R7A2020_20695,0,4224157,4224807,1,18,0.0072202166064982,651,4,FMN-binding negative transcriptional regulator
R7A2020_20850,R7A2020_20850,0,4255004,4256047,1,34,0.00788288288288288,1044,7,hypothetical protein
R7A2020_20860,R7A2020_20860,0,4257565,4258803,-1,148,0.00853080568720379,1239,9,type II toxin-antitoxin system HipA family toxin
R7A2020_20870,R7A2020_20870,0,4260734,4261186,-1,11,0.0077720207253886,453,3,MucR family transcriptional regulator
R7A2020_20925,hxsB,0,4272415,4273872,-1,42,0.008058017727639,1458,10,His-Xaa-Ser system radical SAM maturase HxsB
R7A2020_20945,R7A2020_20945,0,4278204,4279235,1,24,0.00797266514806378,1032,7,DUF4238 domain-containing protein
R7A2020_21390,R7A2020_21390,0,4361463,4362776,-1,37,0.00715563506261181,1314,8,serine hydroxymethyltransferase
R7A2020_21415,R7A2020_21415,0,4367615,4368130,-1,75,0.00681818181818182,516,3,winged helix DNA-binding protein
R7A2020_21485,R7A2020_21485,0,4379541,4379690,-1,19,0.0078125,150,1,hypothetical protein
R7A2020_21600,guaB,0,4402764,4404266,-1,113,0.00782472613458529,1503,10,IMP dehydrogenase
R7A2020_22285,R7A2020_22285,0,4546205,4546753,1,7,0.00854700854700855,549,4,DUF805 domain-containing protein
R7A2020_22540,R7A2020_22540,0,4591941,4592234,-1,255,0.00796812749003984,294,2,hypothetical protein
