Supplementary Table 3. GI-GII ICESym Core Genes,,,,,,,,,,,,,,,,,,,,,,,,,,
R7AICESym.Loci,msi.locus*,Nonunique.Gene.name**,Annotations,Pangenome.Level,Number.isolates,Number.sequences,Avg.sequences.per.isolate,Genome.Fragment,Order.within.Fragment,Accessory.Fragment,Accessory.Order.with.Fragment,QC,Min.group.size.nuc,Max.group.size.nuc,AA,Avg.group.size.nuc,ATCC700743ICESym,MAFF303099ICESym,NZP2014ICESym,NZP2037ICESym,NZP2042ICESym,NZP2234ICESym,NZP2298ICESym,R7AICESym,R88BICESym,SU343ICESym
R7AICESym_00001,msi001,intS,symbiosis island integrase; DUF4102,Core,10,10,1,1,1780,.,.,.,1202,1310,418,1253,ATCC700743ICESym_00610,MAFF303099ICESym_00001,NZP2014ICESym_00001,NZP2037ICESym_00612,NZP2042ICESym_00565,NZP2234ICESym_00001,NZP2298ICESym_00001,R7AICESym_00001,R88BICESym_00001,SU343ICESym_00610
R7AICESym_00011,msi011,fixI,cadmium-translocating P-type ATPase,Core,10,10,1,1,1037,.,.,.,2279,2288,761,2283,ATCC700743ICESym_00002,MAFF303099ICESym_00017,NZP2014ICESym_00016,NZP2037ICESym_00002,NZP2042ICESym_00002,NZP2234ICESym_00009,NZP2298ICESym_00014,R7AICESym_00011,R88BICESym_00011,SU343ICESym_00002
R7AICESym_00012,msi012,fixH,cytochrome oxidase,Core,10,10,1,1,1038,.,.,.,497,497,166,497,ATCC700743ICESym_00003,MAFF303099ICESym_00018,NZP2014ICESym_00017,NZP2037ICESym_00003,NZP2042ICESym_00003,NZP2234ICESym_00010,NZP2298ICESym_00015,R7AICESym_00012,R88BICESym_00012,SU343ICESym_00003
R7AICESym_00013,msi013,fixG,cytochrome c oxidase accessory protein CcoG,Core,10,10,1,1,1039,.,.,.,1565,1565,522,1565,ATCC700743ICESym_00004,MAFF303099ICESym_00019,NZP2014ICESym_00018,NZP2037ICESym_00004,NZP2042ICESym_00004,NZP2234ICESym_00011,NZP2298ICESym_00016,R7AICESym_00013,R88BICESym_00013,SU343ICESym_00004
R7AICESym_00014,msi014,fixP,cytochrome-c oxidase FixP chain,Core,10,10,1,1,1040,.,.,.,863,863,288,863,ATCC700743ICESym_00005,MAFF303099ICESym_00020,NZP2014ICESym_00019,NZP2037ICESym_00005,NZP2042ICESym_00005,NZP2234ICESym_00012,NZP2298ICESym_00017,R7AICESym_00014,R88BICESym_00014,SU343ICESym_00005
R7AICESym_00015,msi015,fixQ,CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone,Core,10,10,1,1,1041,.,.,.,149,152,50,149,ATCC700743ICESym_00006,MAFF303099ICESym_00021,NZP2014ICESym_00020,NZP2037ICESym_00006,NZP2042ICESym_00006,NZP2234ICESym_00013,NZP2298ICESym_00018,R7AICESym_00015,R88BICESym_00015,SU343ICESym_00006
R7AICESym_00016,msi016,fixO,cytochrome-c oxidase; cbb3-type subunit II,Core,10,10,1,1,1042,.,.,.,731,731,244,731,ATCC700743ICESym_00007,MAFF303099ICESym_00022,NZP2014ICESym_00021,NZP2037ICESym_00007,NZP2042ICESym_00007,NZP2234ICESym_00014,NZP2298ICESym_00019,R7AICESym_00016,R88BICESym_00016,SU343ICESym_00007
R7AICESym_00017,msi017,fixN,cytochrome c oxidase; cbb3-type; subunit I,Core,10,10,1,1,1043,.,.,.,1610,1610,537,1610,ATCC700743ICESym_00008,MAFF303099ICESym_00023,NZP2014ICESym_00022,NZP2037ICESym_00008,NZP2042ICESym_00008,NZP2234ICESym_00015,NZP2298ICESym_00020,R7AICESym_00017,R88BICESym_00017,SU343ICESym_00008
R7AICESym_00019,msi019,fnrN,Crp/Fnr family transcriptional regulator,Core,10,10,1,1,1047,.,.,.,755,764,252,755,ATCC700743ICESym_00010,MAFF303099ICESym_00025,NZP2014ICESym_00024,NZP2037ICESym_00010,NZP2042ICESym_00011,NZP2234ICESym_00017,NZP2298ICESym_00022,R7AICESym_00019,R88BICESym_00019,SU343ICESym_00010
R7AICESym_00021,msi021,.,DUF2274; hypothetical protein,Core,10,10,1,1,1049,.,.,.,245,272,87,260,ATCC700743ICESym_00012,MAFF303099ICESym_00027,NZP2014ICESym_00027,NZP2037ICESym_00012,NZP2042ICESym_00013,NZP2234ICESym_00019,NZP2298ICESym_00024,R7AICESym_00021,R88BICESym_00021,SU343ICESym_00012
R7AICESym_00022,msi022,trbI,conjugal transfer protein; TrbI,Core,10,10,1,1,1050,.,.,.,1214,1214,405,1214,ATCC700743ICESym_00013,MAFF303099ICESym_00028,NZP2014ICESym_00028,NZP2037ICESym_00013,NZP2042ICESym_00014,NZP2234ICESym_00020,NZP2298ICESym_00025,R7AICESym_00022,R88BICESym_00022,SU343ICESym_00013
R7AICESym_00023,msi023,trbG,P-type conjugative transfer protein TrbG,Core,10,10,1,1,1051,.,.,.,1028,1028,343,1028,ATCC700743ICESym_00014,MAFF303099ICESym_00029,NZP2014ICESym_00029,NZP2037ICESym_00014,NZP2042ICESym_00015,NZP2234ICESym_00021,NZP2298ICESym_00026,R7AICESym_00023,R88BICESym_00023,SU343ICESym_00014
