locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00685,R7A2020_00685,0,150372,150680,1,24,0.00378787878787879,309,1,formate dehydrogenase subunit delta
R7A2020_01975,R7A2020_01975,0,438926,439207,1,2,0.00416666666666667,282,1,cupin
R7A2020_02480,R7A2020_02480,0,534149,534403,-1,2,0.00458715596330275,255,1,acyl carrier protein
R7A2020_03050,R7A2020_03050,0,637401,637703,1,32,0.00387596899224806,303,1,hypothetical protein
R7A2020_03475,R7A2020_03475,0,732693,733313,-1,36,0.00378787878787879,621,2,2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
R7A2020_04235,R7A2020_04235,0,891281,891556,-1,4,0.00423728813559322,276,1,hypothetical protein
R7A2020_04460,R7A2020_04460,0,930624,930950,-1,2,0.003584229390681,327,1,chorismate mutase
R7A2020_05435,R7A2020_05435,0,1114557,1115435,-1,22,0.00400534045393859,879,3,acid phosphatase
R7A2020_06090,R7A2020_06090,0,1251081,1251614,1,82,0.0043956043956044,534,2,DUF1465 family protein
R7A2020_06115,ruvB,0,1253632,1254669,1,18,0.00452488687782805,1038,4,Holliday junction branch migration DNA helicase RuvB
R7A2020_06450,R7A2020_06450,0,1327653,1328729,-1,73,0.00436205016357688,1077,4,5-(carboxyamino)imidazole ribonucleotide synthase
R7A2020_06715,R7A2020_06715,0,1371530,1371802,1,1,0.00429184549356223,273,1,DUF4164 domain-containing protein
R7A2020_07895,grxC,0,1607449,1607718,1,33,0.00434782608695652,270,1,glutaredoxin 3
R7A2020_08540,R7A2020_08540,0,1746005,1746259,1,15,0.00458715596330275,255,1,GlsB/YeaQ/YmgE family stress response membrane protein
R7A2020_08640,R7A2020_08640,0,1773300,1775198,-1,18,0.00433168316831683,1899,7,ABC transporter substrate-binding protein
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,5,0.00352733686067019,666,2,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,158,0.00414722654224987,2268,8,penicillin-binding protein
R7A2020_08785,R7A2020_08785,0,1809247,1809540,1,1,0.00398406374501992,294,1,DUF2849 domain-containing protein
R7A2020_08800,R7A2020_08800,0,1812107,1812637,1,25,0.00442477876106195,531,2,DUF934 domain-containing protein
R7A2020_08920,rpoN,0,1832885,1834411,1,127,0.00384911470361817,1527,5,RNA polymerase factor sigma-54
R7A2020_09275,R7A2020_09275,0,1897179,1898021,-1,37,0.00418410041841004,843,3,tetratricopeptide repeat protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,36,0.00436999271667881,1614,6,hypothetical protein
R7A2020_10315,R7A2020_10315,0,2118189,2118707,1,11,0.00451467268623025,519,2,helix-turn-helix transcriptional regulator
R7A2020_10595,R7A2020_10595,0,2173283,2174230,-1,31,0.00371747211895911,948,3,cation transporter
R7A2020_10725,R7A2020_10725,0,2202742,2203011,1,3,0.00434782608695652,270,1,hypothetical protein
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,92,0.0037243947858473,1263,4,CCA tRNA nucleotidyltransferase
R7A2020_10900,ychF,0,2234592,2235695,-1,70,0.00425985090521832,1104,4,redox-regulated ATPase YchF
R7A2020_11635,R7A2020_11635,0,2374143,2374406,1,1,0.00444444444444444,264,1,hypothetical protein
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,7,0.0036697247706422,639,2,TetR/AcrR family transcriptional regulator
R7A2020_12055,R7A2020_12055,0,2462341,2462868,-1,70,0.00444444444444444,528,2,HdeD family acid-resistance protein
R7A2020_12100,R7A2020_12100,0,2471246,2471791,-1,37,0.0043010752688172,546,2,hypothetical protein
R7A2020_12185,tagF,0,2494533,2495075,-1,32,0.00432900432900433,543,2,type VI secretion system-associated protein TagF
R7A2020_12625,R7A2020_12625,0,2593135,2593389,-1,1,0.00458715596330275,255,1,hypothetical protein
R7A2020_12785,R7A2020_12785,0,2619903,2620178,-1,1,0.00423728813559322,276,1,hypothetical protein
R7A2020_13265,R7A2020_13265,0,2705187,2706644,-1,12,0.0040290088638195,1458,5,hypothetical protein
R7A2020_13465,R7A2020_13465,0,2744131,2744439,-1,2,0.00378787878787879,309,1,hypothetical protein
R7A2020_13550,R7A2020_13550,0,2762192,2762464,1,2,0.00429184549356223,273,1,hypothetical protein
