locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00350,R7A2020_00350,0,73139,74233,1,722,0.0128755364806867,1095,12,microcin C ABC transporter permease YejB
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,145,0.0105042016806723,558,5,hypothetical protein
R7A2020_04810,rplS,0,996300,996845,1,536,0.0129032258064516,546,6,50S ribosomal protein L19
R7A2020_06160,ybgF,0,1262592,1263704,1,1316,0.0105596620908131,1113,10,tol-pal system protein YbgF
R7A2020_06450,R7A2020_06450,0,1327653,1328729,-1,726,0.0109051254089422,1077,10,5-(carboxyamino)imidazole ribonucleotide synthase
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,25,0.0114942528735632,204,2,YdcH family protein
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,15,0.0111111111111111,105,1,pseudogene
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,388,0.0115089514066496,918,9,polyprenyl synthetase family protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,145,0.0114942528735632,204,2,hypothetical protein
R7A2020_08055,R7A2020_08055,0,1641568,1643056,1,290,0.0102604577742699,1489,13,
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,515,0.0119402985074627,1182,12,ABC transporter permease
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,1700,0.0129600829445308,2268,25,penicillin-binding protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,168,0.0116959064327485,201,2,hypothetical protein
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,77,0.0119760479041916,588,6,hypothetical protein
R7A2020_09225,kdpF,0,1886116,1886205,1,6,0.012987012987013,90,1,K(+)-transporting ATPase subunit F
R7A2020_09740,R7A2020_09740,0,1998864,1999502,-1,167,0.0110091743119266,639,6,2-dehydro-3-deoxy-phosphogluconate aldolase
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,695,0.0111731843575419,1263,12,CCA tRNA nucleotidyltransferase
R7A2020_10900,ychF,0,2234592,2235695,-1,1082,0.0106496272630458,1104,10,redox-regulated ATPase YchF
R7A2020_11375,greA,0,2324355,2324828,1,160,0.0123762376237624,474,5,transcription elongation factor GreA
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,36,0.010989010989011,213,2,cold-shock protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,535,0.0117647058823529,900,9,hypothetical protein
R7A2020_11560,R7A2020_11560,0,2357898,2358779,1,300,0.012,882,9,hypothetical protein
R7A2020_11630,mntR,0,2373670,2374122,1,479,0.0103626943005181,453,4,manganese-binding transcriptional regulator MntR
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,102,0.0110192837465565,426,4,hypothetical protein
R7A2020_12340,R7A2020_12340,0,2531184,2531774,1,816,0.0119284294234592,591,6,CatB-related O-acetyltransferase
R7A2020_12375,R7A2020_12375,0,2538869,2539255,1,22,0.0121212121212121,387,4,response regulator
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,439,0.0105324751316559,2010,18,AAA family ATPase
R7A2020_12615,R7A2020_12615,0,2592647,2592871,1,19,0.0104166666666667,225,2,hypothetical protein
R7A2020_13115,R7A2020_13115,0,2673540,2673734,1,30,0.0119760479041916,195,2,hypothetical protein
R7A2020_13125,R7A2020_13125,0,2674168,2674383,-1,217,0.0108108108108108,216,2,hypothetical protein
R7A2020_13265,R7A2020_13265,0,2705187,2706644,-1,721,0.0104754230459307,1458,13,hypothetical protein
R7A2020_16460,bmt,0,3360157,3361179,-1,462,0.0114942528735632,1023,10,betaine--homocysteine S-methyltransferase
R7A2020_17060,yajC,0,3490319,3490660,1,41,0.0103092783505155,342,3,preprotein translocase subunit YajC
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,470,0.0111206159110351,1374,13,glutamate--tRNA ligase
R7A2020_19190,R7A2020_19190,0,3954103,3955245,-1,172,0.0123456790123457,1143,12,nitrogen regulation protein NR(II)
R7A2020_19270,eno,0,3968546,3969820,-1,449,0.0110599078341014,1275,12,phosphopyruvate hydratase
R7A2020_20730,R7A2020_20730,0,4233468,4233935,1,267,0.012531328320802,468,5,peroxiredoxin
R7A2020_20820,R7A2020_20820,0,4250979,4251182,-1,6,0.0114942528735632,204,2,hypothetical protein
R7A2020_20860,R7A2020_20860,0,4257565,4258803,-1,746,0.0123222748815166,1239,13,type II toxin-antitoxin system HipA family toxin
R7A2020_20930,R7A2020_20930,0,4274611,4276290,-1,992,0.0126050420168067,1680,18,RecQ family ATP-dependent DNA helicase
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,257,0.010840108401084,867,8,hypothetical protein
R7A2020_20965,R7A2020_20965,0,4281977,4283062,1,1047,0.0108225108225108,1086,10,site-specific integrase
R7A2020_21510,R7A2020_21510,0,4383425,4383610,-1,85,0.0125786163522013,186,2,hypothetical protein
R7A2020_21765,R7A2020_21765,0,4445415,4446356,1,952,0.0112359550561798,942,9,metal ABC transporter substrate-binding protein
R7A2020_22310,R7A2020_22310,0,4550014,4551381,1,190,0.0111683848797251,1368,13,tyrosine-protein kinase family protein
R7A2020_22325,R7A2020_22325,0,4554544,4556745,-1,1552,0.0122863247863248,2202,23,RNA degradosome polyphosphate kinase
R7A2020_22795,R7A2020_22795,0,4630146,4630361,1,184,0.0108108108108108,216,2,hypothetical protein
R7A2020_22815,bet,0,4631427,4632443,1,645,0.0103926096997691,1017,9,phage recombination protein Bet
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,252,0.0105263157894737,669,6,CvpA family protein
R7A2020_23595,R7A2020_23595,0,4777668,4777775,-1,43,0.010752688172043,108,1,pseudogene
R7A2020_23710,R7A2020_23710,0,4800242,4800332,-1,176,0.0128205128205128,91,1,
R7A2020_25805,R7A2020_25805,0,5251968,5252810,-1,204,0.0125523012552301,843,9,carbohydrate ABC transporter permease
R7A2020_26770,R7A2020_26770,0,5462138,5462338,-1,106,0.0116959064327485,201,2,GMP synthase
R7A2020_26865,R7A2020_26865,0,5478898,5479110,-1,240,0.010989010989011,213,2,hypothetical protein
R7A2020_26960,R7A2020_26960,0,5498833,5499600,1,519,0.0122324159021407,768,8,serine/threonine protein phosphatase
R7A2020_27360,R7A2020_27360,0,5578335,5578793,-1,106,0.0127551020408163,459,5,YbhB/YbcL family Raf kinase inhibitor-like protein
R7A2020_27685,R7A2020_27685,0,5662128,5662541,-1,111,0.0113314447592068,414,4,hypothetical protein
R7A2020_27730,R7A2020_27730,0,5671627,5671965,1,29,0.0103448275862069,339,3,hypothetical protein
R7A2020_27950,R7A2020_27950,0,5721492,5722181,1,347,0.0119250425894378,690,7,hypothetical protein
