locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
R7A2020_00005	dnaA	0	1	1545	1	0	0	1545	0	"chromosomal replication initiator protein DnaA"
R7A2020_00010	R7A2020_00010	0	1851	2969	1	0	0	1119	0	"DNA polymerase III subunit beta"
R7A2020_00015	recF	0	3053	4192	1	2831	0.0763673890608875	1140	74	"DNA replication/repair protein RecF"
R7A2020_00020	R7A2020_00020	0	4224	4976	1	1800	0.0795631825273011	753	51	"molybdopterin-synthase adenylyltransferase MoeB"
R7A2020_00025	R7A2020_00025	0	4991	5467	1	1062	0.0810810810810811	477	33	"GNAT family N-acetyltransferase"
R7A2020_00030	R7A2020_00030	0	5518	6519	-1	2571	0.0762910798122066	1002	65	"D-glycerate dehydrogenase"
R7A2020_00035	R7A2020_00035	0	6668	7228	1	0	0	561	0	"hypothetical protein"
R7A2020_00040	R7A2020_00040	0	7218	7607	-1	927	0.0632530120481928	390	21	"DUF4260 domain-containing protein"
R7A2020_00045	R7A2020_00045	0	7664	8095	-1	111	0.0190217391304348	432	7	"transcriptional repressor"
R7A2020_00050	fabA	0	8338	8853	1	0	0	516	0	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA"
R7A2020_00055	fabB	0	8903	10123	1	0	0	1221	0	"beta-ketoacyl-ACP synthase I"
R7A2020_00060	fabI	0	10155	10958	1	1380	0.0745614035087719	804	51	"enoyl-ACP reductase FabI"
R7A2020_00065	R7A2020_00065	0	11114	12658	1	3347	0.0722983257229833	1545	95	"bifunctional diguanylate cyclase/phosphodiesterase"
R7A2020_00070	R7A2020_00070	0	12664	13674	-1	3127	0.077906976744186	1011	67	"class I SAM-dependent methyltransferase"
R7A2020_00075	pnp	0	13800	15947	-1	13	0.00164203612479475	2148	3	"polyribonucleotide nucleotidyltransferase"
R7A2020_00080	rpsO	0	16357	16626	-1	11	0.00434782608695652	270	1	"30S ribosomal protein S15"
R7A2020_00085	corA	0	16808	17902	-1	2235	0.0697424892703863	1095	65	"magnesium/cobalt transporter CorA"
R7A2020_00090	truB	0	17947	18924	-1	2073	0.0504201680672269	978	42	"tRNA pseudouridine(55) synthase TruB"
R7A2020_00095	rbfA	0	18924	19379	-1	978	0.0616966580976864	456	24	"30S ribosome-binding factor RbfA"
R7A2020_00100	infB	0	19554	22136	-1	17	0.000455373406193078	2583	1	"translation initiation factor IF-2"
R7A2020_00105	R7A2020_00105	0	22133	22783	-1	179	0.0126353790613718	651	7	"RNA-binding protein"
R7A2020_00110	nusA	0	22822	24417	-1	799	0.00810014727540501	1596	11	"transcription termination/antitermination protein NusA"
R7A2020_00115	rimP	0	24467	25114	-1	333	0.00905797101449275	648	5	"ribosome maturation factor RimP"
R7A2020_00120	R7A2020_00120	0	25401	25565	1	117	0.0354609929078014	165	5	"hypothetical protein"
R7A2020_00125	trmB	0	25589	26290	-1	1941	0.0804020100502513	702	48	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
R7A2020_00130	R7A2020_00130	0	26316	27581	-1	0	0	1266	0	"methionine adenosyltransferase"
R7A2020_00135	R7A2020_00135	0	27750	28169	-1	183	0.0252100840336134	420	9	"helix-turn-helix transcriptional regulator"
R7A2020_00140	lnt	0	28308	29900	-1	1641	0.0479704797047971	1593	65	"apolipoprotein N-acyltransferase"
R7A2020_00145	R7A2020_00145	0	30081	31025	-1	2883	0.0783582089552239	945	63	"LysR family transcriptional regulator"
R7A2020_00150	R7A2020_00150	0	31126	31887	1	3407	0.101851851851852	762	66	"SDR family oxidoreductase"
R7A2020_00155	R7A2020_00155	0	31913	32383	-1	1105	0.0822942643391521	471	33	glyoxalase
R7A2020_00160	R7A2020_00160	0	32397	33473	-1	6507	0.103598691384951	1077	95	"HlyC/CorC family transporter"
R7A2020_00165	ybeY	0	33501	34001	-1	362	0.0305164319248826	501	13	"rRNA maturation RNase YbeY"
R7A2020_00170	R7A2020_00170	0	34020	35069	-1	3574	0.101903695408735	1050	91	"PhoH family protein"
R7A2020_00175	miaB	0	35096	36505	-1	6659	0.097581317764804	1410	117	"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB"
R7A2020_00180	R7A2020_00180	0	36582	37382	-1	1216	0.0719530102790015	801	49	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
R7A2020_00185	rimI	0	37410	37904	-1	1600	0.0592417061611374	495	25	"ribosomal protein S18-alanine N-acetyltransferase"
R7A2020_00190	tsaB	0	37904	38581	-1	0	0	678	0	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
R7A2020_00195	R7A2020_00195	0	38678	39781	-1	2259	0.0681576144834931	1104	64	"DUF1513 domain-containing protein"
R7A2020_00200	R7A2020_00200	0	39784	40863	-1	2151	0.0631808278867102	1080	58	"peptidase M75, Imelysin"
R7A2020_00205	R7A2020_00205	0	40863	42464	-1	2800	0.0550660792951542	1602	75	"c-type cytochrome"
R7A2020_00210	bfr	0	42477	42962	-1	762	0.070048309178744	486	29	bacterioferritin
R7A2020_00215	R7A2020_00215	0	42928	43239	-1	559	0.0488721804511278	312	13	"(2Fe-2S)-binding protein"
R7A2020_00220	R7A2020_00220	0	43352	44641	-1	2553	0.0574293527803099	1290	63	peptidase
R7A2020_00225	R7A2020_00225	0	45077	46330	1	359	0.0131208997188379	1254	14	"FAD-dependent oxidoreductase"
R7A2020_00230	R7A2020_00230	0	46435	47712	-1	4085	0.0983455882352941	1278	107	"4-aminobutyrate--2-oxoglutarate transaminase"
R7A2020_00235	R7A2020_00235	0	47950	49089	1	3279	0.087719298245614	1140	85	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00240	R7A2020_00240	0	49086	50156	1	4500	0.110867178924259	1071	101	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00245	R7A2020_00245	0	50153	53212	1	9749	0.0822760476739716	3060	214	"efflux RND transporter permease subunit"
R7A2020_00250	R7A2020_00250	0	53287	54033	-1	2063	0.0723270440251572	747	46	"ABC transporter ATP-binding protein"
R7A2020_00255	R7A2020_00255	0	54030	54866	-1	2660	0.0799438990182328	837	57	"ABC transporter ATP-binding protein"
R7A2020_00260	R7A2020_00260	0	54863	55783	-1	2377	0.0727969348659004	921	57	"ABC transporter permease"
R7A2020_00265	R7A2020_00265	0	55780	56841	-1	3062	0.0941306755260244	1062	85	"ABC transporter permease"
R7A2020_00270	R7A2020_00270	0	56860	58503	-1	3542	0.0708154506437768	1644	99	"ABC transporter substrate-binding protein"
R7A2020_00275	R7A2020_00275	0	58765	60012	-1	1836	0.0536723163841808	1248	57	"lytic murein transglycosylase"
R7A2020_00280	recR	0	60033	60638	-1	1789	0.112403100775194	606	58	"recombination protein RecR"
R7A2020_00285	R7A2020_00285	0	60730	61731	-1	2761	0.0856807511737089	1002	73	"cell wall hydrolase"
