locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00400,R7A2020_00400,0,84193,84268,1,27,0.0151515151515152,76,1,
R7A2020_00425,R7A2020_00425,0,86399,86854,1,204,0.0154241645244216,456,6,periplasmic heavy metal sensor
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,247,0.0146666666666667,882,11,family 16 glycosylhydrolase
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,57,0.0151515151515152,387,5,TIGR02300 family protein
R7A2020_01925,R7A2020_01925,0,423726,424187,1,112,0.0152671755725191,462,6,HPr kinase/phosphorylase
R7A2020_01965,addA,0,434750,438262,1,1339,0.0147304988282558,3513,44,double-strand break repair helicase AddA
R7A2020_02005,R7A2020_02005,0,442846,443685,-1,217,0.0140056022408964,840,10,tryptophan synthase subunit alpha
R7A2020_04485,R7A2020_04485,0,936131,936928,1,231,0.0147058823529412,798,10,murein transglycosylase
R7A2020_04795,rimM,0,993945,994544,1,122,0.0137254901960784,600,7,ribosome maturation factor RimM
R7A2020_04865,sdhC,0,1006497,1006916,1,130,0.0140056022408964,420,5,succinate dehydrogenase, cytochrome b556 subunit
R7A2020_05735,R7A2020_05735,0,1186170,1187540,1,544,0.0137221269296741,1371,16,murein hydrolase activator EnvC
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,73,0.0144927536231884,405,5,ribbon-helix-helix protein, CopG family
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,547,0.0156462585034014,1728,23,hypothetical protein
R7A2020_07190,R7A2020_07190,0,1468235,1468386,-1,45,0.0153846153846154,152,2,pseudogene
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,138,0.0146627565982405,399,5,GFA family protein
R7A2020_08025,R7A2020_08025,0,1635960,1636035,1,24,0.0151515151515152,76,1,
R7A2020_08040,R7A2020_08040,0,1639845,1639921,1,7,0.0149253731343284,77,1,
R7A2020_08065,R7A2020_08065,0,1643470,1643545,1,26,0.0151515151515152,76,1,
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,316,0.0158730158730159,666,9,hypothetical protein
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,109,0.0162162162162162,216,3,hypothetical protein
R7A2020_09675,R7A2020_09675,0,1983240,1984685,-1,438,0.0138211382113821,1446,17,homospermidine synthase
R7A2020_09885,R7A2020_09885,0,2024193,2024504,-1,60,0.0150375939849624,312,4,hypothetical protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,304,0.0152949745083758,1614,21,hypothetical protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,244,0.0143790849673203,900,11,hypothetical protein
R7A2020_11985,R7A2020_11985,0,2446766,2447014,-1,157,0.0140845070422535,249,3,DUF982 domain-containing protein
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,482,0.0140433001755413,2010,24,AAA family ATPase
R7A2020_12615,R7A2020_12615,0,2592647,2592871,1,49,0.015625,225,3,hypothetical protein
R7A2020_13040,R7A2020_13040,0,2657792,2658094,-1,87,0.0155038759689922,303,4,hypothetical protein
R7A2020_14055,R7A2020_14055,0,2865861,2866259,1,259,0.0146627565982405,399,5,type II toxin-antitoxin system HigA family antitoxin
R7A2020_14365,R7A2020_14365,0,2919410,2919646,-1,21,0.0147783251231527,237,3,hypothetical protein
R7A2020_15305,R7A2020_15305,0,3122941,3123222,1,113,0.0166666666666667,282,4,hypothetical protein
R7A2020_15520,ssrA,0,3169262,3169622,-1,53,0.0162866449511401,361,5,
R7A2020_17095,R7A2020_17095,0,3497986,3498126,-1,34,0.0166666666666667,141,2,DUF1127 domain-containing protein
R7A2020_17115,R7A2020_17115,0,3500465,3501316,-1,196,0.0137931034482759,852,10,hypothetical protein
R7A2020_17425,R7A2020_17425,0,3567292,3568173,-1,258,0.016,882,12,CoA ester lyase
R7A2020_18135,R7A2020_18135,0,3729265,3729501,1,73,0.0147783251231527,237,3,Lrp/AsnC family transcriptional regulator
R7A2020_18495,gltA,0,3800313,3801641,-1,723,0.0167992926613616,1329,19,citrate (Si)-synthase
R7A2020_18990,R7A2020_18990,0,3913364,3914170,1,215,0.0160116448326055,807,11,phosphatidylcholine/phosphatidylserine synthase
R7A2020_19920,R7A2020_19920,0,4087351,4088613,-1,447,0.0148975791433892,1263,16,N-acetylmuramoyl-L-alanine amidase
R7A2020_20225,R7A2020_20225,0,4143653,4144765,1,488,0.0158394931362196,1113,15,acyltransferase
R7A2020_20370,R7A2020_20370,0,4167964,4168128,1,77,0.0141843971631206,165,2,hypothetical protein
