locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00950,R7A2020_00950,0,206902,209703,1,2308,0.00839630562552477,2802,20,[protein-PII] uridylyltransferase
R7A2020_01020,R7A2020_01020,0,221399,221935,-1,179,0.00873362445414847,537,4,ActR/PrrA/RegA family redox response regulator transcription factor
R7A2020_02060,rplT,0,451560,451961,1,448,0.0087719298245614,402,3,50S ribosomal protein L20
R7A2020_03875,R7A2020_03875,0,806295,807593,1,103,0.0081374321880651,1299,9,ATP-binding protein
R7A2020_03885,lepA,0,808294,810099,-1,1117,0.0078125,1806,12,elongation factor 4
R7A2020_04705,R7A2020_04705,0,975967,976506,1,308,0.00871459694989107,540,4,AprI/Inh family metalloprotease inhibitor
R7A2020_05620,R7A2020_05620,0,1162426,1162833,1,412,0.00862068965517241,408,3,F0F1 ATP synthase subunit epsilon
R7A2020_05710,R7A2020_05710,0,1181840,1182472,1,120,0.00742115027829314,633,4,nicotinate-nucleotide adenylyltransferase
R7A2020_05925,ssrS,0,1223153,1223308,1,115,0.00746268656716418,156,1,
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,331,0.00854700854700855,825,6,YmdB family metallophosphoesterase
R7A2020_06090,R7A2020_06090,0,1251081,1251614,1,398,0.00879120879120879,534,4,DUF1465 family protein
R7A2020_06105,R7A2020_06105,0,1252521,1252940,1,642,0.00840336134453781,420,3,type II toxin-antitoxin system VapC family toxin
R7A2020_06110,ruvA,0,1252968,1253588,1,44,0.00757575757575758,621,4,Holliday junction branch migration protein RuvA
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,1196,0.00816326530612245,1728,12,hypothetical protein
R7A2020_06640,R7A2020_06640,0,1356681,1356821,1,9,0.00833333333333333,141,1,DUF1127 domain-containing protein
R7A2020_06715,R7A2020_06715,0,1371530,1371802,1,77,0.00858369098712446,273,2,DUF4164 domain-containing protein
R7A2020_07565,R7A2020_07565,0,1542543,1543607,-1,1266,0.00772626931567329,1065,7,DUF2125 domain-containing protein
R7A2020_08350,fosX,0,1700215,1700634,-1,155,0.00840336134453781,420,3,FosX/FosE/FosI family fosfomycin resistance thiol transferase
R7A2020_08825,grpE,0,1816867,1817499,1,217,0.00742115027829314,633,4,nucleotide exchange factor GrpE
R7A2020_09135,R7A2020_09135,0,1870056,1870766,-1,327,0.00826446280991736,711,5,hypothetical protein
R7A2020_09175,R7A2020_09175,0,1877352,1879175,-1,696,0.00773694390715667,1824,12,RNA-directed DNA polymerase
R7A2020_09675,R7A2020_09675,0,1983240,1984685,-1,619,0.00731707317073171,1446,9,homospermidine synthase
R7A2020_09885,R7A2020_09885,0,2024193,2024504,-1,16,0.0075187969924812,312,2,hypothetical protein
R7A2020_11630,mntR,0,2373670,2374122,1,646,0.0077720207253886,453,3,manganese-binding transcriptional regulator MntR
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,35,0.0073394495412844,639,4,TetR/AcrR family transcriptional regulator
R7A2020_12165,R7A2020_12165,0,2490377,2491276,-1,270,0.00784313725490196,900,6,hypothetical protein
R7A2020_12945,R7A2020_12945,0,2643831,2644232,-1,308,0.0087719298245614,402,3,type II toxin-antitoxin system HicB family antitoxin
R7A2020_15090,R7A2020_15090,0,3073091,3073387,-1,74,0.0078740157480315,297,2,type II toxin-antitoxin system RelE/ParE family toxin
R7A2020_15095,R7A2020_15095,0,3073564,3073695,-1,9,0.00884955752212389,132,1,pseudogene
R7A2020_15160,R7A2020_15160,0,3086542,3086937,1,294,0.00887573964497041,396,3,hypothetical protein
R7A2020_15305,R7A2020_15305,0,3122941,3123222,1,29,0.00833333333333333,282,2,hypothetical protein
R7A2020_15920,R7A2020_15920,0,3247156,3248430,1,353,0.00737327188940092,1275,8,NADH-quinone oxidoreductase subunit E
R7A2020_16415,R7A2020_16415,0,3351670,3352299,-1,484,0.00746268656716418,630,4,DUF1638 domain-containing protein
R7A2020_17250,R7A2020_17250,0,3523118,3523381,1,63,0.00888888888888889,264,2,hypothetical protein
R7A2020_18285,R7A2020_18285,0,3761260,3762240,-1,689,0.00839328537170264,981,7,aspartate carbamoyltransferase catalytic subunit
R7A2020_18690,R7A2020_18690,0,3852751,3853065,-1,190,0.00743494423791822,315,2,hypothetical protein
R7A2020_18990,R7A2020_18990,0,3913364,3914170,1,348,0.00873362445414847,807,6,phosphatidylcholine/phosphatidylserine synthase
R7A2020_20490,purQ,0,4187702,4188370,1,652,0.0087719298245614,669,5,phosphoribosylformylglycinamidine synthase subunit PurQ
R7A2020_20940,R7A2020_20940,0,4277816,4278109,-1,34,0.00796812749003984,294,2,hypothetical protein
R7A2020_21615,R7A2020_21615,0,4406095,4406892,-1,1195,0.00882352941176471,798,6,RlmE family RNA methyltransferase
R7A2020_23255,mltG,0,4709673,4710953,-1,353,0.00734618916437098,1281,8,endolytic transglycosylase MltG
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,238,0.0087719298245614,669,5,CvpA family protein
R7A2020_25235,R7A2020_25235,0,5119601,5120191,-1,55,0.00795228628230616,591,4,TetR/AcrR family transcriptional regulator
R7A2020_25320,R7A2020_25320,0,5140741,5141541,1,407,0.00881057268722467,801,6,acyltransferase
R7A2020_25330,R7A2020_25330,0,5142290,5142610,1,9,0.00732600732600733,321,2,hypothetical protein
R7A2020_27585,R7A2020_27585,0,5636131,5636526,1,164,0.00887573964497041,396,3,cupin domain-containing protein
R7A2020_31305,R7A2020_31305,0,6474541,6475806,-1,343,0.0074280408542247,1266,8,two-component sensor histidine kinase
