locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,3,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,0,0,651,0,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,74,0.00368188512518409,1596,5,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,6,0.0036231884057971,648,2,ribosome maturation factor RimP
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00165,ybeY,0,33501,34001,-1,1,0.00234741784037559,501,1,rRNA maturation RNase YbeY
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00225,R7A2020_00225,0,45077,46330,1,1,0.000937207122774133,1254,1,FAD-dependent oxidoreductase
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
R7A2020_00325,R7A2020_00325,0,66722,67585,-1,20,0.00272108843537415,864,2,prephenate dehydratase
R7A2020_00330,R7A2020_00330,0,67622,68350,-1,0,0,729,0,3-deoxy-manno-octulosonate cytidylyltransferase
R7A2020_00400,R7A2020_00400,0,84193,84268,1,0,0,76,0,
R7A2020_00425,R7A2020_00425,0,86399,86854,1,0,0,456,0,periplasmic heavy metal sensor
R7A2020_00605,pgi,0,129779,131422,-1,97,0.00643776824034335,1644,9,glucose-6-phosphate isomerase
R7A2020_00645,R7A2020_00645,0,140334,141503,-1,8,0.00201005025125628,1170,2,Mrp/NBP35 family ATP-binding protein
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,5,0.00742574257425743,474,3,DUF805 domain-containing protein
R7A2020_00875,dut,0,188141,188626,1,2,0.00241545893719807,486,1,dUTP diphosphatase
R7A2020_00950,R7A2020_00950,0,206902,209703,1,61,0.00461796809403862,2802,11,[protein-PII] uridylyltransferase
R7A2020_00955,murJ,0,209750,211330,1,7,0.000744047619047619,1581,1,murein biosynthesis integral membrane protein MurJ
R7A2020_00970,trpS,0,213480,214547,1,0,0,1068,0,tryptophan--tRNA ligase
R7A2020_00980,R7A2020_00980,0,215611,216180,1,29,0.00618556701030928,570,3,NifU family protein
R7A2020_01020,R7A2020_01020,0,221399,221935,-1,13,0.00436681222707424,537,2,ActR/PrrA/RegA family redox response regulator transcription factor
R7A2020_01150,R7A2020_01150,0,248281,250668,-1,14,0.000984736582964057,2388,2,polysaccharide biosynthesis tyrosine autokinase
R7A2020_01160,R7A2020_01160,0,251924,252892,-1,0,0,969,0,glycosyltransferase family 2 protein
R7A2020_01165,R7A2020_01165,0,252882,253832,-1,0,0,951,0,glycosyltransferase family 2 protein
R7A2020_01175,R7A2020_01175,0,254838,256010,-1,0,0,1173,0,glycosyltransferase family 4 protein
R7A2020_01180,R7A2020_01180,0,256198,257694,1,0,0,1497,0,lipopolysaccharide biosynthesis protein
R7A2020_01190,R7A2020_01190,0,258794,259873,-1,11,0.00326797385620915,1080,3,glycosyltransferase family 4 protein
R7A2020_01205,R7A2020_01205,0,261910,263241,-1,9,0.00088261253309797,1332,1,UDP-glucose/GDP-mannose dehydrogenase family protein
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,9,0.00266666666666667,882,2,family 16 glycosylhydrolase
R7A2020_01270,R7A2020_01270,0,275257,276516,1,0,0,1260,0,sugar ABC transporter substrate-binding protein
R7A2020_01275,R7A2020_01275,0,276831,278144,-1,0,0,1314,0,O-antigen ligase family protein
R7A2020_01415,R7A2020_01415,0,310676,310751,-1,0,0,76,0,
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,3,0.00606060606060606,387,2,TIGR02300 family protein
R7A2020_01425,aroA,0,311517,312875,1,0,0,1359,0,3-phosphoshikimate 1-carboxyvinyltransferase
R7A2020_01435,rpsA,0,313815,315512,1,149,0.000692041522491349,1698,1,30S ribosomal protein S1
R7A2020_01525,gyrB,0,335098,337569,1,0,0,2472,0,DNA topoisomerase (ATP-hydrolyzing) subunit B
R7A2020_01550,R7A2020_01550,0,342233,342457,-1,0,0,225,0,aa3-type cytochrome c oxidase subunit IV
R7A2020_01880,R7A2020_01880,0,414115,414318,-1,57,0.00574712643678161,204,1,DUF680 domain-containing protein
R7A2020_01915,R7A2020_01915,0,421062,421763,1,0,0,702,0,response regulator transcription factor
R7A2020_01920,R7A2020_01920,0,421863,423647,1,0,0,1785,0,HAMP domain-containing protein
R7A2020_01925,R7A2020_01925,0,423726,424187,1,2,0.00254452926208651,462,1,HPr kinase/phosphorylase
R7A2020_01930,R7A2020_01930,0,424352,424753,1,0,0,402,0,PTS sugar transporter subunit IIA
R7A2020_01935,R7A2020_01935,0,424750,425046,1,1,0.00393700787401575,297,1,HPr family phosphocarrier protein
R7A2020_01940,R7A2020_01940,0,425222,426622,1,54,0.00503778337531486,1401,6,adenosylhomocysteinase
R7A2020_01945,R7A2020_01945,0,426822,429377,1,3,0.000459981600735971,2556,1,PAS domain-containing protein
R7A2020_01960,addB,0,431619,434753,1,24,0.00337584396099025,3135,9,double-strand break repair protein AddB
R7A2020_01965,addA,0,434750,438262,1,95,0.00301305657850686,3513,9,double-strand break repair helicase AddA
R7A2020_01970,trxA,0,438340,438663,1,0,0,324,0,thioredoxin
R7A2020_01995,R7A2020_01995,0,440425,441750,-1,0,0,1326,0,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
R7A2020_02000,R7A2020_02000,0,441871,442797,-1,0,0,927,0,acetyl-CoA carboxylase carboxyltransferase subunit beta
R7A2020_02005,R7A2020_02005,0,442846,443685,-1,0,0,840,0,tryptophan synthase subunit alpha
R7A2020_02010,trpB,0,443748,444998,-1,0,0,1251,0,tryptophan synthase subunit beta
R7A2020_02015,R7A2020_02015,0,445087,445746,-1,0,0,660,0,phosphoribosylanthranilate isomerase
R7A2020_02045,R7A2020_02045,0,449702,450238,1,0,0,537,0,translation initiation factor IF-3
R7A2020_02055,rpmI,0,451269,451472,1,4,0.00574712643678161,204,1,50S ribosomal protein L35
