locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,3,0.00560224089635854,420,2,helix-turn-helix transcriptional regulator
R7A2020_00350,R7A2020_00350,0,73139,74233,1,18,0.00643776824034335,1095,6,microcin C ABC transporter permease YejB
R7A2020_03080,R7A2020_03080,0,643654,643848,-1,2,0.00598802395209581,195,1,hypothetical protein
R7A2020_03095,R7A2020_03095,0,644980,645372,1,14,0.00597014925373134,393,2,lysozyme inhibitor LprI family protein
R7A2020_03295,pyrF,0,696530,697243,1,161,0.00493421052631579,714,3,orotidine-5'-phosphate decarboxylase
R7A2020_04455,rpsP,0,930164,930565,-1,25,0.00584795321637427,402,2,30S ribosomal protein S16
R7A2020_04670,R7A2020_04670,0,968771,969445,-1,9,0.00521739130434783,675,3,septation protein A
R7A2020_04810,rplS,0,996300,996845,1,17,0.00645161290322581,546,3,50S ribosomal protein L19
R7A2020_04870,sdhD,0,1006919,1007317,1,78,0.00586510263929619,399,2,succinate dehydrogenase, hydrophobic membrane anchor protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,25,0.00495049504950495,474,2,hypothetical protein
R7A2020_04975,R7A2020_04975,0,1026293,1026751,-1,5,0.00510204081632653,459,2,Crp/Fnr family transcriptional regulator
R7A2020_06695,R7A2020_06695,0,1364619,1365815,-1,17,0.00588812561334642,1197,6,phosphoglycerate kinase
R7A2020_06720,R7A2020_06720,0,1371813,1372175,1,5,0.00647249190938511,363,2,cell division protein ZapA
R7A2020_06750,R7A2020_06750,0,1376740,1377147,1,219,0.00574712643678161,408,2,VOC family protein
R7A2020_06870,R7A2020_06870,0,1400354,1400530,-1,1,0.00657894736842105,177,1,hypothetical protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,9,0.00574712643678161,204,1,hypothetical protein
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,98,0.00586510263929619,399,2,GFA family protein
R7A2020_07405,R7A2020_07405,0,1513600,1514211,1,50,0.00575815738963532,612,3,shikimate kinase
R7A2020_07720,R7A2020_07720,0,1574027,1575034,-1,168,0.00582750582750583,1008,5,iron ABC transporter substrate-binding protein
R7A2020_07975,R7A2020_07975,0,1623082,1624038,1,181,0.0049079754601227,957,4,DUF4167 domain-containing protein
R7A2020_08180,R7A2020_08180,0,1666900,1667319,-1,16,0.00560224089635854,420,2,cupin domain-containing protein
R7A2020_08520,polA,0,1740114,1743077,-1,218,0.00515873015873016,2964,13,DNA polymerase I
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,25,0.00597014925373134,1182,6,ABC transporter permease
R7A2020_08740,R7A2020_08740,0,1799721,1799909,1,3,0.00617283950617284,189,1,hypothetical protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,333,0.00518403317781234,2268,10,penicillin-binding protein
R7A2020_09165,R7A2020_09165,0,1875069,1876010,-1,56,0.00624219725343321,942,5,hypothetical protein
R7A2020_09785,R7A2020_09785,0,2006145,2006354,1,1,0.00558659217877095,210,1,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,6,0.00549450549450549,642,3,hypothetical protein
R7A2020_09975,R7A2020_09975,0,2041292,2041879,-1,5,0.00598802395209581,588,3,lytic transglycosylase domain-containing protein
R7A2020_10390,R7A2020_10390,0,2136346,2136537,-1,13,0.00609756097560976,192,1,hypothetical protein
R7A2020_10900,ychF,0,2234592,2235695,-1,18,0.0053248136315229,1104,5,redox-regulated ATPase YchF
R7A2020_10915,R7A2020_10915,0,2237500,2238411,-1,15,0.00515463917525773,912,4,hypothetical protein
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,1,0.00549450549450549,213,1,cold-shock protein
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,3,0.0055045871559633,639,3,TetR/AcrR family transcriptional regulator
R7A2020_11790,R7A2020_11790,0,2407057,2407641,-1,51,0.00602409638554217,585,3,cephalosporin hydroxylase
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,47,0.00550964187327824,426,2,hypothetical protein
R7A2020_12180,R7A2020_12180,0,2493430,2494533,-1,58,0.00638977635782748,1104,6,DUF2169 domain-containing protein
R7A2020_12185,tagF,0,2494533,2495075,-1,58,0.00649350649350649,543,3,type VI secretion system-associated protein TagF
R7A2020_12230,R7A2020_12230,0,2506868,2507317,-1,4,0.00522193211488251,450,2,type VI secretion system tube protein Hcp
R7A2020_12260,R7A2020_12260,0,2514110,2514859,-1,15,0.00626959247648903,750,4,ribonuclease activity regulator RraA
R7A2020_12825,R7A2020_12825,0,2626202,2626615,1,3,0.0056657223796034,414,2,SnoaL-like domain-containing protein
R7A2020_12925,R7A2020_12925,0,2640797,2641249,1,4,0.00518134715025907,453,2,SRPBCC domain-containing protein
R7A2020_13120,R7A2020_13120,0,2673840,2674070,1,4,0.0050761421319797,231,1,hypothetical protein
R7A2020_14245,R7A2020_14245,0,2903373,2903600,1,1,0.00512820512820513,228,1,hypothetical protein
R7A2020_14290,R7A2020_14290,0,2911797,2912216,1,51,0.00560224089635854,420,2,HNH endonuclease
R7A2020_14410,R7A2020_14410,0,2927042,2927650,1,48,0.00578034682080925,609,3,HMP/thiamine-binding protein
R7A2020_14430,R7A2020_14430,0,2930413,2931192,-1,18,0.00603318250377074,780,4,hypothetical protein
R7A2020_14675,R7A2020_14675,0,2978745,2979773,1,45,0.00570776255707763,1029,5,LacI family DNA-binding transcriptional regulator
R7A2020_15365,R7A2020_15365,0,3137027,3137935,1,170,0.00645994832041344,909,5,sugar phosphate isomerase/epimerase
R7A2020_15845,R7A2020_15845,0,3231732,3232118,-1,73,0.00606060606060606,387,2,cobalamin biosynthesis protein
R7A2020_16100,R7A2020_16100,0,3286049,3286435,1,5,0.00606060606060606,387,2,MerR family DNA-binding transcriptional regulator
R7A2020_16495,R7A2020_16495,0,3370154,3370356,1,24,0.00578034682080925,203,1,pseudogene
R7A2020_17010,R7A2020_17010,0,3480704,3480925,1,18,0.00529100529100529,222,1,twin-arginine translocase TatA/TatE family subunit
R7A2020_17135,R7A2020_17135,0,3503804,3505282,1,76,0.00635424940428912,1479,8,trigger factor
R7A2020_17510,gcvP,0,3586281,3589091,-1,90,0.00543933054393305,2811,13,aminomethyl-transferring glycine dehydrogenase
R7A2020_17515,gcvH,0,3589109,3589477,-1,2,0.00634920634920635,369,2,glycine cleavage system protein GcvH
R7A2020_18380,R7A2020_18380,0,3779176,3779607,-1,46,0.00543478260869565,432,2,HIT family protein
R7A2020_18695,R7A2020_18695,0,3854347,3854574,1,6,0.00512820512820513,228,1,pseudogene
R7A2020_19045,R7A2020_19045,0,3924825,3925622,-1,88,0.00588235294117647,798,4,sterol desaturase family protein
R7A2020_19050,R7A2020_19050,0,3925958,3926191,1,56,0.005,234,1,hypothetical protein
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,116,0.00557103064066852,2955,14,Rne/Rng family ribonuclease
R7A2020_20655,R7A2020_20655,0,4216318,4216710,-1,38,0.00597014925373134,393,2,SUF system Fe-S cluster assembly protein
R7A2020_20810,R7A2020_20810,0,4249955,4250491,-1,9,0.00655021834061135,537,3,inorganic pyrophosphatase
R7A2020_20820,R7A2020_20820,0,4250979,4251182,-1,1,0.00574712643678161,204,1,hypothetical protein
R7A2020_20870,R7A2020_20870,0,4260734,4261186,-1,24,0.00518134715025907,453,2,MucR family transcriptional regulator
R7A2020_20930,R7A2020_20930,0,4274611,4276290,-1,332,0.00630252100840336,1680,9,RecQ family ATP-dependent DNA helicase
R7A2020_20990,R7A2020_20990,0,4287332,4288732,1,85,0.00503778337531486,1401,6,hypothetical protein
R7A2020_21550,R7A2020_21550,0,4390238,4391452,-1,18,0.00580270793036751,1215,6,AI-2E family transporter
R7A2020_21760,R7A2020_21760,0,4444513,4445388,1,72,0.00536193029490617,876,4,metal ABC transporter permease
R7A2020_21765,R7A2020_21765,0,4445415,4446356,1,13,0.00499375780274657,942,4,metal ABC transporter substrate-binding protein
R7A2020_21785,R7A2020_21785,0,4448735,4449271,-1,29,0.00655021834061135,537,3,damage-inducible protein DinB
R7A2020_22310,R7A2020_22310,0,4550014,4551381,1,56,0.00515463917525773,1368,6,tyrosine-protein kinase family protein
R7A2020_22480,R7A2020_22480,0,4583989,4584753,1,37,0.00614439324116743,765,4,hypothetical protein
R7A2020_22490,R7A2020_22490,0,4585233,4585442,-1,11,0.00558659217877095,210,1,hypothetical protein
R7A2020_22550,R7A2020_22550,0,4593330,4593548,1,23,0.00531914893617021,219,1,hypothetical protein
R7A2020_22745,R7A2020_22745,0,4624474,4624695,-1,18,0.00529100529100529,222,1,hypothetical protein
R7A2020_22770,R7A2020_22770,0,4627269,4627454,-1,4,0.00628930817610063,186,1,hypothetical protein
R7A2020_22830,R7A2020_22830,0,4633434,4633664,1,32,0.0050761421319797,231,1,hypothetical protein
R7A2020_22900,R7A2020_22900,0,4643067,4643306,-1,13,0.00490196078431373,240,1,DUF680 domain-containing protein
R7A2020_23080,R7A2020_23080,0,4676257,4676913,1,9,0.00535714285714286,657,3,porin family protein
R7A2020_23255,mltG,0,4709673,4710953,-1,78,0.00550964187327824,1281,6,endolytic transglycosylase MltG
R7A2020_23630,R7A2020_23630,0,4783368,4783967,-1,6,0.00588235294117647,600,3,DUF2062 domain-containing protein
R7A2020_23645,R7A2020_23645,0,4785287,4787515,-1,90,0.00632911392405063,2229,12,bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
R7A2020_23655,R7A2020_23655,0,4788368,4788949,1,85,0.00606060606060606,582,3,NYN domain-containing protein
R7A2020_24055,R7A2020_24055,0,4874262,4875074,-1,38,0.00578034682080925,813,4,peptidoglycan-binding protein
R7A2020_24290,R7A2020_24290,0,4924443,4924889,1,7,0.005249343832021,447,2,pilus assembly protein
R7A2020_24430,R7A2020_24430,0,4962842,4963375,-1,8,0.00659340659340659,534,3,pseudogene
R7A2020_24725,ctaD,0,5023737,5025389,-1,108,0.00640113798008535,1653,9,cytochrome c oxidase subunit I
R7A2020_24895,purD,0,5056454,5057731,-1,127,0.00551470588235294,1278,6,phosphoribosylamine--glycine ligase
R7A2020_26505,R7A2020_26505,0,5399820,5400395,-1,61,0.00610997963340122,576,3,TetR/AcrR family transcriptional regulator
R7A2020_27230,R7A2020_27230,0,5552694,5553305,-1,28,0.00575815738963532,612,3,general secretion pathway protein GspJ
R7A2020_27475,R7A2020_27475,0,5605019,5605696,1,25,0.00519031141868512,678,3,response regulator transcription factor
R7A2020_27570,R7A2020_27570,0,5633863,5634822,-1,11,0.00612745098039216,960,5,aldo/keto reductase
R7A2020_27700,R7A2020_27700,0,5663620,5664762,1,61,0.0051440329218107,1143,5,AraC family transcriptional regulator
R7A2020_27900,R7A2020_27900,0,5708696,5709271,-1,19,0.00610997963340122,576,3,DUF1349 domain-containing protein
R7A2020_27955,R7A2020_27955,0,5722224,5723045,-1,21,0.00572246065808298,822,4,helix-turn-helix transcriptional regulator
R7A2020_28110,R7A2020_28110,0,5752010,5752558,-1,44,0.00641025641025641,549,3,hypothetical protein
R7A2020_28485,R7A2020_28485,0,5840392,5840946,-1,6,0.00634249471458774,555,3,tetratricopeptide repeat protein
R7A2020_28540,R7A2020_28540,0,5850479,5851114,1,7,0.00553505535055351,636,3,pilus assembly protein
