# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* R7A2020_00005       K02313  132.30  480.5  2.5e-144 chromosomal replication initiator protein
* R7A2020_00010       K02338   42.50  409.7    1e-122 DNA polymerase III subunit beta [EC:2.7.7.7]
* R7A2020_00015       K03629  114.97  377.6  2.5e-113 DNA replication and repair protein RecF
* R7A2020_00030       K00015  407.10  447.3  2.6e-134 glyoxylate reductase [EC:1.1.1.26]
* R7A2020_00045       K09826  115.17  233.7   5.5e-70 Fur family transcriptional regulator, iron response regulator
* R7A2020_00050       K01716  176.80  302.5   3.8e-91 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
* R7A2020_00055       K00647  359.37  377.5  5.4e-113 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
* R7A2020_00060       K00208  266.70  450.5  1.5e-135 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
* R7A2020_00065       K21023  318.10  527.3  3.1e-158 diguanylate cyclase [EC:2.7.7.65]
* R7A2020_00070       K00564  108.20  217.0   1.6e-64 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]
* R7A2020_00075       K00962  346.23 1097.3         0 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* R7A2020_00080       K02956   28.77  136.7   3.2e-40 small subunit ribosomal protein S15
* R7A2020_00085       K03284  161.33  325.0   2.9e-97 magnesium transporter
* R7A2020_00090       K03177  194.27  330.7   5.6e-99 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* R7A2020_00095       K02834   30.93  139.1   5.3e-41 ribosome-binding factor A
* R7A2020_00100       K02519  324.40 1033.8         0 translation initiation factor IF-2
* R7A2020_00105       K07742   25.53  155.3   7.6e-46 uncharacterized protein
* R7A2020_00110       K02600   40.17  629.3  1.8e-189 transcription termination/antitermination protein NusA
* R7A2020_00115       K09748   28.13  196.3   2.5e-58 ribosome maturation factor RimP
* R7A2020_00125       K03439   74.33  195.8   5.4e-58 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
