locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,2,0.00180505415162455,651,1,RNA-binding protein
R7A2020_03005,R7A2020_03005,0,629720,630379,-1,1,0.0017825311942959,660,1,YihA family ribosome biogenesis GTP-binding protein
R7A2020_04040,dnaQ,0,838929,839651,-1,10,0.0016260162601626,723,1,DNA polymerase III subunit epsilon
R7A2020_06235,R7A2020_06235,0,1282165,1282809,-1,4,0.00182149362477231,645,1,thiamine diphosphokinase
R7A2020_06645,R7A2020_06645,0,1357202,1357894,1,1,0.00169491525423729,693,1,DUF1013 domain-containing protein
R7A2020_07665,lysA,0,1560167,1561435,-1,3,0.00185185185185185,1269,2,diaminopimelate decarboxylase
R7A2020_08915,lptB,0,1831812,1832630,1,6,0.00143266475644699,819,1,LPS export ABC transporter ATP-binding protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,3,0.00145666423889294,1614,2,hypothetical protein
R7A2020_11625,R7A2020_11625,0,2372075,2373439,-1,2,0.00172265288544358,1365,2,Nramp family divalent metal transporter
R7A2020_14435,R7A2020_14435,0,2931551,2932246,1,1,0.00168634064080944,696,1,isoprenylcysteine carboxylmethyltransferase family protein
R7A2020_15950,R7A2020_15950,0,3254334,3254954,1,1,0.00189393939393939,621,1,NADH-quinone oxidoreductase subunit J
R7A2020_16025,lipB,0,3271093,3271836,-1,1,0.00157977883096367,744,1,lipoyl(octanoyl) transferase LipB
R7A2020_17230,map,0,3520634,3521461,-1,1,0.00141843971631206,828,1,type I methionyl aminopeptidase
R7A2020_18510,lexA,0,3805802,3806539,-1,1,0.00158982511923688,738,1,transcriptional repressor LexA
R7A2020_18930,R7A2020_18930,0,3899616,3900254,1,3,0.0018348623853211,639,1,DUF2059 domain-containing protein
R7A2020_18990,R7A2020_18990,0,3913364,3914170,1,6,0.00145560407569141,807,1,phosphatidylcholine/phosphatidylserine synthase
R7A2020_19430,R7A2020_19430,0,4003697,4004488,-1,2,0.00148367952522255,792,1,ATPase
R7A2020_19915,R7A2020_19915,0,4084681,4087137,-1,5,0.00143540669856459,2457,3,penicillin-binding protein 1A
R7A2020_20025,R7A2020_20025,0,4108484,4109116,1,1,0.00185528756957328,633,1,PAS domain-containing protein
R7A2020_20665,sufD,0,4218075,4219343,-1,7,0.00185185185185185,1269,2,Fe-S cluster assembly protein SufD
R7A2020_20890,R7A2020_20890,0,4265917,4266741,1,1,0.00142450142450142,825,1,hypothetical protein
R7A2020_21440,R7A2020_21440,0,4372404,4373051,1,15,0.00181159420289855,648,1,dihydrofolate reductase
R7A2020_21615,R7A2020_21615,0,4406095,4406892,-1,2,0.00147058823529412,798,1,RlmE family RNA methyltransferase
R7A2020_21710,R7A2020_21710,0,4426059,4434656,-1,29,0.00150478796169631,8598,11,protein ndvB
R7A2020_22340,R7A2020_22340,0,4558550,4559176,-1,1,0.00187265917602996,627,1,hypothetical protein
R7A2020_22480,R7A2020_22480,0,4583989,4584753,1,3,0.00153609831029186,765,1,hypothetical protein
R7A2020_23080,R7A2020_23080,0,4676257,4676913,1,2,0.00178571428571429,657,1,porin family protein
R7A2020_23825,R7A2020_23825,0,4823021,4824700,-1,17,0.00140056022408964,1680,2,electron transfer flavoprotein-ubiquinone oxidoreductase
R7A2020_24445,R7A2020_24445,0,4966287,4968200,-1,12,0.00184275184275184,1914,3,hypothetical protein
R7A2020_28105,R7A2020_28105,0,5751197,5751894,1,6,0.00168067226890756,698,1,pseudogene
