locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00165,ybeY,0,33501,34001,-1,15,0.0140845070422535,501,6,rRNA maturation RNase YbeY
R7A2020_00225,R7A2020_00225,0,45077,46330,1,111,0.0159325210871603,1254,17,FAD-dependent oxidoreductase
R7A2020_00335,R7A2020_00335,0,68544,69191,1,30,0.0144927536231884,648,8,cytochrome c family protein
R7A2020_00980,R7A2020_00980,0,215611,216180,1,65,0.0144329896907217,570,7,NifU family protein
R7A2020_01020,R7A2020_01020,0,221399,221935,-1,20,0.0152838427947598,537,7,ActR/PrrA/RegA family redox response regulator transcription factor
R7A2020_01125,R7A2020_01125,0,244312,244758,-1,59,0.015748031496063,447,6,nuclear transport factor 2 family protein
R7A2020_01950,tsaE,0,429386,430897,1,100,0.0139968895800933,1512,18,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_04385,R7A2020_04385,0,918997,919452,-1,22,0.0154241645244216,456,6,winged helix-turn-helix transcriptional regulator
R7A2020_04455,rpsP,0,930164,930565,-1,10,0.0146198830409357,402,5,30S ribosomal protein S16
R7A2020_04600,R7A2020_04600,0,957039,957425,-1,20,0.0151515151515152,387,5,DUF2794 domain-containing protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,17,0.0148514851485149,474,6,hypothetical protein
R7A2020_05925,ssrS,0,1223153,1223308,1,8,0.0149253731343284,156,2,
R7A2020_06055,R7A2020_06055,0,1245435,1246082,-1,32,0.0144927536231884,648,8,thiamine phosphate synthase
R7A2020_06175,R7A2020_06175,0,1267265,1267723,-1,23,0.0153061224489796,459,6,hypothetical protein
R7A2020_06200,R7A2020_06200,0,1272893,1274068,1,72,0.015984015984016,1176,16,phosphoserine transaminase
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,135,0.0142671854734112,906,11,anti-sigma factor
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,64,0.0152582159624413,1002,13,DUF4034 domain-containing protein
R7A2020_06735,rpoH,0,1374099,1375010,-1,118,0.0154639175257732,912,12,RNA polymerase sigma factor RpoH
R7A2020_08060,R7A2020_08060,0,1643343,1643419,1,1,0.0149253731343284,77,1,
R7A2020_08080,R7A2020_08080,0,1647355,1647431,1,1,0.0149253731343284,77,1,
R7A2020_08420,R7A2020_08420,0,1713672,1714190,1,12,0.0135440180586907,519,6,YcnI family protein
R7A2020_09210,R7A2020_09210,0,1883833,1884069,-1,6,0.0147783251231527,237,3,hypothetical protein
R7A2020_09325,R7A2020_09325,0,1906150,1906410,1,48,0.0135135135135135,261,3,hypothetical protein
R7A2020_09615,R7A2020_09615,0,1967578,1969032,1,119,0.0153473344103393,1455,19,glutamate synthase subunit beta
R7A2020_10195,R7A2020_10195,0,2086500,2087696,1,138,0.0157016683022571,1197,16,acyl-CoA dehydrogenase
R7A2020_11375,greA,0,2324355,2324828,1,32,0.0148514851485149,474,6,transcription elongation factor GreA
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,26,0.0143790849673203,900,11,hypothetical protein
R7A2020_11560,R7A2020_11560,0,2357898,2358779,1,50,0.016,882,12,hypothetical protein
