locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,8,0.00543478260869565,432,2,transcriptional repressor
R7A2020_00080,rpsO,0,16357,16626,-1,4,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,9,0.00533333333333333,882,4,family 16 glycosylhydrolase
R7A2020_01260,R7A2020_01260,0,273619,273894,-1,2,0.00423728813559322,276,1,exopolysaccharide production repressor exox
R7A2020_01550,R7A2020_01550,0,342233,342457,-1,11,0.00520833333333333,225,1,aa3-type cytochrome c oxidase subunit IV
R7A2020_01925,R7A2020_01925,0,423726,424187,1,8,0.00508905852417303,462,2,HPr kinase/phosphorylase
R7A2020_02020,R7A2020_02020,0,445871,446089,1,2,0.00531914893617021,219,1,hypothetical protein
R7A2020_03160,R7A2020_03160,0,660869,661696,1,7,0.00425531914893617,828,3,ferredoxin--NADP reductase
R7A2020_03480,R7A2020_03480,0,733356,734177,-1,9,0.00429184549356223,822,3,4-hydroxy-tetrahydrodipicolinate reductase
R7A2020_03860,secB,0,802736,803239,1,20,0.00466200466200466,504,2,protein-export chaperone SecB
R7A2020_03950,R7A2020_03950,0,822714,822929,-1,1,0.00540540540540541,216,1,hypothetical protein
R7A2020_04495,R7A2020_04495,0,937852,938319,-1,3,0.0050125313283208,468,2,hypothetical protein
R7A2020_04770,R7A2020_04770,0,989204,990610,1,10,0.00417710944026733,1407,5,dihydrolipoyl dehydrogenase
R7A2020_05600,R7A2020_05600,0,1157669,1158229,1,4,0.00419287211740042,561,2,F0F1 ATP synthase subunit delta
R7A2020_07185,R7A2020_07185,0,1466946,1468166,1,7,0.00481695568400771,1221,5,DUF930 domain-containing protein
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,6,0.00549450549450549,642,3,hypothetical protein
R7A2020_07545,R7A2020_07545,0,1538039,1539208,-1,17,0.0050251256281407,1170,5,homoserine O-acetyltransferase
R7A2020_08055,R7A2020_08055,0,1641568,1643056,1,11,0.00473559589581689,1489,6,
R7A2020_08500,R7A2020_08500,0,1735877,1736584,-1,8,0.00497512437810945,708,3,hypothetical protein
R7A2020_08610,R7A2020_08610,0,1767352,1767876,-1,10,0.00447427293064877,525,2,GNAT family N-acetyltransferase
R7A2020_08635,R7A2020_08635,0,1772299,1773297,-1,12,0.00470035252643948,999,4,ABC transporter permease
R7A2020_08680,R7A2020_08680,0,1784387,1784842,-1,2,0.0051413881748072,456,2,cyclic nucleotide-binding domain-containing protein
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,38,0.00518403317781234,2268,10,penicillin-binding protein
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,2,0.00540540540540541,216,1,hypothetical protein
R7A2020_09145,R7A2020_09145,0,1872295,1873005,-1,7,0.00495867768595041,711,3,hypothetical protein
R7A2020_09325,R7A2020_09325,0,1906150,1906410,1,23,0.0045045045045045,261,1,hypothetical protein
R7A2020_09345,R7A2020_09345,0,1908827,1909471,-1,6,0.00546448087431694,645,3,TetR/AcrR family transcriptional regulator
R7A2020_10900,ychF,0,2234592,2235695,-1,19,0.00425985090521832,1104,4,redox-regulated ATPase YchF
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,10,0.0048780487804878,723,3,aminoacyl-tRNA hydrolase
R7A2020_11380,waaC,0,2324978,2325952,-1,6,0.00481927710843374,975,4,lipopolysaccharide heptosyltransferase I
R7A2020_11390,rfaD,0,2326929,2327879,-1,11,0.00494437577255871,951,4,ADP-glyceromanno-heptose 6-epimerase
R7A2020_11430,R7A2020_11430,0,2334313,2335209,1,16,0.00523560209424084,897,4,LysR family transcriptional regulator
