locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00075,pnp,0,13800,15947,-1,1,0.000547345374931582,2148,1,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,1,0.00180505415162455,651,1,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,4,0.000736377025036819,1596,1,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,0,0,648,0,ribosome maturation factor RimP
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,2,0.00173010380622837,678,1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
R7A2020_00330,R7A2020_00330,0,67622,68350,-1,0,0,729,0,3-deoxy-manno-octulosonate cytidylyltransferase
R7A2020_00400,R7A2020_00400,0,84193,84268,1,0,0,76,0,
R7A2020_00425,R7A2020_00425,0,86399,86854,1,6,0.0025706940874036,456,1,periplasmic heavy metal sensor
R7A2020_00430,R7A2020_00430,0,86964,87239,1,1,0.00423728813559322,276,1,hypothetical protein
R7A2020_00645,R7A2020_00645,0,140334,141503,-1,4,0.00100502512562814,1170,1,Mrp/NBP35 family ATP-binding protein
R7A2020_00820,R7A2020_00820,0,178946,179290,1,2,0.00340136054421769,345,1,winged helix-turn-helix transcriptional regulator
R7A2020_00875,dut,0,188141,188626,1,0,0,486,0,dUTP diphosphatase
R7A2020_00955,murJ,0,209750,211330,1,0,0,1581,0,murein biosynthesis integral membrane protein MurJ
R7A2020_00970,trpS,0,213480,214547,1,0,0,1068,0,tryptophan--tRNA ligase
R7A2020_01150,R7A2020_01150,0,248281,250668,-1,9,0.00147710487444609,2388,3,polysaccharide biosynthesis tyrosine autokinase
R7A2020_01160,R7A2020_01160,0,251924,252892,-1,1,0.00121212121212121,969,1,glycosyltransferase family 2 protein
R7A2020_01165,R7A2020_01165,0,252882,253832,-1,0,0,951,0,glycosyltransferase family 2 protein
R7A2020_01175,R7A2020_01175,0,254838,256010,-1,11,0.00200400801603206,1173,2,glycosyltransferase family 4 protein
R7A2020_01180,R7A2020_01180,0,256198,257694,1,0,0,1497,0,lipopolysaccharide biosynthesis protein
R7A2020_01190,R7A2020_01190,0,258794,259873,-1,2,0.00217864923747277,1080,2,glycosyltransferase family 4 protein
R7A2020_01205,R7A2020_01205,0,261910,263241,-1,3,0.00176522506619594,1332,2,UDP-glucose/GDP-mannose dehydrogenase family protein
R7A2020_01265,R7A2020_01265,0,274495,275172,1,6,0.00346020761245675,678,2,sugar transferase
R7A2020_01270,R7A2020_01270,0,275257,276516,1,11,0.00280112044817927,1260,3,sugar ABC transporter substrate-binding protein
R7A2020_01275,R7A2020_01275,0,276831,278144,-1,0,0,1314,0,O-antigen ligase family protein
R7A2020_01415,R7A2020_01415,0,310676,310751,-1,0,0,76,0,
R7A2020_01425,aroA,0,311517,312875,1,0,0,1359,0,3-phosphoshikimate 1-carboxyvinyltransferase
R7A2020_01435,rpsA,0,313815,315512,1,2,0.000692041522491349,1698,1,30S ribosomal protein S1
R7A2020_01525,gyrB,0,335098,337569,1,0,0,2472,0,DNA topoisomerase (ATP-hydrolyzing) subunit B
R7A2020_01915,R7A2020_01915,0,421062,421763,1,0,0,702,0,response regulator transcription factor
R7A2020_01920,R7A2020_01920,0,421863,423647,1,0,0,1785,0,HAMP domain-containing protein
R7A2020_01925,R7A2020_01925,0,423726,424187,1,6,0.00254452926208651,462,1,HPr kinase/phosphorylase
R7A2020_01930,R7A2020_01930,0,424352,424753,1,0,0,402,0,PTS sugar transporter subunit IIA
R7A2020_01945,R7A2020_01945,0,426822,429377,1,0,0,2556,0,PAS domain-containing protein
R7A2020_01960,addB,0,431619,434753,1,138,0.00412603150787697,3135,11,double-strand break repair protein AddB
R7A2020_01965,addA,0,434750,438262,1,41,0.00368262470706394,3513,11,double-strand break repair helicase AddA
R7A2020_01970,trxA,0,438340,438663,1,0,0,324,0,thioredoxin
R7A2020_01995,R7A2020_01995,0,440425,441750,-1,0,0,1326,0,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
R7A2020_02000,R7A2020_02000,0,441871,442797,-1,0,0,927,0,acetyl-CoA carboxylase carboxyltransferase subunit beta
R7A2020_02005,R7A2020_02005,0,442846,443685,-1,2,0.00280112044817927,840,2,tryptophan synthase subunit alpha
R7A2020_02010,trpB,0,443748,444998,-1,0,0,1251,0,tryptophan synthase subunit beta
R7A2020_02020,R7A2020_02020,0,445871,446089,1,2,0.00531914893617021,219,1,hypothetical protein
R7A2020_02045,R7A2020_02045,0,449702,450238,1,0,0,537,0,translation initiation factor IF-3
R7A2020_02055,rpmI,0,451269,451472,1,0,0,204,0,50S ribosomal protein L35
R7A2020_02065,pheS,0,452112,453209,1,0,0,1098,0,phenylalanine--tRNA ligase subunit alpha
R7A2020_02075,R7A2020_02075,0,453625,456033,1,0,0,2409,0,phenylalanine--tRNA ligase subunit beta
R7A2020_02215,R7A2020_02215,0,483520,484479,-1,0,0,960,0,type I pantothenate kinase
R7A2020_02220,R7A2020_02220,0,484504,484827,-1,2,0.0036231884057971,324,1,phosphoribosyl-ATP diphosphatase
R7A2020_02225,hisF,0,484861,485655,-1,0,0,795,0,imidazole glycerol phosphate synthase subunit HisF
R7A2020_02235,hisA,0,486485,487228,-1,0,0,744,0,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
R7A2020_02245,hisH,0,487523,488173,-1,5,0.0036101083032491,651,2,imidazole glycerol phosphate synthase subunit HisH
R7A2020_02435,R7A2020_02435,0,525112,525188,-1,0,0,77,0,
R7A2020_02695,pncB,0,571752,573056,1,0,0,1305,0,nicotinate phosphoribosyltransferase
R7A2020_02835,R7A2020_02835,0,600522,601052,1,0,0,531,0,peptide deformylase
R7A2020_02840,R7A2020_02840,0,601059,602012,1,0,0,954,0,methionyl-tRNA formyltransferase
