locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_02005,R7A2020_02005,0,442846,443685,-1,77,0.0126050420168067,840,9,tryptophan synthase subunit alpha
R7A2020_03860,secB,0,802736,803239,1,24,0.013986013986014,504,6,protein-export chaperone SecB
R7A2020_03880,R7A2020_03880,0,807772,808245,1,27,0.0123762376237624,474,5,RloB domain-containing protein
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,42,0.0127877237851662,918,10,polyprenyl synthetase family protein
R7A2020_07950,R7A2020_07950,0,1616950,1617201,-1,25,0.013953488372093,252,3,hypothetical protein
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,42,0.0123456790123457,666,7,hypothetical protein
R7A2020_09130,R7A2020_09130,0,1869879,1869968,1,4,0.012987012987013,90,1,
R7A2020_09190,R7A2020_09190,0,1881151,1881330,1,72,0.0130718954248366,180,2,hypothetical protein
R7A2020_09675,R7A2020_09675,0,1983240,1984685,-1,125,0.0121951219512195,1446,15,homospermidine synthase
R7A2020_11050,R7A2020_11050,0,2259964,2260317,-1,16,0.0132450331125828,354,4,hypothetical protein
R7A2020_11085,R7A2020_11085,0,2262406,2262753,-1,9,0.0134680134680135,348,4,hypothetical protein
R7A2020_12170,R7A2020_12170,0,2491305,2492411,-1,42,0.0127388535031847,1107,12,DUF4150 domain-containing protein
R7A2020_13520,R7A2020_13520,0,2755899,2756075,1,35,0.0131578947368421,177,2,hypothetical protein
R7A2020_13915,R7A2020_13915,0,2838323,2838802,-1,65,0.0122549019607843,480,5,MarR family transcriptional regulator
R7A2020_14715,R7A2020_14715,0,2987448,2987723,1,9,0.0127118644067797,276,3,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
R7A2020_15385,R7A2020_15385,0,3141070,3142836,-1,90,0.0119760479041916,1767,18,AAA family ATPase
R7A2020_18585,secG,0,3822021,3822485,1,16,0.0126262626262626,465,5,preprotein translocase subunit SecG
R7A2020_18710,R7A2020_18710,0,3859594,3860175,1,24,0.0121212121212121,582,6,CatB-related O-acetyltransferase
R7A2020_19400,R7A2020_19400,0,3997208,3997546,1,9,0.0137931034482759,339,4,P-II family nitrogen regulator
R7A2020_19420,R7A2020_19420,0,4001353,4001544,1,5,0.0121951219512195,192,2,DUF2735 domain-containing protein
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,397,0.0119379228014326,2955,30,Rne/Rng family ribonuclease
R7A2020_20575,R7A2020_20575,0,4200981,4201169,-1,6,0.0123456790123457,189,2,DUF3008 family protein
R7A2020_20940,R7A2020_20940,0,4277816,4278109,-1,9,0.0119521912350598,294,3,hypothetical protein
R7A2020_22330,R7A2020_22330,0,4556972,4557217,1,95,0.0142857142857143,246,3,zinc-finger domain-containing protein
R7A2020_22800,R7A2020_22800,0,4630358,4630627,1,70,0.0130434782608696,270,3,hypothetical protein
R7A2020_22815,bet,0,4631427,4632443,1,59,0.01270207852194,1017,11,phage recombination protein Bet
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,37,0.0129533678756477,453,5,MucR family transcriptional regulator
R7A2020_24800,R7A2020_24800,0,5039754,5040005,-1,97,0.013953488372093,252,3,exodeoxyribonuclease VII small subunit
R7A2020_25235,R7A2020_25235,0,5119601,5120191,-1,23,0.0119284294234592,591,6,TetR/AcrR family transcriptional regulator
R7A2020_28770,R7A2020_28770,0,5906120,5906479,-1,13,0.0130718954248366,360,4,helix-turn-helix transcriptional regulator
R7A2020_29640,R7A2020_29640,0,6105301,6105897,-1,59,0.0137524557956778,597,7,DUF2285 domain-containing protein
R7A2020_30065,R7A2020_30065,0,6204658,6205632,-1,62,0.0132530120481928,975,11,amino acid ABC transporter permease
R7A2020_30875,hisC,0,6373392,6374501,-1,69,0.0127118644067797,1110,12,histidinol-phosphate transaminase
