locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00095,rbfA,0,18924,19379,-1,23,0.012853470437018,456,5,30S ribosome-binding factor RbfA
R7A2020_00120,R7A2020_00120,0,25401,25565,1,33,0.0141843971631206,165,2,hypothetical protein
R7A2020_00950,R7A2020_00950,0,206902,209703,1,204,0.0125944584382872,2802,30,[protein-PII] uridylyltransferase
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,8,0.0134228187919463,174,2,hypothetical protein
R7A2020_01205,R7A2020_01205,0,261910,263241,-1,81,0.0123565754633716,1332,14,UDP-glucose/GDP-mannose dehydrogenase family protein
R7A2020_01260,R7A2020_01260,0,273619,273894,-1,13,0.0127118644067797,276,3,exopolysaccharide production repressor exox
R7A2020_01950,tsaE,0,429386,430897,1,179,0.0124416796267496,1512,16,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_03880,R7A2020_03880,0,807772,808245,1,22,0.0123762376237624,474,5,RloB domain-containing protein
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,52,0.0144927536231884,405,5,ribbon-helix-helix protein, CopG family
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,53,0.0128205128205128,825,9,YmdB family metallophosphoesterase
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,3,0.0130718954248366,180,2,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,53,0.0129107981220657,1002,11,DUF4034 domain-containing protein
R7A2020_07610,R7A2020_07610,0,1549991,1550983,-1,64,0.0130177514792899,993,11,ABC transporter permease
R7A2020_07760,R7A2020_07760,0,1582453,1583034,-1,67,0.0141414141414141,582,7,cob(I)yrinic acid a,c-diamide adenosyltransferase
R7A2020_08520,polA,0,1740114,1743077,-1,340,0.0142857142857143,2964,36,DNA polymerase I
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,16,0.0123456790123457,666,7,hypothetical protein
R7A2020_09170,R7A2020_09170,0,1876039,1876611,-1,31,0.014344262295082,573,7,recombinase family protein
R7A2020_09225,kdpF,0,1886116,1886205,1,2,0.012987012987013,90,1,K(+)-transporting ATPase subunit F
R7A2020_09395,R7A2020_09395,0,1918381,1918791,1,21,0.0142857142857143,411,5,GtrA family protein
R7A2020_09670,R7A2020_09670,0,1982680,1983057,-1,37,0.0123839009287926,378,4,hypothetical protein
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,12,0.0128205128205128,642,7,hypothetical protein
R7A2020_10845,petA,0,2225409,2225969,1,48,0.0125786163522013,561,6,ubiquinol-cytochrome c reductase iron-sulfur subunit
R7A2020_10850,R7A2020_10850,0,2225986,2227287,1,149,0.014453477868112,1302,16,cytochrome b
R7A2020_12440,R7A2020_12440,0,2554585,2555289,1,22,0.0133333333333333,705,8,hypothetical protein
R7A2020_14735,cysT,0,2990067,2990918,-1,63,0.0137931034482759,852,10,sulfate ABC transporter permease subunit CysT
R7A2020_15305,R7A2020_15305,0,3122941,3123222,1,13,0.0125,282,3,hypothetical protein
R7A2020_15415,R7A2020_15415,0,3149897,3150082,-1,6,0.0125786163522013,186,2,hypothetical protein
R7A2020_15520,ssrA,0,3169262,3169622,-1,7,0.0130293159609121,361,4,
R7A2020_17015,tatB,0,3480957,3481739,1,28,0.0135135135135135,783,9,twin-arginine translocase subunit TatB
R7A2020_17695,R7A2020_17695,0,3630541,3631287,1,47,0.0141509433962264,747,9,cytochrome c biogenesis protein CcdA
R7A2020_18935,gor,0,3900377,3901768,1,109,0.0126689189189189,1392,15,glutathione-disulfide reductase
R7A2020_19055,R7A2020_19055,0,3926493,3926582,-1,1,0.012987012987013,90,1,
R7A2020_19240,R7A2020_19240,0,3962694,3964070,-1,52,0.0136518771331058,1377,16,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
R7A2020_19735,R7A2020_19735,0,4054482,4054566,-1,1,0.0136986301369863,85,1,
R7A2020_20915,R7A2020_20915,0,4270362,4271177,-1,33,0.0129496402877698,816,9,hypothetical protein
R7A2020_22790,R7A2020_22790,0,4629440,4629973,1,20,0.0131868131868132,534,6,hypothetical protein
R7A2020_23355,R7A2020_23355,0,4731233,4731973,1,67,0.0142857142857143,741,9,SDR family NAD(P)-dependent oxidoreductase
R7A2020_23710,R7A2020_23710,0,4800242,4800332,-1,2,0.0128205128205128,91,1,
R7A2020_24555,R7A2020_24555,0,4991384,4991740,1,64,0.0131147540983607,357,4,hypothetical protein
R7A2020_25235,R7A2020_25235,0,5119601,5120191,-1,17,0.0139165009940358,591,7,TetR/AcrR family transcriptional regulator
R7A2020_26525,R7A2020_26525,0,5402927,5403352,1,17,0.0137741046831956,426,5,winged helix-turn-helix transcriptional regulator
R7A2020_27380,R7A2020_27380,0,5581683,5582354,1,31,0.013986013986014,672,8,GntR family transcriptional regulator
R7A2020_28635,R7A2020_28635,0,5876478,5876723,1,9,0.0142857142857143,246,3,hypothetical protein
