locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00335,R7A2020_00335,0,68544,69191,1,9,0.0072463768115942,648,4,cytochrome c family protein
R7A2020_01020,R7A2020_01020,0,221399,221935,-1,5,0.00655021834061135,537,3,ActR/PrrA/RegA family redox response regulator transcription factor
R7A2020_01950,tsaE,0,429386,430897,1,51,0.00699844479004666,1512,9,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02060,rplT,0,451560,451961,1,31,0.00584795321637427,402,2,50S ribosomal protein L20
R7A2020_02570,R7A2020_02570,0,546283,546468,-1,1,0.00628930817610063,186,1,hypothetical protein
R7A2020_03440,R7A2020_03440,0,727651,727827,1,1,0.00657894736842105,177,1,hypothetical protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,18,0.00630252100840336,558,3,hypothetical protein
R7A2020_03480,R7A2020_03480,0,733356,734177,-1,58,0.00715307582260372,822,5,4-hydroxy-tetrahydrodipicolinate reductase
R7A2020_04455,rpsP,0,930164,930565,-1,4,0.00584795321637427,402,2,30S ribosomal protein S16
R7A2020_04485,R7A2020_04485,0,936131,936928,1,11,0.00588235294117647,798,4,murein transglycosylase
R7A2020_04735,R7A2020_04735,0,981093,981590,1,8,0.00705882352941176,498,3,DUF1579 domain-containing protein
R7A2020_04870,sdhD,0,1006919,1007317,1,16,0.00586510263929619,399,2,succinate dehydrogenase, hydrophobic membrane anchor protein
R7A2020_05390,R7A2020_05390,0,1105561,1106067,1,5,0.00694444444444444,507,3,GNAT family N-acetyltransferase
R7A2020_05810,R7A2020_05810,0,1201734,1202090,1,2,0.00655737704918033,357,2,hypothetical protein
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,3,0.00579710144927536,405,2,ribbon-helix-helix protein, CopG family
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,53,0.00648508430609598,906,5,anti-sigma factor
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,4,0.00574712643678161,204,1,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,11,0.00586854460093897,1002,5,DUF4034 domain-containing protein
R7A2020_06735,rpoH,0,1374099,1375010,-1,54,0.00644329896907216,912,5,RNA polymerase sigma factor RpoH
R7A2020_06795,R7A2020_06795,0,1382339,1382698,-1,12,0.0065359477124183,360,2,hypothetical protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,2,0.00574712643678161,204,1,hypothetical protein
R7A2020_07295,R7A2020_07295,0,1488671,1489024,1,4,0.00662251655629139,354,2,cupin domain-containing protein
R7A2020_07460,R7A2020_07460,0,1524620,1524988,1,5,0.00634920634920635,369,2,winged helix-turn-helix transcriptional regulator
R7A2020_07760,R7A2020_07760,0,1582453,1583034,-1,10,0.00606060606060606,582,3,cob(I)yrinic acid a,c-diamide adenosyltransferase
R7A2020_07880,R7A2020_07880,0,1605478,1605657,1,10,0.0065359477124183,180,1,Flp family type IVb pilin
R7A2020_08010,R7A2020_08010,0,1633524,1633865,1,5,0.00687285223367698,342,2,hypothetical protein
R7A2020_08835,R7A2020_08835,0,1818252,1818598,-1,8,0.00675675675675676,347,2,pseudogene
R7A2020_10385,R7A2020_10385,0,2136007,2136171,-1,2,0.00709219858156028,165,1,hypothetical protein
R7A2020_10845,petA,0,2225409,2225969,1,11,0.00628930817610063,561,3,ubiquinol-cytochrome c reductase iron-sulfur subunit
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,37,0.00650406504065041,723,4,aminoacyl-tRNA hydrolase
R7A2020_11545,R7A2020_11545,0,2356014,2356406,1,5,0.00597014925373134,393,2,RidA family protein
R7A2020_12290,R7A2020_12290,0,2520798,2521508,1,11,0.00661157024793388,711,4,GntR family transcriptional regulator
R7A2020_12305,R7A2020_12305,0,2524255,2524581,1,5,0.00716845878136201,327,2,NIPSNAP family protein
R7A2020_12540,R7A2020_12540,0,2579764,2580087,1,9,0.0072463768115942,324,2,helix-turn-helix transcriptional regulator
R7A2020_12640,R7A2020_12640,0,2595782,2595940,1,4,0.0072992700729927,159,1,hypothetical protein
R7A2020_14610,R7A2020_14610,0,2966747,2967229,-1,20,0.0072992700729927,483,3,(2Fe-2S)-binding protein
R7A2020_14700,R7A2020_14700,0,2984907,2985455,1,28,0.00641025641025641,549,3,gluconokinase
R7A2020_14950,R7A2020_14950,0,3046864,3047793,-1,29,0.00632111251580278,930,5,alpha/beta hydrolase
R7A2020_15160,R7A2020_15160,0,3086542,3086937,1,3,0.00591715976331361,396,2,hypothetical protein
R7A2020_15385,R7A2020_15385,0,3141070,3142836,-1,14,0.00665335994677312,1767,10,AAA family ATPase
R7A2020_15500,R7A2020_15500,0,3165783,3166319,-1,29,0.00655021834061135,537,3,hypothetical protein
R7A2020_15605,serB,0,3182055,3182876,-1,49,0.00715307582260372,822,5,phosphoserine phosphatase SerB
R7A2020_15610,miaA,0,3182932,3183897,1,10,0.00608272506082725,966,5,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
R7A2020_16345,R7A2020_16345,0,3339960,3340349,1,18,0.00602409638554217,390,2,hypothetical protein
R7A2020_16355,R7A2020_16355,0,3340938,3341837,1,27,0.0065359477124183,900,5,LysR family transcriptional regulator
R7A2020_16365,R7A2020_16365,0,3343047,3343232,-1,13,0.00628930817610063,186,1,hypothetical protein
R7A2020_16450,R7A2020_16450,0,3357407,3359512,1,67,0.0067001675041876,2106,12,DUF3520 domain-containing protein
