locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00350,R7A2020_00350,0,73139,74233,1,722,0.0128755364806867,1095,12,microcin C ABC transporter permease YejB
R7A2020_02480,R7A2020_02480,0,534149,534403,-1,10,0.0137614678899083,255,3,acyl carrier protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,145,0.0105042016806723,558,5,hypothetical protein
R7A2020_04810,rplS,0,996300,996845,1,536,0.0129032258064516,546,6,50S ribosomal protein L19
R7A2020_06160,ybgF,0,1262592,1263704,1,1316,0.0105596620908131,1113,10,tol-pal system protein YbgF
R7A2020_06450,R7A2020_06450,0,1327653,1328729,-1,726,0.0109051254089422,1077,10,5-(carboxyamino)imidazole ribonucleotide synthase
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,25,0.0114942528735632,204,2,YdcH family protein
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,15,0.0111111111111111,105,1,pseudogene
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,388,0.0115089514066496,918,9,polyprenyl synthetase family protein
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,145,0.0114942528735632,204,2,hypothetical protein
R7A2020_07810,R7A2020_07810,0,1590040,1590124,1,21,0.0136986301369863,85,1,
R7A2020_07895,grxC,0,1607449,1607718,1,49,0.0130434782608696,270,3,glutaredoxin 3
R7A2020_08630,R7A2020_08630,0,1771121,1772302,-1,515,0.0119402985074627,1182,12,ABC transporter permease
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,1700,0.0129600829445308,2268,25,penicillin-binding protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,168,0.0116959064327485,201,2,hypothetical protein
R7A2020_08920,rpoN,0,1832885,1834411,1,555,0.0130869899923018,1527,17,RNA polymerase factor sigma-54
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,77,0.0119760479041916,588,6,hypothetical protein
R7A2020_09155,R7A2020_09155,0,1874239,1874502,-1,47,0.0133333333333333,264,3,hypothetical protein
R7A2020_09225,kdpF,0,1886116,1886205,1,6,0.012987012987013,90,1,K(+)-transporting ATPase subunit F
R7A2020_09740,R7A2020_09740,0,1998864,1999502,-1,167,0.0110091743119266,639,6,2-dehydro-3-deoxy-phosphogluconate aldolase
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,695,0.0111731843575419,1263,12,CCA tRNA nucleotidyltransferase
R7A2020_10900,ychF,0,2234592,2235695,-1,1082,0.0106496272630458,1104,10,redox-regulated ATPase YchF
R7A2020_11375,greA,0,2324355,2324828,1,160,0.0123762376237624,474,5,transcription elongation factor GreA
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,36,0.010989010989011,213,2,cold-shock protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,535,0.0117647058823529,900,9,hypothetical protein
R7A2020_11560,R7A2020_11560,0,2357898,2358779,1,300,0.012,882,9,hypothetical protein
R7A2020_11805,R7A2020_11805,0,2411029,2411196,-1,32,0.0138888888888889,168,2,pseudogene
R7A2020_12015,R7A2020_12015,0,2450447,2450700,1,194,0.0138248847926267,254,3,pseudogene
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,102,0.0110192837465565,426,4,hypothetical protein
R7A2020_12340,R7A2020_12340,0,2531184,2531774,1,816,0.0119284294234592,591,6,CatB-related O-acetyltransferase
R7A2020_12375,R7A2020_12375,0,2538869,2539255,1,22,0.0121212121212121,387,4,response regulator
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,439,0.0105324751316559,2010,18,AAA family ATPase
R7A2020_12830,R7A2020_12830,0,2626738,2626998,1,521,0.0135135135135135,261,3,pseudogene
R7A2020_13025,R7A2020_13025,0,2656169,2656867,1,171,0.0134228187919463,699,8,YdaU family protein
R7A2020_13115,R7A2020_13115,0,2673540,2673734,1,30,0.0119760479041916,195,2,hypothetical protein
R7A2020_13125,R7A2020_13125,0,2674168,2674383,-1,217,0.0108108108108108,216,2,hypothetical protein
