locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,3833,0.140350877192982,1140,136,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,3752,0.173166926677067,753,111,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,1809,0.196560196560197,477,80,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,4298,0.203051643192488,1002,173,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,12,0.00419287211740042,561,2,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,1044,0.180722891566265,390,60,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,657,0.114130434782609,432,42,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,2499,0.156432748538012,804,107,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,4608,0.12937595129376,1545,170,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,3489,0.134883720930233,1011,116,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,80,0.00109469074986316,2148,2,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,1,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,4264,0.174892703862661,1095,163,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,2134,0.114045618247299,978,95,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,1297,0.136246786632391,456,53,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,8,0.00136612021857923,2583,3,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,178,0.0126353790613718,651,7,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,502,0.0147275405007364,1596,20,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,89,0.0144927536231884,648,8,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,391,0.141843971631206,165,20,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,3494,0.157453936348409,702,94,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,8,0.00464252553389044,1266,5,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,293,0.0728291316526611,420,26,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,3112,0.12619926199262,1593,171,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,3707,0.208955223880597,945,168,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,4584,0.188271604938272,762,122,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,1893,0.174563591022444,471,70,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,5550,0.184296619411123,1077,169,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,161,0.0375586854460094,501,16,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,4319,0.189249720044793,1050,169,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,5861,0.190992493744787,1410,229,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,2434,0.162995594713656,801,111,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,1485,0.177725118483412,495,75,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,1,0.00173010380622837,678,1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,4102,0.153354632587859,1104,144,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,3962,0.144880174291939,1080,133,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,5462,0.158590308370044,1602,216,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,1532,0.152173913043478,486,63,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,1344,0.184210526315789,312,49,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,3263,0.124886052871468,1290,137,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,211,0.0187441424554827,1254,20,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,5874,0.193933823529412,1278,211,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,4320,0.179566563467492,1140,174,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,7319,0.228320526893524,1071,208,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,16633,0.19761630142253,3060,514,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,2264,0.143081761006289,747,91,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,3877,0.14586255259467,837,104,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,3337,0.154533844189017,921,121,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,4094,0.179401993355482,1062,162,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,4856,0.157367668097282,1644,220,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,3511,0.151600753295669,1248,161,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,3818,0.253875968992248,606,131,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,4309,0.196009389671362,1002,167,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,1017,0.126436781609195,408,44,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,1515,0.217391304347826,324,60,YbaB/EbfC family nucleoid-associated protein
