locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00875,dut,0,188141,188626,1,7,0.00483091787439614,486,2,dUTP diphosphatase
R7A2020_00975,R7A2020_00975,0,214842,215333,1,21,0.00477326968973747,492,2,universal stress protein
R7A2020_01160,R7A2020_01160,0,251924,252892,-1,48,0.00484848484848485,969,4,glycosyltransferase family 2 protein
R7A2020_01885,R7A2020_01885,0,414391,414594,-1,3,0.00574712643678161,204,1,DUF680 domain-containing protein
R7A2020_02020,R7A2020_02020,0,445871,446089,1,1,0.00531914893617021,219,1,hypothetical protein
R7A2020_03260,R7A2020_03260,0,684548,685225,-1,38,0.00519031141868512,678,3,ribulose-phosphate 3-epimerase
R7A2020_03880,R7A2020_03880,0,807772,808245,1,16,0.00495049504950495,474,2,RloB domain-containing protein
R7A2020_04655,R7A2020_04655,0,967171,967377,1,10,0.00564971751412429,207,1,4-oxalocrotonate tautomerase family protein
R7A2020_05985,rpmE,0,1230702,1230923,-1,22,0.00529100529100529,222,1,50S ribosomal protein L31
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,50,0.00476190476190476,1728,7,hypothetical protein
R7A2020_06235,R7A2020_06235,0,1282165,1282809,-1,27,0.00546448087431694,645,3,thiamine diphosphokinase
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,31,0.00574712643678161,204,1,YdcH family protein
R7A2020_06695,R7A2020_06695,0,1364619,1365815,-1,35,0.00490677134445535,1197,5,phosphoglycerate kinase
R7A2020_06850,R7A2020_06850,0,1396851,1397675,1,53,0.0056980056980057,825,4,sugar ABC transporter ATP-binding protein
R7A2020_08015,R7A2020_08015,0,1634058,1635546,1,15,0.00552486187845304,1489,7,
R7A2020_08930,ptsN,0,1835321,1835785,1,2,0.00505050505050505,465,2,PTS IIA-like nitrogen regulatory protein PtsN
R7A2020_09010,R7A2020_09010,0,1847136,1847365,1,3,0.00510204081632653,230,1,pseudogene
R7A2020_10510,R7A2020_10510,0,2156704,2157183,-1,7,0.00490196078431373,480,2,hypothetical protein
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,4,0.00549450549450549,213,1,cold-shock protein
R7A2020_11910,R7A2020_11910,0,2431086,2431325,-1,2,0.00490196078431373,240,1,ribbon-helix-helix protein, CopG family
R7A2020_12440,R7A2020_12440,0,2554585,2555289,1,8,0.005,705,3,hypothetical protein
R7A2020_14735,cysT,0,2990067,2990918,-1,46,0.00551724137931034,852,4,sulfate ABC transporter permease subunit CysT
R7A2020_16730,hemP,0,3422685,3422891,1,48,0.00564971751412429,207,1,hemin uptake protein HemP
R7A2020_17020,tatC,0,3481736,3482611,1,8,0.00536193029490617,876,4,twin-arginine translocase subunit TatC
R7A2020_17350,hisI,0,3552507,3552968,-1,86,0.00508905852417303,462,2,phosphoribosyl-AMP cyclohydrolase
R7A2020_18705,R7A2020_18705,0,3857606,3859042,1,17,0.00490596892886345,1437,6,hypothetical protein
R7A2020_18760,R7A2020_18760,0,3873939,3874169,-1,1,0.0050761421319797,231,1,DUF1289 domain-containing protein
R7A2020_19240,R7A2020_19240,0,3962694,3964070,-1,19,0.00511945392491468,1377,6,pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,160,0.00517309988062077,2955,13,Rne/Rng family ribonuclease
R7A2020_20480,purS,0,4187187,4187429,1,1,0.00483091787439614,243,1,phosphoribosylformylglycinamidine synthase subunit PurS
R7A2020_20535,R7A2020_20535,0,4195233,4195466,1,4,0.005,234,1,BolA family transcriptional regulator
R7A2020_20970,R7A2020_20970,0,4283166,4284590,-1,27,0.00495049504950495,1425,6,hypothetical protein
R7A2020_20995,R7A2020_20995,0,4288805,4289299,1,2,0.004739336492891,495,2,hypothetical protein
R7A2020_22235,R7A2020_22235,0,4538686,4538895,-1,7,0.00558659217877095,210,1,cold-shock protein
R7A2020_22330,R7A2020_22330,0,4556972,4557217,1,1,0.00476190476190476,246,1,zinc-finger domain-containing protein
R7A2020_22450,R7A2020_22450,0,4579560,4579781,-1,2,0.00529100529100529,222,1,hypothetical protein
R7A2020_23010,R7A2020_23010,0,4665211,4665414,-1,3,0.00574712643678161,204,1,hypothetical protein
R7A2020_23355,R7A2020_23355,0,4731233,4731973,1,23,0.00476190476190476,741,3,SDR family NAD(P)-dependent oxidoreductase
R7A2020_24910,R7A2020_24910,0,5059905,5060888,1,13,0.004778972520908,984,4,4-hydroxybenzoate octaprenyltransferase
R7A2020_25890,pcaC,0,5269454,5269861,-1,66,0.00574712643678161,408,2,4-carboxymuconolactone decarboxylase
R7A2020_28095,R7A2020_28095,0,5750229,5750462,1,1,0.005,234,1,hypothetical protein
R7A2020_31105,mscL,0,6430115,6430537,-1,5,0.00555555555555556,423,2,large conductance mechanosensitive channel protein MscL
