locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,137,0.0140056022408964,420,5,helix-turn-helix transcriptional regulator
R7A2020_00350,R7A2020_00350,0,73139,74233,1,652,0.0139484978540773,1095,13,microcin C ABC transporter permease YejB
R7A2020_00980,R7A2020_00980,0,215611,216180,1,349,0.0123711340206186,570,6,NifU family protein
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,107,0.0134228187919463,174,2,hypothetical protein
R7A2020_03230,R7A2020_03230,0,676198,677232,1,632,0.0124858115777526,1035,11,SIS domain-containing protein
R7A2020_03860,secB,0,802736,803239,1,58,0.0116550116550117,504,5,protein-export chaperone SecB
R7A2020_05560,R7A2020_05560,0,1146249,1146911,-1,281,0.0124113475177305,663,7,YggS family pyridoxal phosphate-dependent enzyme
R7A2020_06100,R7A2020_06100,0,1252274,1252543,1,104,0.0130434782608696,270,3,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
R7A2020_06205,R7A2020_06205,0,1274132,1275733,1,1113,0.013215859030837,1602,18,phosphoglycerate dehydrogenase
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,208,0.0140845070422535,1002,12,DUF4034 domain-containing protein
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,160,0.0128205128205128,642,7,hypothetical protein
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,161,0.0117302052785924,399,4,GFA family protein
R7A2020_07565,R7A2020_07565,0,1542543,1543607,-1,297,0.0121412803532009,1065,11,DUF2125 domain-containing protein
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,209,0.0114942528735632,204,2,hypothetical protein
R7A2020_07800,R7A2020_07800,0,1588630,1589148,-1,185,0.0135440180586907,519,6,disulfide bond formation protein B
R7A2020_08520,polA,0,1740114,1743077,-1,1206,0.0123015873015873,2964,31,DNA polymerase I
R7A2020_09130,R7A2020_09130,0,1869879,1869968,1,15,0.012987012987013,90,1,
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,70,0.0119760479041916,588,6,hypothetical protein
R7A2020_09175,R7A2020_09175,0,1877352,1879175,-1,451,0.0122501611863314,1824,19,RNA-directed DNA polymerase
R7A2020_09225,kdpF,0,1886116,1886205,1,11,0.012987012987013,90,1,K(+)-transporting ATPase subunit F
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,78,0.0128205128205128,642,7,hypothetical protein
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,413,0.0130353817504655,1263,14,CCA tRNA nucleotidyltransferase
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,999,0.0130081300813008,723,8,aminoacyl-tRNA hydrolase
R7A2020_11405,R7A2020_11405,0,2330257,2330829,1,369,0.0122950819672131,573,6,SIS domain-containing protein
R7A2020_11555,R7A2020_11555,0,2357033,2357932,-1,165,0.0117647058823529,900,9,hypothetical protein
R7A2020_11945,R7A2020_11945,0,2438597,2439472,1,226,0.0134048257372654,876,10,serine protease
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,176,0.0115340253748558,1020,10,YihY/virulence factor BrkB family protein
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,747,0.0122878876535986,2010,21,AAA family ATPase
R7A2020_12820,R7A2020_12820,0,2625534,2626124,1,477,0.0139165009940358,591,7,NADPH-dependent F420 reductase
R7A2020_12830,R7A2020_12830,0,2626738,2626998,1,65,0.0135135135135135,261,3,pseudogene
R7A2020_12945,R7A2020_12945,0,2643831,2644232,-1,189,0.0116959064327485,402,4,type II toxin-antitoxin system HicB family antitoxin
R7A2020_13520,R7A2020_13520,0,2755899,2756075,1,11,0.0131578947368421,177,2,hypothetical protein
R7A2020_14715,R7A2020_14715,0,2987448,2987723,1,34,0.0127118644067797,276,3,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
R7A2020_15160,R7A2020_15160,0,3086542,3086937,1,32,0.0118343195266272,396,4,hypothetical protein
R7A2020_15480,R7A2020_15480,0,3162953,3163399,-1,436,0.0131233595800525,447,5,winged helix-turn-helix transcriptional regulator
R7A2020_16155,R7A2020_16155,0,3295157,3295666,1,34,0.0115207373271889,510,5,protein tyrosine phosphatase
R7A2020_16380,R7A2020_16380,0,3345900,3346874,-1,361,0.0120481927710843,975,10,methyltetrahydrofolate cobalamin methyltransferase
R7A2020_16425,R7A2020_16425,0,3352575,3353273,-1,264,0.011744966442953,699,7,cobalamin-binding protein
R7A2020_17305,R7A2020_17305,0,3543987,3545204,1,205,0.0135004821600771,1218,14,LL-diaminopimelate aminotransferase
R7A2020_18275,plsY,0,3759333,3759920,-1,131,0.0119760479041916,588,6,glycerol-3-phosphate 1-O-acyltransferase PlsY
R7A2020_18280,R7A2020_18280,0,3759977,3761263,-1,414,0.0127853881278539,1287,14,dihydroorotase
R7A2020_18300,R7A2020_18300,0,3764731,3765090,1,144,0.0130718954248366,360,4,hypothetical protein
R7A2020_19445,crcB,0,4006463,4006837,-1,94,0.0125,375,4,fluoride efflux transporter CrcB
R7A2020_20025,R7A2020_20025,0,4108484,4109116,1,399,0.012987012987013,633,7,PAS domain-containing protein
R7A2020_20225,R7A2020_20225,0,4143653,4144765,1,574,0.0116156282998944,1113,11,acyltransferase
R7A2020_20820,R7A2020_20820,0,4250979,4251182,-1,54,0.0114942528735632,204,2,hypothetical protein
R7A2020_20850,R7A2020_20850,0,4255004,4256047,1,134,0.0123873873873874,1044,11,hypothetical protein
R7A2020_20870,R7A2020_20870,0,4260734,4261186,-1,137,0.0129533678756477,453,5,MucR family transcriptional regulator
R7A2020_20925,hxsB,0,4272415,4273872,-1,669,0.0128928283642224,1458,16,His-Xaa-Ser system radical SAM maturase HxsB
R7A2020_20975,R7A2020_20975,0,4285432,4285785,1,45,0.0132450331125828,354,4,hypothetical protein
R7A2020_22585,R7A2020_22585,0,4600692,4600892,1,388,0.0116959064327485,201,2,hypothetical protein
R7A2020_22815,bet,0,4631427,4632443,1,420,0.01270207852194,1017,11,phage recombination protein Bet
R7A2020_22885,R7A2020_22885,0,4640682,4641791,1,343,0.013771186440678,1110,13,phosphoribosylformylglycinamidine cyclo-ligase
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,155,0.0129533678756477,453,5,MucR family transcriptional regulator
R7A2020_23710,R7A2020_23710,0,4800242,4800332,-1,79,0.0128205128205128,91,1,
R7A2020_23900,R7A2020_23900,0,4843832,4845823,-1,442,0.012987012987013,1992,22,heme lyase CcmF/NrfE family subunit
R7A2020_24075,R7A2020_24075,0,4878294,4878719,-1,83,0.0137741046831956,426,5,MucR family transcriptional regulator
R7A2020_24800,R7A2020_24800,0,5039754,5040005,-1,111,0.013953488372093,252,3,exodeoxyribonuclease VII small subunit
R7A2020_24845,R7A2020_24845,0,5048152,5048412,1,14,0.0135135135135135,261,3,DUF1344 domain-containing protein
R7A2020_25320,R7A2020_25320,0,5140741,5141541,1,227,0.013215859030837,801,9,acyltransferase
R7A2020_26960,R7A2020_26960,0,5498833,5499600,1,437,0.0137614678899083,768,9,serine/threonine protein phosphatase
R7A2020_27580,R7A2020_27580,0,5635751,5636008,1,40,0.0135746606334842,258,3,hypothetical protein
R7A2020_27685,R7A2020_27685,0,5662128,5662541,-1,111,0.0113314447592068,414,4,hypothetical protein
R7A2020_27690,R7A2020_27690,0,5662718,5662975,-1,42,0.0135746606334842,258,3,hypothetical protein
R7A2020_27895,R7A2020_27895,0,5708111,5708211,-1,6,0.0116279069767442,101,1,pseudogene
R7A2020_27900,R7A2020_27900,0,5708696,5709271,-1,147,0.0122199592668024,576,6,DUF1349 domain-containing protein
R7A2020_27955,R7A2020_27955,0,5722224,5723045,-1,400,0.011444921316166,822,8,helix-turn-helix transcriptional regulator
R7A2020_28105,R7A2020_28105,0,5751197,5751894,1,129,0.0117647058823529,698,7,pseudogene
R7A2020_28475,R7A2020_28475,0,5839004,5839840,1,251,0.0140252454417952,837,10,sterol desaturase family protein
R7A2020_30010,R7A2020_30010,0,6191944,6192950,-1,169,0.0128354725787631,1007,11,pseudogene
R7A2020_31215,R7A2020_31215,0,6454254,6455003,1,88,0.0125391849529781,750,8,glycosyltransferase family 25 protein
