locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,2669,0.0423116615067079,1140,41,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,3385,0.0639625585023401,753,41,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,828,0.058968058968059,477,24,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,4937,0.0633802816901408,1002,54,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,637,0.0512048192771084,390,17,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,440,0.0353260869565217,432,13,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,626,0.0263157894736842,804,18,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,4149,0.045662100456621,1545,60,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,4654,0.0593023255813954,1011,51,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,6,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,4146,0.0536480686695279,1095,50,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,2852,0.0444177671068427,978,37,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,1620,0.0308483290488432,456,12,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,79,0.00180505415162455,651,1,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,410,0.00294550810014728,1596,4,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,6,0.0036231884057971,648,2,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,27,0.0212765957446809,165,3,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,2196,0.0619765494137353,702,37,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,60,0.0140056022408964,420,5,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,2409,0.0250922509225092,1593,34,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,3623,0.0634328358208955,945,51,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,3701,0.066358024691358,762,43,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,1902,0.0598503740648379,471,24,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,3763,0.054525627044711,1077,50,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,125,0.00938967136150235,501,4,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,3188,0.0604703247480403,1050,54,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,7054,0.0658882402001668,1410,79,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,890,0.0367107195301028,801,25,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,1022,0.042654028436019,495,18,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,4239,0.0617678381256656,1104,58,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,4243,0.0468409586056645,1080,43,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,6939,0.0469897209985316,1602,64,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,1433,0.0555555555555556,486,23,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,587,0.056390977443609,312,15,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,2477,0.0483135824977211,1290,53,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,9025,0.0680147058823529,1278,74,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,6810,0.0722394220846233,1140,70,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,4837,0.0702524698133919,1071,64,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,15481,0.0688196847366398,3060,179,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,4243,0.0566037735849057,747,36,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,2813,0.0575035063113604,837,41,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,2318,0.0459770114942529,921,36,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,5372,0.062015503875969,1062,56,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,3180,0.0429184549356223,1644,60,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,3006,0.0499058380414313,1248,53,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,4153,0.0678294573643411,606,35,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,1863,0.0387323943661972,1002,33,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,837,0.0488505747126437,408,17,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,1241,0.0652173913043478,324,18,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
