locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,107,0.0196078431372549,420,7,helix-turn-helix transcriptional regulator
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,313,0.016,882,12,family 16 glycosylhydrolase
R7A2020_02025,R7A2020_02025,0,446090,446848,-1,900,0.0170015455950541,759,11,M48 family metallopeptidase
R7A2020_03880,R7A2020_03880,0,807772,808245,1,126,0.0198019801980198,474,8,RloB domain-containing protein
R7A2020_04485,R7A2020_04485,0,936131,936928,1,210,0.0176470588235294,798,12,murein transglycosylase
R7A2020_04705,R7A2020_04705,0,975967,976506,1,221,0.0196078431372549,540,9,AprI/Inh family metalloprotease inhibitor
R7A2020_04810,rplS,0,996300,996845,1,762,0.0193548387096774,546,9,50S ribosomal protein L19
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,481,0.0173267326732673,474,7,hypothetical protein
R7A2020_05705,R7A2020_05705,0,1180351,1181637,1,450,0.0164383561643836,1287,18,glutamate-5-semialdehyde dehydrogenase
R7A2020_05910,R7A2020_05910,0,1221381,1221575,-1,40,0.0179640718562874,195,3,type II toxin-antitoxin system HicA family toxin
R7A2020_06105,R7A2020_06105,0,1252521,1252940,1,116,0.0196078431372549,420,7,type II toxin-antitoxin system VapC family toxin
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,617,0.0168612191958495,906,13,anti-sigma factor
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,64,0.0196078431372549,180,3,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,289,0.0176056338028169,1002,15,DUF4034 domain-containing protein
R7A2020_06900,R7A2020_06900,0,1404159,1404608,-1,67,0.0182767624020888,450,7,response regulator
R7A2020_07665,lysA,0,1560167,1561435,-1,486,0.0166666666666667,1269,18,diaminopimelate decarboxylase
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,40,0.0172413793103448,204,3,hypothetical protein
R7A2020_07745,R7A2020_07745,0,1579674,1580603,-1,341,0.0176991150442478,930,14,electron transfer flavoprotein subunit alpha/FixB family protein
R7A2020_07750,R7A2020_07750,0,1580628,1581377,-1,314,0.0156739811912226,750,10,electron transfer flavoprotein subunit beta/FixA family protein
R7A2020_07950,R7A2020_07950,0,1616950,1617201,-1,103,0.0186046511627907,252,4,hypothetical protein
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,182,0.0158730158730159,666,9,hypothetical protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,98,0.0175438596491228,201,3,hypothetical protein
R7A2020_09150,R7A2020_09150,0,1873017,1873604,-1,141,0.0199600798403194,588,10,hypothetical protein
R7A2020_09165,R7A2020_09165,0,1875069,1876010,-1,423,0.0199750312109863,942,16,hypothetical protein
R7A2020_09190,R7A2020_09190,0,1881151,1881330,1,160,0.0196078431372549,180,3,hypothetical protein
R7A2020_09210,R7A2020_09210,0,1883833,1884069,-1,63,0.0197044334975369,237,4,hypothetical protein
R7A2020_09725,R7A2020_09725,0,1994951,1996822,1,924,0.0175879396984925,1872,28,DUF882 domain-containing protein
R7A2020_10485,R7A2020_10485,0,2152607,2152951,-1,92,0.0170068027210884,345,5,winged helix-turn-helix transcriptional regulator
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,583,0.016260162601626,723,10,aminoacyl-tRNA hydrolase
R7A2020_10915,R7A2020_10915,0,2237500,2238411,-1,390,0.0193298969072165,912,15,hypothetical protein
R7A2020_11085,R7A2020_11085,0,2262406,2262753,-1,134,0.0168350168350168,348,5,hypothetical protein
R7A2020_12065,R7A2020_12065,0,2464349,2464648,-1,84,0.0196078431372549,300,5,DUF1236 domain-containing protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,555,0.0173010380622837,1020,15,YihY/virulence factor BrkB family protein
R7A2020_12160,R7A2020_12160,0,2490029,2490376,1,193,0.0168350168350168,348,5,hypothetical protein
R7A2020_12175,R7A2020_12175,0,2492408,2493433,-1,341,0.0194730813287514,1026,17,3-oxoacyl-ACP synthase
R7A2020_12185,tagF,0,2494533,2495075,-1,354,0.0194805194805195,543,9,type VI secretion system-associated protein TagF
R7A2020_12240,tssB,0,2508909,2509445,-1,250,0.0196506550218341,537,9,type VI secretion system contractile sheath small subunit
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,711,0.0181392627267408,2010,31,AAA family ATPase
R7A2020_12495,R7A2020_12495,0,2566830,2566973,1,16,0.016260162601626,144,2,hypothetical protein
R7A2020_12630,R7A2020_12630,0,2593636,2593950,1,112,0.0185873605947955,315,5,co-chaperone GroES
R7A2020_12785,R7A2020_12785,0,2619903,2620178,-1,35,0.0169491525423729,276,4,hypothetical protein
R7A2020_12810,R7A2020_12810,0,2623604,2624494,-1,207,0.0171503957783641,891,13,LysR family transcriptional regulator
R7A2020_13000,R7A2020_13000,0,2653081,2653383,1,24,0.0155038759689922,303,4,hypothetical protein
R7A2020_13115,R7A2020_13115,0,2673540,2673734,1,89,0.0179640718562874,195,3,hypothetical protein
R7A2020_15090,R7A2020_15090,0,3073091,3073387,-1,48,0.015748031496063,297,4,type II toxin-antitoxin system RelE/ParE family toxin
R7A2020_15160,R7A2020_15160,0,3086542,3086937,1,398,0.0177514792899408,396,6,hypothetical protein
R7A2020_15395,R7A2020_15395,0,3145718,3145963,-1,264,0.019047619047619,246,4,hypothetical protein
R7A2020_15435,R7A2020_15435,0,3152757,3152954,-1,80,0.0176470588235294,198,3,hypothetical protein
R7A2020_15500,R7A2020_15500,0,3165783,3166319,-1,194,0.0196506550218341,537,9,hypothetical protein
R7A2020_15520,ssrA,0,3169262,3169622,-1,82,0.0162866449511401,361,5,
R7A2020_15605,serB,0,3182055,3182876,-1,373,0.0200286123032904,822,14,phosphoserine phosphatase SerB
R7A2020_16365,R7A2020_16365,0,3343047,3343232,-1,79,0.0188679245283019,186,3,hypothetical protein
R7A2020_16880,R7A2020_16880,0,3451949,3453757,1,716,0.0194931773879142,1809,30,hypothetical protein
R7A2020_16915,R7A2020_16915,0,3457389,3457462,1,4,0.015625,74,1,
R7A2020_17425,R7A2020_17425,0,3567292,3568173,-1,654,0.016,882,12,CoA ester lyase
R7A2020_17605,R7A2020_17605,0,3609958,3610257,-1,70,0.0156862745098039,300,4,DUF3572 domain-containing protein
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,667,0.0171086398631309,1374,20,glutamate--tRNA ligase
R7A2020_18000,R7A2020_18000,0,3704705,3704881,1,70,0.0197368421052632,177,3,hypothetical protein
R7A2020_18275,plsY,0,3759333,3759920,-1,223,0.0199600798403194,588,10,glycerol-3-phosphate 1-O-acyltransferase PlsY
R7A2020_18635,R7A2020_18635,0,3834310,3835281,1,620,0.0193470374848851,972,16,ABC transporter permease
R7A2020_18915,R7A2020_18915,0,3897822,3897896,-1,108,0.0153846153846154,75,1,
R7A2020_18985,R7A2020_18985,0,3912726,3913340,1,224,0.017175572519084,615,9,DUF1326 domain-containing protein
R7A2020_19145,R7A2020_19145,0,3943212,3943805,-1,234,0.0177865612648221,594,9,histidine phosphatase family protein
R7A2020_19245,R7A2020_19245,0,3964089,3965474,-1,459,0.0195080576759966,1386,23,pyruvate dehydrogenase complex E1 component subunit beta
R7A2020_19875,R7A2020_19875,0,4077545,4077766,-1,11,0.0158730158730159,222,3,hypothetical protein
R7A2020_19920,R7A2020_19920,0,4087351,4088613,-1,540,0.0176908752327747,1263,19,N-acetylmuramoyl-L-alanine amidase
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,1768,0.0163151611619578,2955,41,Rne/Rng family ribonuclease
R7A2020_20060,R7A2020_20060,0,4113463,4113666,-1,31,0.0172413793103448,204,3,DUF3126 family protein
R7A2020_20615,R7A2020_20615,0,4208429,4208641,-1,39,0.0164835164835165,213,3,pseudogene
R7A2020_20655,R7A2020_20655,0,4216318,4216710,-1,163,0.017910447761194,393,6,SUF system Fe-S cluster assembly protein
R7A2020_20845,R7A2020_20845,0,4254648,4255007,1,133,0.0163398692810458,360,5,hypothetical protein
R7A2020_20860,R7A2020_20860,0,4257565,4258803,-1,267,0.0161137440758294,1239,17,type II toxin-antitoxin system HipA family toxin
R7A2020_20865,R7A2020_20865,0,4258820,4260460,-1,701,0.0172043010752688,1641,24,recombinase family protein
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,329,0.0166830225711482,1197,17,SAVED domain-containing protein
R7A2020_20915,R7A2020_20915,0,4270362,4271177,-1,217,0.0172661870503597,816,12,hypothetical protein
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,444,0.016260162601626,867,12,hypothetical protein
R7A2020_20965,R7A2020_20965,0,4281977,4283062,1,238,0.0173160173160173,1086,16,site-specific integrase
R7A2020_20980,R7A2020_20980,0,4285817,4286116,1,186,0.0156862745098039,300,4,hypothetical protein
R7A2020_20990,R7A2020_20990,0,4287332,4288732,1,537,0.0167926112510495,1401,20,hypothetical protein
R7A2020_21400,R7A2020_21400,0,4364996,4366249,-1,761,0.0196813495782568,1254,21,murein L,D-transpeptidase
R7A2020_21420,R7A2020_21420,0,4368369,4368791,-1,141,0.0194444444444444,423,7,hypothetical protein
R7A2020_21465,R7A2020_21465,0,4376742,4377002,-1,144,0.018018018018018,261,4,DUF982 domain-containing protein
R7A2020_21485,R7A2020_21485,0,4379541,4379690,-1,25,0.015625,150,2,hypothetical protein
R7A2020_21550,R7A2020_21550,0,4390238,4391452,-1,318,0.0154738878143133,1215,16,AI-2E family transporter
R7A2020_22315,R7A2020_22315,0,4551371,4552831,1,344,0.0177133655394525,1461,22,hypothetical protein
R7A2020_22555,R7A2020_22555,0,4593545,4594621,-1,290,0.0163576881134133,1077,15,acyltransferase
R7A2020_22685,R7A2020_22685,0,4614224,4614433,1,116,0.0167597765363128,210,3,hypothetical protein
R7A2020_22810,R7A2020_22810,0,4630903,4631427,1,118,0.0156599552572707,525,7,siphovirus Gp157 family protein
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,117,0.0155440414507772,453,6,MucR family transcriptional regulator
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,151,0.0157894736842105,669,9,CvpA family protein
R7A2020_23580,R7A2020_23580,0,4773366,4774157,-1,295,0.0192878338278932,792,13,anti-sigma factor
R7A2020_23630,R7A2020_23630,0,4783368,4783967,-1,162,0.0176470588235294,600,9,DUF2062 domain-containing protein
R7A2020_24475,R7A2020_24475,0,4974095,4975822,-1,675,0.0170068027210884,1728,25,hypothetical protein
R7A2020_24580,R7A2020_24580,0,4996750,4996824,1,29,0.0153846153846154,75,1,
R7A2020_24720,R7A2020_24720,0,5022718,5023662,-1,514,0.0199004975124378,945,16,protoheme IX farnesyltransferase
R7A2020_26455,R7A2020_26455,0,5389873,5389998,-1,30,0.0185185185185185,126,2,pseudogene
R7A2020_26560,R7A2020_26560,0,5410091,5410990,-1,358,0.0183006535947712,900,14,N-acetyltransferase
R7A2020_27210,R7A2020_27210,0,5549086,5549298,1,67,0.0164835164835165,213,3,pseudogene
R7A2020_27570,R7A2020_27570,0,5633863,5634822,-1,375,0.0183823529411765,960,15,aldo/keto reductase
R7A2020_27820,R7A2020_27820,0,5692091,5692597,1,365,0.0185185185185185,507,8,transcriptional regulator
R7A2020_27925,R7A2020_27925,0,5714683,5715561,-1,448,0.0186915887850467,879,14,carbohydrate ABC transporter permease
R7A2020_28770,R7A2020_28770,0,5906120,5906479,-1,170,0.0196078431372549,360,6,helix-turn-helix transcriptional regulator
R7A2020_28925,R7A2020_28925,0,5935777,5936175,-1,136,0.0175953079178886,399,6,hypothetical protein
R7A2020_28940,R7A2020_28940,0,5939439,5940602,1,516,0.0161616161616162,1164,16,porin
R7A2020_29020,R7A2020_29020,0,5957113,5958000,-1,266,0.0158730158730159,888,12,type IV secretion system protein
R7A2020_29030,R7A2020_29030,0,5958746,5961115,-1,1036,0.0188585607940447,2370,38,VirB4 family type IV secretion/conjugal transfer ATPase
R7A2020_29075,R7A2020_29075,0,5973875,5974087,-1,77,0.0164835164835165,213,3,cold-shock protein
R7A2020_29200,R7A2020_29200,0,6003777,6004580,-1,180,0.0160818713450292,804,11,hypothetical protein
R7A2020_29215,R7A2020_29215,0,6008818,6009309,-1,67,0.0167064439140811,492,7,hypothetical protein
R7A2020_29225,R7A2020_29225,0,6011806,6014283,-1,810,0.0166034155597723,2478,35,hypothetical protein
R7A2020_29250,R7A2020_29250,0,6024053,6025111,-1,365,0.0177383592017738,1059,16,hypothetical protein
R7A2020_29325,R7A2020_29325,0,6039502,6039617,-1,52,0.02,116,2,pseudogene
R7A2020_29390,R7A2020_29390,0,6052401,6053189,-1,379,0.0193452380952381,789,13,ABC transporter permease
R7A2020_29440,R7A2020_29440,0,6065272,6066297,-1,376,0.0160366552119129,1026,14,OmpA family protein
R7A2020_29450,R7A2020_29450,0,6067551,6068285,-1,423,0.0191693290734824,735,12,hypothetical protein
R7A2020_29470,R7A2020_29470,0,6072110,6073777,-1,575,0.0162085976039464,1668,23,DUF4403 family protein
R7A2020_29540,R7A2020_29540,0,6086910,6087365,-1,292,0.0154241645244216,456,6,GNAT family N-acetyltransferase
R7A2020_29945,R7A2020_29945,0,6176946,6177532,1,327,0.02,587,10,pseudogene
R7A2020_29975,R7A2020_29975,0,6181837,6182973,-1,175,0.0165289256198347,1137,16,aminopeptidase P family protein
R7A2020_30000,R7A2020_30000,0,6188895,6190031,-1,277,0.0175619834710744,1137,17,aminopeptidase P family protein
R7A2020_30045,R7A2020_30045,0,6200099,6201055,1,637,0.0196319018404908,957,16,GlxA family transcriptional regulator
R7A2020_30075,R7A2020_30075,0,6207125,6208459,1,568,0.0176056338028169,1335,20,ISNCY-like element ISMlo5 family transposase
R7A2020_30245,R7A2020_30245,0,6241071,6241477,-1,442,0.0172910662824208,407,6,pseudogene
R7A2020_30375,R7A2020_30375,0,6269352,6270236,-1,362,0.0199203187250996,885,15,DNA adenine methylase
R7A2020_30470,nifH,0,6288876,6289066,-1,40,0.0184049079754601,191,3,pseudogene
R7A2020_30490,R7A2020_30490,0,6294392,6294994,-1,132,0.0175438596491228,603,9,phosphatidylcholine/phosphatidylserine synthase
R7A2020_30605,nifA,0,6317416,6319176,1,804,0.0173680694722779,1761,26,nif-specific transcriptional activator NifA
R7A2020_30870,R7A2020_30870,0,6372237,6373265,-1,717,0.0159817351598174,1029,14,LLM class flavin-dependent oxidoreductase
R7A2020_31425,R7A2020_31425,0,6505935,6506621,1,130,0.0188034188034188,687,11,sel1 repeat family protein
