locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00120,R7A2020_00120,0,25401,25565,1,1,0.00709219858156028,165,1,hypothetical protein
R7A2020_00405,R7A2020_00405,0,84419,84607,1,1,0.00617283950617284,189,1,YodC family protein
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,28,0.00742574257425743,474,3,DUF805 domain-containing protein
R7A2020_01950,tsaE,0,429386,430897,1,137,0.00622083981337481,1512,8,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_03440,R7A2020_03440,0,727651,727827,1,31,0.00657894736842105,177,1,hypothetical protein
R7A2020_03650,R7A2020_03650,0,763657,763977,1,11,0.00732600732600733,321,2,hypothetical protein
R7A2020_03860,secB,0,802736,803239,1,13,0.00699300699300699,504,3,protein-export chaperone SecB
R7A2020_04520,R7A2020_04520,0,943364,943846,-1,22,0.0072992700729927,483,3,hypothetical protein
R7A2020_05060,R7A2020_05060,0,1040277,1040585,-1,22,0.00757575757575758,309,2,NIPSNAP family protein
R7A2020_05390,R7A2020_05390,0,1105561,1106067,1,102,0.00694444444444444,507,3,GNAT family N-acetyltransferase
R7A2020_05925,ssrS,0,1223153,1223308,1,27,0.00746268656716418,156,1,
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,53,0.00648508430609598,906,5,anti-sigma factor
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,12,0.0065359477124183,180,1,YdcH family protein
R7A2020_06565,R7A2020_06565,0,1346669,1347586,-1,8,0.00639386189258312,918,5,polyprenyl synthetase family protein
R7A2020_06865,R7A2020_06865,0,1399895,1400221,-1,16,0.00716845878136201,327,2,hypothetical protein
R7A2020_07190,R7A2020_07190,0,1468235,1468386,-1,4,0.00769230769230769,152,1,pseudogene
R7A2020_08010,R7A2020_08010,0,1633524,1633865,1,2,0.00687285223367698,342,2,hypothetical protein
R7A2020_08740,R7A2020_08740,0,1799721,1799909,1,1,0.00617283950617284,189,1,hypothetical protein
R7A2020_08925,raiA,0,1834678,1835262,1,41,0.00602409638554217,585,3,ribosome-associated translation inhibitor RaiA
R7A2020_09190,R7A2020_09190,0,1881151,1881330,1,17,0.0065359477124183,180,1,hypothetical protein
R7A2020_09485,R7A2020_09485,0,1937723,1938040,-1,45,0.00735294117647059,318,2,Dabb family protein
R7A2020_09600,R7A2020_09600,0,1960593,1961060,1,69,0.0075187969924812,468,3,Hsp20 family protein
R7A2020_09675,R7A2020_09675,0,1983240,1984685,-1,48,0.00650406504065041,1446,8,homospermidine synthase
R7A2020_09740,R7A2020_09740,0,1998864,1999502,-1,42,0.0073394495412844,639,4,2-dehydro-3-deoxy-phosphogluconate aldolase
R7A2020_09755,R7A2020_09755,0,2001605,2001784,1,18,0.0065359477124183,180,1,hypothetical protein
R7A2020_09885,R7A2020_09885,0,2024193,2024504,-1,7,0.0075187969924812,312,2,hypothetical protein
R7A2020_10450,R7A2020_10450,0,2146569,2146946,-1,2,0.00619195046439629,378,2,flagellar export protein FliJ
R7A2020_10520,R7A2020_10520,0,2157773,2158738,1,47,0.00608272506082725,966,5,metallophosphoesterase
R7A2020_10785,R7A2020_10785,0,2215549,2215734,-1,2,0.00628930817610063,186,1,DUF1059 domain-containing protein
R7A2020_10830,R7A2020_10830,0,2223502,2223813,1,8,0.0075187969924812,312,2,hypothetical protein
R7A2020_10900,ychF,0,2234592,2235695,-1,40,0.00745473908413206,1104,7,redox-regulated ATPase YchF
R7A2020_11115,R7A2020_11115,0,2267065,2267238,-1,13,0.00671140939597315,174,1,hypothetical protein
R7A2020_11380,waaC,0,2324978,2325952,-1,54,0.0072289156626506,975,6,lipopolysaccharide heptosyltransferase I
R7A2020_12440,R7A2020_12440,0,2554585,2555289,1,20,0.00666666666666667,705,4,hypothetical protein
R7A2020_12640,R7A2020_12640,0,2595782,2595940,1,1,0.0072992700729927,159,1,hypothetical protein
R7A2020_12915,R7A2020_12915,0,2638794,2639099,-1,35,0.00766283524904215,306,2,helix-turn-helix transcriptional regulator
R7A2020_13520,R7A2020_13520,0,2755899,2756075,1,27,0.00657894736842105,177,1,hypothetical protein
R7A2020_13570,R7A2020_13570,0,2766198,2766581,1,3,0.00611620795107034,384,2,hypothetical protein
R7A2020_14445,R7A2020_14445,0,2933714,2933878,1,3,0.00709219858156028,165,1,DUF3309 family protein
R7A2020_15610,miaA,0,3182932,3183897,1,54,0.00608272506082725,966,5,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
R7A2020_16365,R7A2020_16365,0,3343047,3343232,-1,1,0.00628930817610063,186,1,hypothetical protein
R7A2020_16755,rirA,0,3426979,3427440,-1,10,0.00763358778625954,462,3,iron-responsive transcriptional regulator RirA
R7A2020_16930,R7A2020_16930,0,3460089,3460943,1,68,0.00686813186813187,855,5,DUF2497 domain-containing protein
R7A2020_17145,R7A2020_17145,0,3506125,3506505,1,2,0.00617283950617284,381,2,cytochrome c family protein
R7A2020_17890,folB,0,3680499,3680858,1,15,0.0065359477124183,360,2,dihydroneopterin aldolase
R7A2020_18000,R7A2020_18000,0,3704705,3704881,1,13,0.00657894736842105,177,1,hypothetical protein
R7A2020_18510,lexA,0,3805802,3806539,-1,52,0.00635930047694754,738,4,transcriptional repressor LexA
R7A2020_18970,hspQ,0,3910025,3910348,-1,4,0.0072463768115942,324,2,heat shock protein HspQ
R7A2020_18990,R7A2020_18990,0,3913364,3914170,1,51,0.00727802037845706,807,5,phosphatidylcholine/phosphatidylserine synthase
R7A2020_19130,R7A2020_19130,0,3941072,3941788,-1,49,0.00654664484451719,717,4,Bax inhibitor-1/YccA family protein
R7A2020_19915,R7A2020_19915,0,4084681,4087137,-1,154,0.00717703349282297,2457,15,penicillin-binding protein 1A
R7A2020_20065,cysE,0,4113819,4114667,-1,23,0.00691562932226833,849,5,serine O-acetyltransferase
R7A2020_20370,R7A2020_20370,0,4167964,4168128,1,4,0.00709219858156028,165,1,hypothetical protein
R7A2020_20540,grxD,0,4195619,4195954,1,10,0.00696864111498258,336,2,Grx4 family monothiol glutaredoxin
R7A2020_20625,recA,0,4211579,4212676,-1,37,0.00641711229946524,1098,6,recombinase RecA
R7A2020_21710,R7A2020_21710,0,4426059,4434656,-1,273,0.00683994528043776,8598,50,protein ndvB
R7A2020_22410,R7A2020_22410,0,4572381,4572698,1,4,0.00735294117647059,318,2,cupredoxin family copper-binding protein
R7A2020_22625,R7A2020_22625,0,4606830,4607018,-1,12,0.00617283950617284,189,1,hypothetical protein
R7A2020_22790,R7A2020_22790,0,4629440,4629973,1,13,0.00659340659340659,534,3,hypothetical protein
R7A2020_22955,R7A2020_22955,0,4653195,4653368,-1,1,0.00671140939597315,174,1,hypothetical protein
R7A2020_23410,R7A2020_23410,0,4741746,4742093,-1,5,0.00673400673400673,348,2,antibiotic biosynthesis monooxygenase
R7A2020_24370,cysQ,0,4947262,4948053,-1,53,0.00741839762611276,792,5,3'(2'),5'-bisphosphate nucleotidase CysQ
R7A2020_24445,R7A2020_24445,0,4966287,4968200,-1,70,0.00675675675675676,1914,11,hypothetical protein
R7A2020_24735,R7A2020_24735,0,5026689,5027249,1,3,0.00628930817610063,561,3,invasion associated locus B family protein
R7A2020_25035,R7A2020_25035,0,5083090,5083581,-1,26,0.00715990453460621,492,3,F0F1 ATP synthase subunit B
R7A2020_26145,R7A2020_26145,0,5320059,5320388,1,16,0.00711743772241993,330,2,L-rhamnose mutarotase
R7A2020_26800,R7A2020_26800,0,5466807,5467139,-1,10,0.00704225352112676,333,2,hypothetical protein
R7A2020_28440,R7A2020_28440,0,5830161,5830976,1,36,0.00719424460431655,816,5,pyrroline-5-carboxylate reductase
