locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,11240,0.0959752321981424,1140,93,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,6104,0.104524180967239,753,67,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,5370,0.142506142506143,477,58,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,13148,0.129107981220657,1002,110,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,2230,0.11144578313253,390,37,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,1797,0.0706521739130435,432,26,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,4069,0.0950292397660819,804,65,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,15979,0.10958904109589,1545,144,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,11252,0.122093023255814,1011,105,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,148,0.00109469074986316,2148,2,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,78,0.00869565217391304,270,2,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,8752,0.105150214592275,1095,98,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,9120,0.100840336134454,978,84,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,2358,0.0925449871465296,456,36,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,1000,0.0144404332129964,651,8,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,2716,0.0139911634756996,1596,19,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,428,0.00543478260869565,648,3,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,741,0.0851063829787234,165,12,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,10376,0.150753768844221,702,90,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,1396,0.0588235294117647,420,21,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,5037,0.0738007380073801,1593,100,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,8389,0.134328358208955,945,108,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,10260,0.138888888888889,762,90,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,6024,0.127182044887781,471,51,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,13433,0.134133042529989,1077,123,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,567,0.0164319248826291,501,7,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,13450,0.153415453527436,1050,137,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,18630,0.126772310258549,1410,152,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,5783,0.104258443465492,801,71,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,3066,0.0805687203791469,495,34,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,11511,0.117145899893504,1104,110,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,11552,0.100217864923747,1080,92,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,10771,0.0969162995594714,1602,132,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,3909,0.123188405797101,486,51,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,2425,0.0977443609022556,312,26,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,6685,0.0838650865998177,1290,92,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,83,0.000937207122774133,1254,1,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,17464,0.161764705882353,1278,176,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,15505,0.146542827657379,1140,142,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,16252,0.163556531284303,1071,149,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,43375,0.146866589773164,3060,382,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,7298,0.110062893081761,747,70,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,10325,0.127629733520337,837,91,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,8975,0.114942528735632,921,90,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,9244,0.118493909191584,1062,107,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,17056,0.117310443490701,1644,164,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,10546,0.113935969868173,1248,121,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,8531,0.166666666666667,606,86,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,10848,0.131455399061033,1002,112,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,2778,0.0862068965517241,408,30,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,6115,0.170289855072464,324,47,YbaB/EbfC family nucleoid-associated protein
