locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00335,R7A2020_00335,0,68544,69191,1,118,0.0126811594202899,648,7,cytochrome c family protein
R7A2020_00350,R7A2020_00350,0,73139,74233,1,723,0.0118025751072961,1095,11,microcin C ABC transporter permease YejB
R7A2020_00405,R7A2020_00405,0,84419,84607,1,265,0.0123456790123457,189,2,YodC family protein
R7A2020_01020,R7A2020_01020,0,221399,221935,-1,39,0.0109170305676856,537,5,ActR/PrrA/RegA family redox response regulator transcription factor
R7A2020_01670,R7A2020_01670,0,367630,368343,-1,551,0.0115131578947368,714,7,CDP-diacylglycerol diphosphatase
R7A2020_01940,R7A2020_01940,0,425222,426622,1,824,0.0109151973131822,1401,13,adenosylhomocysteinase
R7A2020_01950,tsaE,0,429386,430897,1,884,0.0132192846034215,1512,17,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02235,hisA,0,486485,487228,-1,975,0.0110584518167457,744,7,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase
R7A2020_03535,R7A2020_03535,0,744048,744236,1,12,0.0123456790123457,189,2,hypothetical protein
R7A2020_03880,R7A2020_03880,0,807772,808245,1,210,0.0123762376237624,474,5,RloB domain-containing protein
R7A2020_04460,R7A2020_04460,0,930624,930950,-1,95,0.010752688172043,327,3,chorismate mutase
R7A2020_05465,purH,0,1123946,1125562,-1,1932,0.0123546511627907,1617,17,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,421,0.0115942028985507,405,4,ribbon-helix-helix protein, CopG family
R7A2020_05910,R7A2020_05910,0,1221381,1221575,-1,460,0.0119760479041916,195,2,type II toxin-antitoxin system HicA family toxin
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,379,0.0113960113960114,825,8,YmdB family metallophosphoesterase
R7A2020_06110,ruvA,0,1252968,1253588,1,639,0.0113636363636364,621,6,Holliday junction branch migration protein RuvA
R7A2020_06115,ruvB,0,1253632,1254669,1,1109,0.0135746606334842,1038,12,Holliday junction branch migration DNA helicase RuvB
R7A2020_06450,R7A2020_06450,0,1327653,1328729,-1,951,0.0130861504907306,1077,12,5-(carboxyamino)imidazole ribonucleotide synthase
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,25,0.0130718954248366,180,2,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,342,0.0129107981220657,1002,11,DUF4034 domain-containing protein
R7A2020_06760,R7A2020_06760,0,1377423,1377626,-1,136,0.0114942528735632,204,2,hypothetical protein
R7A2020_07650,R7A2020_07650,0,1556131,1558737,-1,981,0.0126296797474064,2607,28,TIGR02302 family protein
R7A2020_07800,R7A2020_07800,0,1588630,1589148,-1,157,0.0135440180586907,519,6,disulfide bond formation protein B
R7A2020_08520,polA,0,1740114,1743077,-1,1881,0.0111111111111111,2964,28,DNA polymerase I
R7A2020_08635,R7A2020_08635,0,1772299,1773297,-1,435,0.0129259694477086,999,11,ABC transporter permease
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,35,0.0116959064327485,201,2,hypothetical protein
R7A2020_09225,kdpF,0,1886116,1886205,1,6,0.012987012987013,90,1,K(+)-transporting ATPase subunit F
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,515,0.0113821138211382,723,7,aminoacyl-tRNA hydrolase
R7A2020_10985,R7A2020_10985,0,2249664,2250164,1,117,0.0140845070422535,501,6,hypothetical protein
R7A2020_11805,R7A2020_11805,0,2411029,2411196,-1,8,0.0138888888888889,168,2,pseudogene
R7A2020_11945,R7A2020_11945,0,2438597,2439472,1,700,0.0107238605898123,876,8,serine protease
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,561,0.0115340253748558,1020,10,YihY/virulence factor BrkB family protein
R7A2020_12155,R7A2020_12155,0,2489607,2490032,1,32,0.0137741046831956,426,5,hypothetical protein
R7A2020_12175,R7A2020_12175,0,2492408,2493433,-1,170,0.0126002290950745,1026,11,3-oxoacyl-ACP synthase
R7A2020_12180,R7A2020_12180,0,2493430,2494533,-1,545,0.0117145899893504,1104,11,DUF2169 domain-containing protein
R7A2020_13265,R7A2020_13265,0,2705187,2706644,-1,792,0.0128928283642224,1458,16,hypothetical protein
R7A2020_13275,R7A2020_13275,0,2708664,2709107,1,286,0.0132275132275132,444,5,hypothetical protein
R7A2020_13520,R7A2020_13520,0,2755899,2756075,1,336,0.0131578947368421,177,2,hypothetical protein
R7A2020_13685,R7A2020_13685,0,2786884,2787483,-1,65,0.0137254901960784,600,7,TetR/AcrR family transcriptional regulator
R7A2020_14385,R7A2020_14385,0,2921947,2922153,-1,64,0.0112994350282486,207,2,hypothetical protein
R7A2020_15300,R7A2020_15300,0,3121939,3122805,-1,498,0.0121951219512195,867,9,SDR family NAD(P)-dependent oxidoreductase
R7A2020_17350,hisI,0,3552507,3552968,-1,713,0.0127226463104326,462,5,phosphoribosyl-AMP cyclohydrolase
R7A2020_17360,R7A2020_17360,0,3553957,3554403,1,133,0.0131233595800525,447,5,iron-sulfur cluster assembly scaffold protein
R7A2020_17515,gcvH,0,3589109,3589477,-1,254,0.0126984126984127,369,4,glycine cleavage system protein GcvH
R7A2020_18170,glpD,0,3736325,3737851,1,1302,0.0123171670515781,1527,16,glycerol-3-phosphate dehydrogenase
R7A2020_18690,R7A2020_18690,0,3852751,3853065,-1,89,0.0111524163568773,315,3,hypothetical protein
R7A2020_19055,R7A2020_19055,0,3926493,3926582,-1,4,0.012987012987013,90,1,
R7A2020_19270,eno,0,3968546,3969820,-1,1327,0.0129032258064516,1275,14,phosphopyruvate hydratase
R7A2020_19440,R7A2020_19440,0,4005421,4006401,-1,1029,0.0119904076738609,981,10,RluA family pseudouridine synthase
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,4498,0.0139275766016713,2955,35,Rne/Rng family ribonuclease
R7A2020_20060,R7A2020_20060,0,4113463,4113666,-1,26,0.0114942528735632,204,2,DUF3126 family protein
R7A2020_20140,R7A2020_20140,0,4127612,4127697,1,62,0.0135135135135135,86,1,
R7A2020_20625,recA,0,4211579,4212676,-1,305,0.0106951871657754,1098,10,recombinase RecA
R7A2020_20870,R7A2020_20870,0,4260734,4261186,-1,191,0.0129533678756477,453,5,MucR family transcriptional regulator
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,469,0.013738959764475,1197,14,SAVED domain-containing protein
R7A2020_20930,R7A2020_20930,0,4274611,4276290,-1,443,0.0112044817927171,1680,16,RecQ family ATP-dependent DNA helicase
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,478,0.010840108401084,867,8,hypothetical protein
R7A2020_20955,R7A2020_20955,0,4280199,4280948,-1,226,0.0125391849529781,750,8,hypothetical protein
R7A2020_21290,R7A2020_21290,0,4343971,4344510,-1,119,0.0108932461873638,540,5,MerR family transcriptional regulator
R7A2020_21465,R7A2020_21465,0,4376742,4377002,-1,96,0.0135135135135135,261,3,DUF982 domain-containing protein
R7A2020_21600,guaB,0,4402764,4404266,-1,1586,0.0140845070422535,1503,18,IMP dehydrogenase
R7A2020_21700,R7A2020_21700,0,4423049,4423813,-1,682,0.010752688172043,765,7,heme ABC transporter permease
R7A2020_22165,R7A2020_22165,0,4530007,4530303,1,68,0.0118110236220472,297,3,co-chaperone GroES
R7A2020_22520,R7A2020_22520,0,4588322,4588525,1,249,0.0114942528735632,204,2,hypothetical protein
R7A2020_22550,R7A2020_22550,0,4593330,4593548,1,17,0.0106382978723404,219,2,hypothetical protein
R7A2020_22710,R7A2020_22710,0,4618676,4619182,1,206,0.0138888888888889,507,6,flagellar FlbD family protein
R7A2020_22750,R7A2020_22750,0,4624692,4625480,-1,274,0.0133928571428571,789,9,hypothetical protein
R7A2020_23230,pdxA,0,4705595,4706623,1,1325,0.0114155251141553,1029,10,4-hydroxythreonine-4-phosphate dehydrogenase PdxA
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,224,0.0140350877192982,669,8,CvpA family protein
R7A2020_23350,R7A2020_23350,0,4729738,4731207,1,886,0.012,1470,15,amidophosphoribosyltransferase
R7A2020_23595,R7A2020_23595,0,4777668,4777775,-1,3,0.010752688172043,108,1,pseudogene
R7A2020_23640,R7A2020_23640,0,4784678,4785256,-1,510,0.0121457489878543,579,6,orotate phosphoribosyltransferase
R7A2020_23895,R7A2020_23895,0,4843368,4843835,-1,244,0.012531328320802,468,5,cytochrome c-type biogenesis protein CcmH
R7A2020_24075,R7A2020_24075,0,4878294,4878719,-1,209,0.0137741046831956,426,5,MucR family transcriptional regulator
R7A2020_24845,R7A2020_24845,0,5048152,5048412,1,37,0.0135135135135135,261,3,DUF1344 domain-containing protein
R7A2020_25320,R7A2020_25320,0,5140741,5141541,1,76,0.0117474302496329,801,8,acyltransferase
R7A2020_25885,pcaH,0,5268709,5269464,-1,364,0.0108695652173913,756,7,protocatechuate 3,4-dioxygenase subunit beta
R7A2020_26865,R7A2020_26865,0,5478898,5479110,-1,201,0.010989010989011,213,2,hypothetical protein
R7A2020_26960,R7A2020_26960,0,5498833,5499600,1,217,0.0107033639143731,768,7,serine/threonine protein phosphatase
R7A2020_27210,R7A2020_27210,0,5549086,5549298,1,23,0.010989010989011,213,2,pseudogene
R7A2020_27570,R7A2020_27570,0,5633863,5634822,-1,1160,0.0122549019607843,960,10,aldo/keto reductase
R7A2020_27590,R7A2020_27590,0,5636818,5638248,-1,986,0.0139687756778965,1431,17,amino acid permease
R7A2020_27685,R7A2020_27685,0,5662128,5662541,-1,185,0.0113314447592068,414,4,hypothetical protein
R7A2020_27820,R7A2020_27820,0,5692091,5692597,1,233,0.0115740740740741,507,5,transcriptional regulator
R7A2020_27950,R7A2020_27950,0,5721492,5722181,1,303,0.0136286201022147,690,8,hypothetical protein
R7A2020_28105,R7A2020_28105,0,5751197,5751894,1,965,0.0134453781512605,698,8,pseudogene
R7A2020_28490,R7A2020_28490,0,5840999,5841955,-1,248,0.0110429447852761,957,9,type II secretion system F family protein
R7A2020_28560,R7A2020_28560,0,5853457,5853993,-1,756,0.0131004366812227,537,6,hypothetical protein
R7A2020_28755,R7A2020_28755,0,5901816,5902910,-1,936,0.0118025751072961,1095,11,hypothetical protein
R7A2020_28790,R7A2020_28790,0,5910540,5910863,1,49,0.0108695652173913,324,3,pseudogene
R7A2020_29000,R7A2020_29000,0,5954204,5955343,-1,549,0.0113519091847265,1140,11,type IV secretion system protein VirB10
R7A2020_29020,R7A2020_29020,0,5957113,5958000,-1,706,0.0132275132275132,888,10,type IV secretion system protein
R7A2020_29065,virD4,0,5970716,5972461,-1,981,0.0114478114478114,1746,17,type IV secretion system ATPase VirD4
R7A2020_29070,R7A2020_29070,0,5972706,5973569,-1,208,0.0108843537414966,864,8,hypothetical protein
R7A2020_29075,R7A2020_29075,0,5973875,5974087,-1,8,0.010989010989011,213,2,cold-shock protein
R7A2020_29220,R7A2020_29220,0,6009350,6011362,-1,824,0.0116822429906542,2013,20,AAA family ATPase
R7A2020_29225,R7A2020_29225,0,6011806,6014283,-1,2038,0.0118595825426945,2478,25,hypothetical protein
R7A2020_29240,R7A2020_29240,0,6016750,6021405,1,3866,0.0126294518817883,4656,50,hypothetical protein
R7A2020_29275,R7A2020_29275,0,6028777,6029394,1,272,0.0113851992409867,618,6,hypothetical protein
R7A2020_29415,R7A2020_29415,0,6057421,6058029,-1,562,0.0134874759152216,609,7,methyltransferase domain-containing protein
R7A2020_29470,R7A2020_29470,0,6072110,6073777,-1,1311,0.0126849894291755,1668,18,DUF4403 family protein
R7A2020_29475,R7A2020_29475,0,6074201,6076285,1,1462,0.011844331641286,2085,21,hypothetical protein
R7A2020_29655,R7A2020_29655,0,6106837,6107562,-1,994,0.0113268608414239,726,7,LuxR family transcriptional regulator
