locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00820,R7A2020_00820,0,178946,179290,1,11,0.0170068027210884,345,5,winged helix-turn-helix transcriptional regulator
R7A2020_01625,R7A2020_01625,0,359749,360147,-1,22,0.0175953079178886,399,6,hypothetical protein
R7A2020_01950,tsaE,0,429386,430897,1,230,0.015552099533437,1512,20,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,71,0.0168067226890756,558,8,hypothetical protein
R7A2020_04535,R7A2020_04535,0,945784,946083,1,69,0.0156862745098039,300,4,hypothetical protein
R7A2020_04705,R7A2020_04705,0,975967,976506,1,30,0.0174291938997821,540,8,AprI/Inh family metalloprotease inhibitor
R7A2020_05435,R7A2020_05435,0,1114557,1115435,-1,67,0.0160213618157543,879,12,acid phosphatase
R7A2020_05985,rpmE,0,1230702,1230923,-1,36,0.0158730158730159,222,3,50S ribosomal protein L31
R7A2020_06100,R7A2020_06100,0,1252274,1252543,1,27,0.0173913043478261,270,4,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,376,0.017687074829932,1728,26,hypothetical protein
R7A2020_08010,R7A2020_08010,0,1633524,1633865,1,18,0.0171821305841924,342,5,hypothetical protein
R7A2020_08025,R7A2020_08025,0,1635960,1636035,1,1,0.0151515151515152,76,1,
R7A2020_08545,R7A2020_08545,0,1746285,1746431,1,38,0.0158730158730159,147,2,hypothetical protein
R7A2020_08925,raiA,0,1834678,1835262,1,100,0.0180722891566265,585,9,ribosome-associated translation inhibitor RaiA
R7A2020_08930,ptsN,0,1835321,1835785,1,92,0.0151515151515152,465,6,PTS IIA-like nitrogen regulatory protein PtsN
R7A2020_08940,R7A2020_08940,0,1836178,1836603,-1,24,0.0165289256198347,426,6,Hsp20 family protein
R7A2020_09175,R7A2020_09175,0,1877352,1879175,-1,140,0.0180528691166989,1824,28,RNA-directed DNA polymerase
R7A2020_09560,R7A2020_09560,0,1954757,1954831,-1,6,0.0153846153846154,75,1,
R7A2020_10900,ychF,0,2234592,2235695,-1,240,0.0181043663471778,1104,17,redox-regulated ATPase YchF
R7A2020_11375,greA,0,2324355,2324828,1,79,0.0173267326732673,474,7,transcription elongation factor GreA
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,7,0.0164835164835165,213,3,cold-shock protein
R7A2020_11630,mntR,0,2373670,2374122,1,55,0.0181347150259067,453,7,manganese-binding transcriptional regulator MntR
R7A2020_11945,R7A2020_11945,0,2438597,2439472,1,120,0.017426273458445,876,13,serine protease
R7A2020_12070,R7A2020_12070,0,2464959,2465177,1,16,0.0159574468085106,219,3,hypothetical protein
R7A2020_12915,R7A2020_12915,0,2638794,2639099,-1,47,0.0153256704980843,306,4,helix-turn-helix transcriptional regulator
R7A2020_13000,R7A2020_13000,0,2653081,2653383,1,32,0.0155038759689922,303,4,hypothetical protein
R7A2020_13025,R7A2020_13025,0,2656169,2656867,1,163,0.0167785234899329,699,10,YdaU family protein
R7A2020_13040,R7A2020_13040,0,2657792,2658094,-1,13,0.0155038759689922,303,4,hypothetical protein
R7A2020_14320,R7A2020_14320,0,2915063,2915200,1,7,0.0168067226890756,138,2,hypothetical protein
R7A2020_15435,R7A2020_15435,0,3152757,3152954,-1,11,0.0176470588235294,198,3,hypothetical protein
R7A2020_16755,rirA,0,3426979,3427440,-1,17,0.0178117048346056,462,7,iron-responsive transcriptional regulator RirA
R7A2020_16765,R7A2020_16765,0,3429139,3429567,1,82,0.0163934426229508,429,6,phasin family protein
R7A2020_17095,R7A2020_17095,0,3497986,3498126,-1,7,0.0166666666666667,141,2,DUF1127 domain-containing protein
R7A2020_17100,R7A2020_17100,0,3498176,3498316,-1,6,0.0166666666666667,141,2,DUF1127 domain-containing protein
R7A2020_17350,hisI,0,3552507,3552968,-1,53,0.0152671755725191,462,6,phosphoribosyl-AMP cyclohydrolase
R7A2020_18495,gltA,0,3800313,3801641,-1,79,0.0159151193633952,1329,18,citrate (Si)-synthase
R7A2020_18790,R7A2020_18790,0,3878986,3879477,1,73,0.0167064439140811,492,7,Lrp/AsnC family transcriptional regulator
R7A2020_18915,R7A2020_18915,0,3897822,3897896,-1,4,0.0153846153846154,75,1,
R7A2020_19250,pdhA,0,3965490,3966527,-1,162,0.0180995475113122,1038,16,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
R7A2020_19725,R7A2020_19725,0,4053789,4054238,1,111,0.0156657963446475,450,6,YidB family protein
R7A2020_19950,aroQ,0,4096964,4097398,1,70,0.0161725067385445,435,6,type II 3-dehydroquinate dehydratase
R7A2020_20910,R7A2020_20910,0,4269828,4270340,-1,31,0.0160183066361556,513,7,hypothetical protein
R7A2020_20945,R7A2020_20945,0,4278204,4279235,1,125,0.0170842824601367,1032,15,DUF4238 domain-containing protein
R7A2020_21710,R7A2020_21710,0,4426059,4434656,-1,1140,0.0151846785225718,8598,111,protein ndvB
R7A2020_22080,R7A2020_22080,0,4512558,4513031,-1,48,0.0173267326732673,474,7,winged helix-turn-helix transcriptional regulator
R7A2020_22585,R7A2020_22585,0,4600692,4600892,1,19,0.0175438596491228,201,3,hypothetical protein
R7A2020_22685,R7A2020_22685,0,4614224,4614433,1,9,0.0167597765363128,210,3,hypothetical protein
R7A2020_22810,R7A2020_22810,0,4630903,4631427,1,78,0.0178970917225951,525,8,siphovirus Gp157 family protein
R7A2020_23240,R7A2020_23240,0,4707524,4707817,1,107,0.0159362549800797,294,4,DUF1330 domain-containing protein
R7A2020_23300,rplI,0,4719849,4720433,1,200,0.0180722891566265,585,9,50S ribosomal protein L9
R7A2020_23400,R7A2020_23400,0,4739826,4740524,-1,57,0.0167785234899329,699,10,phosphatidylserine decarboxylase
R7A2020_23805,R7A2020_23805,0,4819332,4819526,1,11,0.0179640718562874,195,3,hypothetical protein
R7A2020_24445,R7A2020_24445,0,4966287,4968200,-1,174,0.0165847665847666,1914,27,hypothetical protein
R7A2020_24820,R7A2020_24820,0,5043110,5043718,-1,45,0.0173410404624277,609,9,TetR/AcrR family transcriptional regulator
R7A2020_27005,R7A2020_27005,0,5506579,5508144,1,316,0.0165165165165165,1566,22,exodeoxyribonuclease VII large subunit
R7A2020_27560,R7A2020_27560,0,5632760,5633026,1,29,0.0175438596491228,267,4,acyl carrier protein
