locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
R7A2020_00005	dnaA	0	1	1545	1	0	0	1545	0	"chromosomal replication initiator protein DnaA"
R7A2020_00010	R7A2020_00010	0	1851	2969	1	0	0	1119	0	"DNA polymerase III subunit beta"
R7A2020_00015	recF	0	3053	4192	1	2869	0.0557275541795666	1140	54	"DNA replication/repair protein RecF"
R7A2020_00020	R7A2020_00020	0	4224	4976	1	4103	0.0670826833073323	753	43	"molybdopterin-synthase adenylyltransferase MoeB"
R7A2020_00025	R7A2020_00025	0	4991	5467	1	1633	0.0638820638820639	477	26	"GNAT family N-acetyltransferase"
R7A2020_00030	R7A2020_00030	0	5518	6519	-1	6419	0.0704225352112676	1002	60	"D-glycerate dehydrogenase"
R7A2020_00035	R7A2020_00035	0	6668	7228	1	0	0	561	0	"hypothetical protein"
R7A2020_00040	R7A2020_00040	0	7218	7607	-1	1860	0.0481927710843374	390	16	"DUF4260 domain-containing protein"
R7A2020_00045	R7A2020_00045	0	7664	8095	-1	134	0.0271739130434783	432	10	"transcriptional repressor"
R7A2020_00050	fabA	0	8338	8853	1	0	0	516	0	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA"
R7A2020_00055	fabB	0	8903	10123	1	0	0	1221	0	"beta-ketoacyl-ACP synthase I"
R7A2020_00060	fabI	0	10155	10958	1	1332	0.0350877192982456	804	24	"enoyl-ACP reductase FabI"
R7A2020_00065	R7A2020_00065	0	11114	12658	1	7753	0.0487062404870624	1545	64	"bifunctional diguanylate cyclase/phosphodiesterase"
R7A2020_00070	R7A2020_00070	0	12664	13674	-1	3295	0.0534883720930233	1011	46	"class I SAM-dependent methyltransferase"
R7A2020_00075	pnp	0	13800	15947	-1	0	0	2148	0	"polyribonucleotide nucleotidyltransferase"
R7A2020_00080	rpsO	0	16357	16626	-1	0	0	270	0	"30S ribosomal protein S15"
R7A2020_00085	corA	0	16808	17902	-1	4254	0.0568669527896996	1095	53	"magnesium/cobalt transporter CorA"
R7A2020_00090	truB	0	17947	18924	-1	2265	0.0300120048019208	978	25	"tRNA pseudouridine(55) synthase TruB"
R7A2020_00095	rbfA	0	18924	19379	-1	908	0.0231362467866324	456	9	"30S ribosome-binding factor RbfA"
R7A2020_00100	infB	0	19554	22136	-1	0	0	2583	0	"translation initiation factor IF-2"
R7A2020_00105	R7A2020_00105	0	22133	22783	-1	35	0.0036101083032491	651	2	"RNA-binding protein"
R7A2020_00110	nusA	0	22822	24417	-1	292	0.00294550810014728	1596	4	"transcription termination/antitermination protein NusA"
R7A2020_00115	rimP	0	24467	25114	-1	17	0.00181159420289855	648	1	"ribosome maturation factor RimP"
R7A2020_00120	R7A2020_00120	0	25401	25565	1	331	0.0425531914893617	165	6	"hypothetical protein"
R7A2020_00125	trmB	0	25589	26290	-1	1488	0.0619765494137353	702	37	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
R7A2020_00130	R7A2020_00130	0	26316	27581	-1	0	0	1266	0	"methionine adenosyltransferase"
R7A2020_00135	R7A2020_00135	0	27750	28169	-1	630	0.0280112044817927	420	10	"helix-turn-helix transcriptional regulator"
R7A2020_00140	lnt	0	28308	29900	-1	2238	0.0280442804428044	1593	38	"apolipoprotein N-acyltransferase"
R7A2020_00145	R7A2020_00145	0	30081	31025	-1	3934	0.0696517412935323	945	56	"LysR family transcriptional regulator"
R7A2020_00150	R7A2020_00150	0	31126	31887	1	4798	0.0694444444444444	762	45	"SDR family oxidoreductase"
R7A2020_00155	R7A2020_00155	0	31913	32383	-1	2001	0.0698254364089776	471	28	glyoxalase
R7A2020_00160	R7A2020_00160	0	32397	33473	-1	3836	0.0523446019629226	1077	48	"HlyC/CorC family transporter"
R7A2020_00165	ybeY	0	33501	34001	-1	6	0.00234741784037559	501	1	"rRNA maturation RNase YbeY"
R7A2020_00170	R7A2020_00170	0	34020	35069	-1	3442	0.0716685330347144	1050	64	"PhoH family protein"
R7A2020_00175	miaB	0	35096	36505	-1	9355	0.0758965804837364	1410	91	"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB"
R7A2020_00180	R7A2020_00180	0	36582	37382	-1	2043	0.0381791483113069	801	26	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
R7A2020_00185	rimI	0	37410	37904	-1	921	0.042654028436019	495	18	"ribosomal protein S18-alanine N-acetyltransferase"
R7A2020_00190	tsaB	0	37904	38581	-1	0	0	678	0	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
R7A2020_00195	R7A2020_00195	0	38678	39781	-1	3589	0.060702875399361	1104	57	"DUF1513 domain-containing protein"
R7A2020_00200	R7A2020_00200	0	39784	40863	-1	3083	0.0588235294117647	1080	54	"peptidase M75, Imelysin"
R7A2020_00205	R7A2020_00205	0	40863	42464	-1	5501	0.0477239353891336	1602	65	"c-type cytochrome"
R7A2020_00210	bfr	0	42477	42962	-1	1463	0.0507246376811594	486	21	bacterioferritin
R7A2020_00215	R7A2020_00215	0	42928	43239	-1	2460	0.0601503759398496	312	16	"(2Fe-2S)-binding protein"
R7A2020_00220	R7A2020_00220	0	43352	44641	-1	4013	0.0437556973564266	1290	48	peptidase
R7A2020_00225	R7A2020_00225	0	45077	46330	1	0	0	1254	0	"FAD-dependent oxidoreductase"
R7A2020_00230	R7A2020_00230	0	46435	47712	-1	7064	0.0827205882352941	1278	90	"4-aminobutyrate--2-oxoglutarate transaminase"
R7A2020_00235	R7A2020_00235	0	47950	49089	1	6814	0.0970072239422085	1140	94	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00240	R7A2020_00240	0	49086	50156	1	6841	0.0790340285400659	1071	72	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00245	R7A2020_00245	0	50153	53212	1	18894	0.0838139177239523	3060	218	"efflux RND transporter permease subunit"
R7A2020_00250	R7A2020_00250	0	53287	54033	-1	2762	0.050314465408805	747	32	"ABC transporter ATP-binding protein"
R7A2020_00255	R7A2020_00255	0	54030	54866	-1	2383	0.0490883590462833	837	35	"ABC transporter ATP-binding protein"
R7A2020_00260	R7A2020_00260	0	54863	55783	-1	2307	0.0421455938697318	921	33	"ABC transporter permease"
R7A2020_00265	R7A2020_00265	0	55780	56841	-1	5528	0.0730897009966777	1062	66	"ABC transporter permease"
R7A2020_00270	R7A2020_00270	0	56860	58503	-1	5300	0.0407725321888412	1644	57	"ABC transporter substrate-binding protein"
R7A2020_00275	R7A2020_00275	0	58765	60012	-1	6762	0.0555555555555556	1248	59	"lytic murein transglycosylase"
R7A2020_00280	recR	0	60033	60638	-1	3739	0.0949612403100775	606	49	"recombination protein RecR"
R7A2020_00285	R7A2020_00285	0	60730	61731	-1	2086	0.0481220657276995	1002	41	"cell wall hydrolase"
R7A2020_00290	R7A2020_00290	0	61961	62368	-1	685	0.0373563218390805	408	13	"hypothetical protein"
