locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,54,0.00541516245487365,651,3,RNA-binding protein
R7A2020_00425,R7A2020_00425,0,86399,86854,1,33,0.0051413881748072,456,2,periplasmic heavy metal sensor
R7A2020_00980,R7A2020_00980,0,215611,216180,1,31,0.00618556701030928,570,3,NifU family protein
R7A2020_01220,R7A2020_01220,0,265014,266036,-1,22,0.00574712643678161,1023,5,glycosyltransferase family 2 protein
R7A2020_01420,R7A2020_01420,0,310924,311310,-1,37,0.00606060606060606,387,2,TIGR02300 family protein
R7A2020_01950,tsaE,0,429386,430897,1,47,0.00622083981337481,1512,8,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02370,R7A2020_02370,0,512880,513098,1,6,0.00531914893617021,219,1,DUF3329 domain-containing protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,11,0.00630252100840336,558,3,hypothetical protein
R7A2020_03875,R7A2020_03875,0,806295,807593,1,21,0.0054249547920434,1299,6,ATP-binding protein
R7A2020_04670,R7A2020_04670,0,968771,969445,-1,9,0.00521739130434783,675,3,septation protein A
R7A2020_04865,sdhC,0,1006497,1006916,1,13,0.00560224089635854,420,2,succinate dehydrogenase, cytochrome b556 subunit
R7A2020_06160,ybgF,0,1262592,1263704,1,63,0.00633579725448786,1113,6,tol-pal system protein YbgF
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,27,0.00648508430609598,906,5,anti-sigma factor
R7A2020_06890,R7A2020_06890,0,1403367,1403570,1,6,0.00574712643678161,204,1,hypothetical protein
R7A2020_07615,ftsE,0,1550976,1551635,-1,38,0.0053475935828877,660,3,cell division ATP-binding protein FtsE
R7A2020_08675,R7A2020_08675,0,1783408,1784262,-1,67,0.00549450549450549,855,4,MBL fold metallo-hydrolase
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,6,0.00584795321637427,201,1,hypothetical protein
R7A2020_08920,rpoN,0,1832885,1834411,1,159,0.00615858352578907,1527,8,RNA polymerase factor sigma-54
R7A2020_10390,R7A2020_10390,0,2136346,2136537,-1,13,0.00609756097560976,192,1,hypothetical protein
R7A2020_11040,R7A2020_11040,0,2259073,2259285,-1,2,0.00549450549450549,213,1,cold-shock protein
R7A2020_11045,R7A2020_11045,0,2259610,2259822,-1,4,0.00549450549450549,213,1,cold-shock protein
R7A2020_11505,R7A2020_11505,0,2350650,2350862,-1,2,0.00549450549450549,213,1,cold-shock protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,30,0.00576701268742791,1020,5,YihY/virulence factor BrkB family protein
R7A2020_12170,R7A2020_12170,0,2491305,2492411,-1,83,0.00530785562632696,1107,5,DUF4150 domain-containing protein
R7A2020_13100,R7A2020_13100,0,2671600,2671782,1,2,0.00641025641025641,183,1,hypothetical protein
R7A2020_13425,R7A2020_13425,0,2735503,2736174,1,13,0.00524475524475524,672,3,glycerol-3-phosphate acyltransferase
R7A2020_13685,R7A2020_13685,0,2786884,2787483,-1,17,0.00588235294117647,600,3,TetR/AcrR family transcriptional regulator
R7A2020_13805,R7A2020_13805,0,2817662,2818279,1,21,0.00569259962049336,618,3,TetR/AcrR family transcriptional regulator
R7A2020_14045,R7A2020_14045,0,2864427,2864645,-1,2,0.00531914893617021,219,1,hypothetical protein
R7A2020_14385,R7A2020_14385,0,2921947,2922153,-1,3,0.00564971751412429,207,1,hypothetical protein
R7A2020_15045,metF,0,3062962,3063879,1,130,0.0051150895140665,918,4,methylenetetrahydrofolate reductase [NAD(P)H]
R7A2020_15920,R7A2020_15920,0,3247156,3248430,1,30,0.00645161290322581,1275,7,NADH-quinone oxidoreductase subunit E
R7A2020_15950,R7A2020_15950,0,3254334,3254954,1,5,0.00568181818181818,621,3,NADH-quinone oxidoreductase subunit J
R7A2020_16990,R7A2020_16990,0,3474325,3477708,1,214,0.00556134862704206,3384,16,SPOR domain-containing protein
R7A2020_17145,R7A2020_17145,0,3506125,3506505,1,6,0.00617283950617284,381,2,cytochrome c family protein
R7A2020_17305,R7A2020_17305,0,3543987,3545204,1,49,0.00578592092574735,1218,6,LL-diaminopimelate aminotransferase
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,131,0.00598802395209581,1374,7,glutamate--tRNA ligase
R7A2020_18170,glpD,0,3736325,3737851,1,67,0.00615858352578907,1527,8,glycerol-3-phosphate dehydrogenase
R7A2020_18280,R7A2020_18280,0,3759977,3761263,-1,135,0.00547945205479452,1287,6,dihydroorotase
R7A2020_18665,R7A2020_18665,0,3840943,3841314,1,8,0.00630914826498423,372,2,hypothetical protein
R7A2020_19510,rpmD,0,4018854,4019051,-1,1,0.00588235294117647,198,1,50S ribosomal protein L30
R7A2020_20490,purQ,0,4187702,4188370,1,8,0.00526315789473684,669,3,phosphoribosylformylglycinamidine synthase subunit PurQ
R7A2020_20525,purL,0,4192358,4194589,1,225,0.00579557428872497,2232,11,phosphoribosylformylglycinamidine synthase subunit PurL
R7A2020_20585,R7A2020_20585,0,4202798,4203586,-1,14,0.00595238095238095,789,4,glutamate racemase
R7A2020_20885,R7A2020_20885,0,4265047,4265592,-1,7,0.00645161290322581,546,3,recombinase family protein
R7A2020_20920,hxsC,0,4271253,4272413,-1,46,0.0060790273556231,1161,6,His-Xaa-Ser system radical SAM maturase HxsC
R7A2020_20955,R7A2020_20955,0,4280199,4280948,-1,19,0.00626959247648903,750,4,hypothetical protein
R7A2020_21635,R7A2020_21635,0,4410038,4410403,1,3,0.00641025641025641,366,2,cupin domain-containing protein
R7A2020_22235,R7A2020_22235,0,4538686,4538895,-1,6,0.00558659217877095,210,1,cold-shock protein
R7A2020_22310,R7A2020_22310,0,4550014,4551381,1,32,0.00601374570446735,1368,7,tyrosine-protein kinase family protein
R7A2020_22760,R7A2020_22760,0,4625695,4626300,-1,62,0.00581395348837209,606,3,GcrA cell cycle regulator
