locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01260,R7A2020_01260,0,273619,273894,-1,2,0.00423728813559322,276,1,exopolysaccharide production repressor exox
R7A2020_01935,R7A2020_01935,0,424750,425046,1,1,0.00393700787401575,297,1,HPr family phosphocarrier protein
R7A2020_01950,tsaE,0,429386,430897,1,17,0.00388802488335925,1512,5,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_03160,R7A2020_03160,0,660869,661696,1,7,0.00425531914893617,828,3,ferredoxin--NADP reductase
R7A2020_03480,R7A2020_03480,0,733356,734177,-1,9,0.00429184549356223,822,3,4-hydroxy-tetrahydrodipicolinate reductase
R7A2020_03875,R7A2020_03875,0,806295,807593,1,7,0.00361663652802893,1299,4,ATP-binding protein
R7A2020_04770,R7A2020_04770,0,989204,990610,1,10,0.00417710944026733,1407,5,dihydrolipoyl dehydrogenase
R7A2020_05600,R7A2020_05600,0,1157669,1158229,1,4,0.00419287211740042,561,2,F0F1 ATP synthase subunit delta
R7A2020_07565,R7A2020_07565,0,1542543,1543607,-1,6,0.0033112582781457,1065,3,DUF2125 domain-containing protein
R7A2020_07615,ftsE,0,1550976,1551635,-1,3,0.0035650623885918,660,2,cell division ATP-binding protein FtsE
R7A2020_07960,ptsP,0,1618546,1620816,1,20,0.00362506473329881,2271,7,phosphoenolpyruvate--protein phosphotransferase
R7A2020_08315,phnD,0,1694060,1694968,-1,16,0.00387596899224806,909,3,phosphonate ABC transporter substrate-binding protein
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,9,0.00352733686067019,666,2,hypothetical protein
R7A2020_08825,grpE,0,1816867,1817499,1,13,0.00371057513914657,633,2,nucleotide exchange factor GrpE
R7A2020_08905,R7A2020_08905,0,1830513,1831226,1,4,0.00328947368421053,714,2,LPS export ABC transporter periplasmic protein LptC
R7A2020_09175,R7A2020_09175,0,1877352,1879175,-1,7,0.00322372662798195,1824,5,RNA-directed DNA polymerase
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,5,0.00366300366300366,642,2,hypothetical protein
R7A2020_09885,R7A2020_09885,0,2024193,2024504,-1,2,0.0037593984962406,312,1,hypothetical protein
