locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00335,R7A2020_00335,0,68544,69191,1,297,0.0144927536231884,648,8,cytochrome c family protein
R7A2020_00420,R7A2020_00420,0,85854,86402,1,641,0.0170940170940171,549,8,hypothetical protein
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,176,0.0148514851485149,474,6,DUF805 domain-containing protein
R7A2020_01885,R7A2020_01885,0,414391,414594,-1,20,0.0172413793103448,204,3,DUF680 domain-containing protein
R7A2020_02025,R7A2020_02025,0,446090,446848,-1,653,0.0139103554868624,759,9,M48 family metallopeptidase
R7A2020_02060,rplT,0,451560,451961,1,1068,0.0146198830409357,402,5,50S ribosomal protein L20
R7A2020_03000,R7A2020_03000,0,628989,629723,1,222,0.0159744408945687,735,10,TetR/AcrR family transcriptional regulator
R7A2020_03030,rpmH,0,634401,634535,-1,35,0.0172413793103448,135,2,50S ribosomal protein L34
R7A2020_03050,R7A2020_03050,0,637401,637703,1,44,0.0155038759689922,303,4,hypothetical protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,451,0.0168067226890756,558,8,hypothetical protein
R7A2020_03470,R7A2020_03470,0,732469,732553,-1,4,0.0136986301369863,85,1,
R7A2020_04085,mnmE,0,848527,849858,1,1082,0.0167696381288614,1332,19,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
R7A2020_04495,R7A2020_04495,0,937852,938319,-1,201,0.0175438596491228,468,7,hypothetical protein
R7A2020_04810,rplS,0,996300,996845,1,756,0.0150537634408602,546,7,50S ribosomal protein L19
R7A2020_05285,R7A2020_05285,0,1087192,1087267,-1,36,0.0151515151515152,76,1,
R7A2020_05525,R7A2020_05525,0,1138872,1139144,1,200,0.0171673819742489,273,4,aspartate-semialdehyde dehydrogenase
R7A2020_06095,ruvC,0,1251708,1252217,1,94,0.0138248847926267,510,6,crossover junction endodeoxyribonuclease RuvC
R7A2020_06100,R7A2020_06100,0,1252274,1252543,1,756,0.0173913043478261,270,4,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
