locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_07960,ptsP,0,1618546,1620816,1,9,0.000517866390471258,2271,1,phosphoenolpyruvate--protein phosphotransferase
R7A2020_09725,R7A2020_09725,0,1994951,1996822,1,13,0.000628140703517588,1872,1,DUF882 domain-containing protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,3,0.000728332119446468,1614,1,hypothetical protein
R7A2020_15385,R7A2020_15385,0,3141070,3142836,-1,4,0.000665335994677312,1767,1,AAA family ATPase
R7A2020_15875,cobG,0,3236240,3237736,-1,3,0.000784929356357928,1497,1,precorrin-3B synthase
R7A2020_18170,glpD,0,3736325,3737851,1,3,0.000769822940723634,1527,1,glycerol-3-phosphate dehydrogenase
R7A2020_20930,R7A2020_20930,0,4274611,4276290,-1,11,0.000700280112044818,1680,1,RecQ family ATP-dependent DNA helicase
R7A2020_22320,ppx,0,4553009,4554544,-1,2,0.000765110941086458,1536,1,exopolyphosphatase
R7A2020_24060,R7A2020_24060,0,4875049,4876797,-1,2,0.000672043010752688,1749,1,PAS domain-containing sensor histidine kinase
R7A2020_24310,R7A2020_24310,0,4930602,4932230,-1,6,0.000721500721500722,1629,1,alpha-D-glucose phosphate-specific phosphoglucomutase
R7A2020_24785,dxs,0,5036412,5038325,-1,2,0.000614250614250614,1914,1,1-deoxy-D-xylulose-5-phosphate synthase
R7A2020_25310,R7A2020_25310,0,5138166,5140160,-1,4,0.000589275191514437,1995,1,methyltransferase domain-containing protein
R7A2020_27005,R7A2020_27005,0,5506579,5508144,1,13,0.000750750750750751,1566,1,exodeoxyribonuclease VII large subunit
R7A2020_29220,R7A2020_29220,0,6009350,6011362,-1,1,0.00058411214953271,2013,1,AAA family ATPase
R7A2020_30445,R7A2020_30445,0,6282530,6284017,-1,6,0.000789889415481833,1488,1,ABC transporter substrate-binding protein
R7A2020_30480,asnB,0,6291540,6293432,-1,4,0.00062111801242236,1893,1,asparagine synthase (glutamine-hydrolyzing)
R7A2020_30605,nifA,0,6317416,6319176,1,4,0.000668002672010688,1761,1,nif-specific transcriptional activator NifA
R7A2020_30910,R7A2020_30910,0,6380415,6382190,-1,6,0.000661813368630046,1776,1,hypothetical protein
