locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,111,0.0190217391304348,432,7,transcriptional repressor
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,52,0.0201342281879195,174,3,hypothetical protein
R7A2020_01950,tsaE,0,429386,430897,1,884,0.02099533437014,1512,27,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02850,truA,0,602637,603383,1,382,0.0188679245283019,747,12,tRNA pseudouridine(38-40) synthase TruA
R7A2020_04870,sdhD,0,1006919,1007317,1,211,0.0205278592375367,399,7,succinate dehydrogenase, hydrophobic membrane anchor protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,97,0.0173267326732673,474,7,hypothetical protein
R7A2020_05620,R7A2020_05620,0,1162426,1162833,1,229,0.0201149425287356,408,7,F0F1 ATP synthase subunit epsilon
R7A2020_05700,R7A2020_05700,0,1179211,1180347,1,735,0.0216942148760331,1137,21,glutamate 5-kinase
R7A2020_05935,R7A2020_05935,0,1224064,1224888,1,257,0.0185185185185185,825,13,YmdB family metallophosphoesterase
R7A2020_06055,R7A2020_06055,0,1245435,1246082,-1,212,0.0181159420289855,648,10,thiamine phosphate synthase
R7A2020_06095,ruvC,0,1251708,1252217,1,205,0.0207373271889401,510,9,crossover junction endodeoxyribonuclease RuvC
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,166,0.0199530516431925,1002,17,DUF4034 domain-containing protein
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,203,0.0183150183150183,642,10,hypothetical protein
R7A2020_07950,R7A2020_07950,0,1616950,1617201,-1,60,0.0186046511627907,252,4,hypothetical protein
R7A2020_08015,R7A2020_08015,0,1634058,1635546,1,294,0.0197316495659037,1489,25,
R7A2020_08055,R7A2020_08055,0,1641568,1643056,1,278,0.0173638516179953,1489,22,
