locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01885,R7A2020_01885,0,414391,414594,-1,7,0.0114942528735632,204,2,DUF680 domain-containing protein
R7A2020_03500,R7A2020_03500,0,738630,739529,-1,35,0.0104575163398693,900,8,SDR family oxidoreductase
R7A2020_03510,R7A2020_03510,0,740661,741353,-1,53,0.0101694915254237,693,6,glutathione S-transferase family protein
R7A2020_03905,R7A2020_03905,0,812791,813132,1,40,0.0103092783505155,342,3,hypothetical protein
R7A2020_04655,R7A2020_04655,0,967171,967377,1,16,0.0112994350282486,207,2,4-oxalocrotonate tautomerase family protein
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,8,0.0099009900990099,474,4,hypothetical protein
R7A2020_05985,rpmE,0,1230702,1230923,-1,25,0.0105820105820106,222,2,50S ribosomal protein L31
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,32,0.0114942528735632,204,2,YdcH family protein
R7A2020_06705,gap,0,1368052,1369062,-1,17,0.0104651162790698,1011,9,type I glyceraldehyde-3-phosphate dehydrogenase
R7A2020_07150,R7A2020_07150,0,1457929,1459257,1,84,0.0114942528735632,1329,13,homoserine dehydrogenase
R7A2020_07615,ftsE,0,1550976,1551635,-1,44,0.0106951871657754,660,6,cell division ATP-binding protein FtsE
R7A2020_08015,R7A2020_08015,0,1634058,1635546,1,26,0.0102604577742699,1489,13,
R7A2020_08055,R7A2020_08055,0,1641568,1643056,1,30,0.0102604577742699,1489,13,
R7A2020_08075,rrf,0,1646973,1647087,1,1,0.0101010101010101,115,1,
R7A2020_11625,R7A2020_11625,0,2372075,2373439,-1,84,0.0111972437553833,1365,13,Nramp family divalent metal transporter
R7A2020_12165,R7A2020_12165,0,2490377,2491276,-1,19,0.0104575163398693,900,8,hypothetical protein
R7A2020_12915,R7A2020_12915,0,2638794,2639099,-1,15,0.0114942528735632,306,3,helix-turn-helix transcriptional regulator
R7A2020_17520,gcvT,0,3589483,3590583,-1,16,0.0106837606837607,1101,10,glycine cleavage system aminomethyltransferase GcvT
R7A2020_17865,R7A2020_17865,0,3675765,3676085,1,10,0.010989010989011,321,3,(2Fe-2S)-binding protein
R7A2020_20910,R7A2020_20910,0,4269828,4270340,-1,24,0.011441647597254,513,5,hypothetical protein
R7A2020_20960,R7A2020_20960,0,4280948,4281262,-1,40,0.0111524163568773,315,3,helix-turn-helix domain-containing protein
R7A2020_22820,R7A2020_22820,0,4632509,4633021,1,23,0.011441647597254,513,5,hypothetical protein
R7A2020_23010,R7A2020_23010,0,4665211,4665414,-1,10,0.0114942528735632,204,2,hypothetical protein
R7A2020_24720,R7A2020_24720,0,5022718,5023662,-1,73,0.0111940298507463,945,9,protoheme IX farnesyltransferase
R7A2020_25315,R7A2020_25315,0,5140157,5140720,-1,10,0.0104166666666667,564,5,pseudogene
R7A2020_29370,R7A2020_29370,0,6047579,6047683,1,1,0.0111111111111111,105,1,pseudogene
R7A2020_31150,R7A2020_31150,0,6441144,6441494,1,6,0.0100334448160535,351,3,DUF952 domain-containing protein
R7A2020_31300,phoU,0,6473704,6474426,-1,53,0.00975609756097561,723,6,phosphate signaling complex protein PhoU
