locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,38,0.0112781954887218,312,3,(2Fe-2S)-binding protein
R7A2020_00425,R7A2020_00425,0,86399,86854,1,7,0.0102827763496144,456,4,periplasmic heavy metal sensor
R7A2020_01875,R7A2020_01875,0,413796,414047,-1,7,0.00930232558139535,252,2,DUF680 domain-containing protein
R7A2020_01950,tsaE,0,429386,430897,1,112,0.0101088646967341,1512,13,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02370,R7A2020_02370,0,512880,513098,1,6,0.0106382978723404,219,2,DUF3329 domain-containing protein
R7A2020_03775,R7A2020_03775,0,787843,788067,1,13,0.0104166666666667,225,2,hypothetical protein
R7A2020_03880,R7A2020_03880,0,807772,808245,1,5,0.0099009900990099,474,4,RloB domain-containing protein
R7A2020_04705,R7A2020_04705,0,975967,976506,1,16,0.0108932461873638,540,5,AprI/Inh family metalloprotease inhibitor
R7A2020_04810,rplS,0,996300,996845,1,52,0.010752688172043,546,5,50S ribosomal protein L19
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,88,0.0103761348897536,906,8,anti-sigma factor
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,1,0.0111111111111111,105,1,pseudogene
R7A2020_06840,xylF,0,1394321,1395361,1,66,0.0112994350282486,1041,10,D-xylose ABC transporter substrate-binding protein
R7A2020_08540,R7A2020_08540,0,1746005,1746259,1,19,0.00917431192660551,255,2,GlsB/YeaQ/YmgE family stress response membrane protein
R7A2020_08780,cobA,0,1807799,1809250,1,104,0.0097165991902834,1452,12,uroporphyrinogen-III C-methyltransferase
R7A2020_09880,R7A2020_09880,0,2023433,2024074,1,21,0.00915750915750916,642,5,hypothetical protein
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,18,0.00975609756097561,723,6,aminoacyl-tRNA hydrolase
R7A2020_11050,R7A2020_11050,0,2259964,2260317,-1,47,0.00993377483443709,354,3,hypothetical protein
