locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,2,0.00180505415162455,651,1,RNA-binding protein
R7A2020_03005,R7A2020_03005,0,629720,630379,-1,1,0.0017825311942959,660,1,YihA family ribosome biogenesis GTP-binding protein
R7A2020_03885,lepA,0,808294,810099,-1,21,0.001953125,1806,3,elongation factor 4
R7A2020_04040,dnaQ,0,838929,839651,-1,10,0.0016260162601626,723,1,DNA polymerase III subunit epsilon
R7A2020_04795,rimM,0,993945,994544,1,1,0.00196078431372549,600,1,ribosome maturation factor RimM
R7A2020_06235,R7A2020_06235,0,1282165,1282809,-1,4,0.00182149362477231,645,1,thiamine diphosphokinase
R7A2020_06280,R7A2020_06280,0,1292071,1292652,-1,2,0.00202020202020202,582,1,CarD family transcriptional regulator
R7A2020_06645,R7A2020_06645,0,1357202,1357894,1,1,0.00169491525423729,693,1,DUF1013 domain-containing protein
R7A2020_07410,R7A2020_07410,0,1514208,1515344,1,5,0.00206611570247934,1137,2,3-dehydroquinate synthase
R7A2020_07540,metW,0,1537366,1537980,-1,4,0.00190839694656489,615,1,methionine biosynthesis protein MetW
R7A2020_07665,lysA,0,1560167,1561435,-1,3,0.00185185185185185,1269,2,diaminopimelate decarboxylase
R7A2020_08030,R7A2020_08030,0,1636457,1639312,1,9,0.00205846027171676,2856,5,
R7A2020_08070,R7A2020_08070,0,1643967,1646822,1,13,0.00205846027171676,2856,5,
R7A2020_11405,R7A2020_11405,0,2330257,2330829,1,1,0.00204918032786885,573,1,SIS domain-containing protein
R7A2020_11625,R7A2020_11625,0,2372075,2373439,-1,2,0.00172265288544358,1365,2,Nramp family divalent metal transporter
R7A2020_13350,R7A2020_13350,0,2720553,2721164,-1,11,0.00191938579654511,612,1,hypothetical protein
R7A2020_14435,R7A2020_14435,0,2931551,2932246,1,1,0.00168634064080944,696,1,isoprenylcysteine carboxylmethyltransferase family protein
R7A2020_15950,R7A2020_15950,0,3254334,3254954,1,1,0.00189393939393939,621,1,NADH-quinone oxidoreductase subunit J
R7A2020_16025,lipB,0,3271093,3271836,-1,1,0.00157977883096367,744,1,lipoyl(octanoyl) transferase LipB
R7A2020_18275,plsY,0,3759333,3759920,-1,1,0.00199600798403194,588,1,glycerol-3-phosphate 1-O-acyltransferase PlsY
R7A2020_18375,clpA,0,3776542,3779010,1,16,0.0019047619047619,2469,4,ATP-dependent Clp protease ATP-binding subunit ClpA
R7A2020_18510,lexA,0,3805802,3806539,-1,1,0.00158982511923688,738,1,transcriptional repressor LexA
R7A2020_18930,R7A2020_18930,0,3899616,3900254,1,3,0.0018348623853211,639,1,DUF2059 domain-containing protein
R7A2020_19110,R7A2020_19110,0,3937160,3937738,-1,6,0.00202429149797571,579,1,NAD(P)H-dependent oxidoreductase
R7A2020_20025,R7A2020_20025,0,4108484,4109116,1,1,0.00185528756957328,633,1,PAS domain-containing protein
R7A2020_20665,sufD,0,4218075,4219343,-1,7,0.00185185185185185,1269,2,Fe-S cluster assembly protein SufD
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,2,0.00196270853778214,1197,2,SAVED domain-containing protein
R7A2020_20920,hxsC,0,4271253,4272413,-1,4,0.00202634245187437,1161,2,His-Xaa-Ser system radical SAM maturase HxsC
R7A2020_21440,R7A2020_21440,0,4372404,4373051,1,15,0.00181159420289855,648,1,dihydrofolate reductase
R7A2020_21710,R7A2020_21710,0,4426059,4434656,-1,29,0.00150478796169631,8598,11,protein ndvB
R7A2020_21955,efp,0,4483773,4484339,1,3,0.0020703933747412,567,1,elongation factor P
R7A2020_22340,R7A2020_22340,0,4558550,4559176,-1,1,0.00187265917602996,627,1,hypothetical protein
R7A2020_22420,R7A2020_22420,0,4573876,4574460,1,1,0.00200803212851406,585,1,TetR/AcrR family transcriptional regulator
R7A2020_22480,R7A2020_22480,0,4583989,4584753,1,3,0.00153609831029186,765,1,hypothetical protein
R7A2020_23080,R7A2020_23080,0,4676257,4676913,1,2,0.00178571428571429,657,1,porin family protein
R7A2020_24060,R7A2020_24060,0,4875049,4876797,-1,10,0.00201612903225806,1749,3,PAS domain-containing sensor histidine kinase
R7A2020_24445,R7A2020_24445,0,4966287,4968200,-1,12,0.00184275184275184,1914,3,hypothetical protein
R7A2020_24475,R7A2020_24475,0,4974095,4975822,-1,13,0.00204081632653061,1728,3,hypothetical protein
R7A2020_28105,R7A2020_28105,0,5751197,5751894,1,6,0.00168067226890756,698,1,pseudogene
R7A2020_28785,R7A2020_28785,0,5908012,5909943,-1,15,0.00182592818015825,1932,3,hypothetical protein
R7A2020_29010,R7A2020_29010,0,5956218,5956931,-1,9,0.00164473684210526,714,1,type IV secretion system protein VirB8
R7A2020_29315,R7A2020_29315,0,6037120,6037697,1,6,0.00202839756592292,578,1,pseudogene
R7A2020_29335,R7A2020_29335,0,6040842,6041963,-1,2,0.00209643605870021,1122,2,acyltransferase family protein
R7A2020_29405,nodA,0,6055595,6056191,-1,2,0.00196463654223969,597,1,NodA family N-acyltransferase
R7A2020_29465,R7A2020_29465,0,6071336,6072067,-1,1,0.00160513643659711,732,1,hypothetical protein
R7A2020_29840,R7A2020_29840,0,6155298,6156434,-1,5,0.00206611570247934,1137,2,aminopeptidase P family protein
R7A2020_29975,R7A2020_29975,0,6181837,6182973,-1,11,0.00206611570247934,1137,2,aminopeptidase P family protein
R7A2020_30060,R7A2020_30060,0,6203795,6204538,-1,2,0.00157977883096367,744,1,amino acid ABC transporter ATP-binding protein
R7A2020_30080,R7A2020_30080,0,6209326,6210555,-1,4,0.00191204588910134,1230,2,glycine C-acetyltransferase
R7A2020_30100,R7A2020_30100,0,6213111,6214268,-1,2,0.00202839756592292,1158,2,M24 family metallopeptidase
R7A2020_30255,R7A2020_30255,0,6244933,6245712,-1,4,0.00150829562594268,780,1,phytanoyl-CoA dioxygenase family protein
R7A2020_30415,phnH,0,6277133,6277738,-1,2,0.00193798449612403,606,1,phosphonate C-P lyase system protein PhnH
R7A2020_30430,R7A2020_30430,0,6279198,6280397,-1,20,0.00196078431372549,1200,2,alkaline phosphatase family protein
R7A2020_30445,R7A2020_30445,0,6282530,6284017,-1,3,0.00157977883096367,1488,2,ABC transporter substrate-binding protein
R7A2020_30910,R7A2020_30910,0,6380415,6382190,-1,7,0.00198544010589014,1776,3,hypothetical protein
