locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,49,0.0113519091847265,1140,11,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,78,0.0234009360374415,753,15,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,25,0.0221130221130221,477,9,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,100,0.0199530516431925,1002,17,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,24,0.0210843373493976,390,7,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,3,0.00271739130434783,432,1,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,33,0.010233918128655,804,7,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,74,0.0144596651445967,1545,19,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,95,0.0232558139534884,1011,20,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,64,0.0182403433476395,1095,17,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,52,0.00840336134453781,978,7,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,19,0.0154241645244216,456,6,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,2,0.0036101083032491,651,2,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,9,0.00147275405007364,1596,2,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,1,0.00181159420289855,648,1,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,9,0.0212765957446809,165,3,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,88,0.0234505862646566,702,14,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,3,0.00560224089635854,420,2,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,66,0.0140221402214022,1593,19,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,116,0.0373134328358209,945,30,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,112,0.0246913580246914,762,16,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,87,0.0349127182044888,471,14,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,144,0.0283533260632497,1077,26,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,4,0.00704225352112676,501,3,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,112,0.0201567749160134,1050,18,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,88,0.0266889074228524,1410,32,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,76,0.0249632892804699,801,17,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,26,0.0118483412322275,495,5,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,103,0.0234291799787007,1104,22,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,112,0.0228758169934641,1080,21,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,61,0.0124816446402349,1602,17,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,41,0.0241545893719807,486,10,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,25,0.037593984962406,312,10,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,90,0.0136736554238833,1290,15,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,97,0.0211397058823529,1278,23,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,95,0.0206398348813209,1140,20,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,223,0.0428100987925357,1071,39,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,361,0.0272971933871588,3060,71,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,40,0.0157232704402516,747,10,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,69,0.0168302945301543,837,12,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,84,0.0191570881226054,921,15,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,75,0.0210409745293466,1062,19,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,79,0.011444921316166,1644,16,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,68,0.0178907721280603,1248,19,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,89,0.0290697674418605,606,15,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,87,0.0223004694835681,1002,19,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,10,0.014367816091954,408,5,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,17,0.0253623188405797,324,7,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
