locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
R7A2020_00005	dnaA	0	1	1545	1	0	0	1545	0	"chromosomal replication initiator protein DnaA"
R7A2020_00010	R7A2020_00010	0	1851	2969	1	0	0	1119	0	"DNA polymerase III subunit beta"
R7A2020_00015	recF	0	3053	4192	1	1854	0.0412796697626419	1140	40	"DNA replication/repair protein RecF"
R7A2020_00020	R7A2020_00020	0	4224	4976	1	1031	0.0499219968798752	753	32	"molybdopterin-synthase adenylyltransferase MoeB"
R7A2020_00025	R7A2020_00025	0	4991	5467	1	632	0.0417690417690418	477	17	"GNAT family N-acetyltransferase"
R7A2020_00030	R7A2020_00030	0	5518	6519	-1	1512	0.0504694835680751	1002	43	"D-glycerate dehydrogenase"
R7A2020_00035	R7A2020_00035	0	6668	7228	1	11	0.00209643605870021	561	1	"hypothetical protein"
R7A2020_00040	R7A2020_00040	0	7218	7607	-1	327	0.0391566265060241	390	13	"DUF4260 domain-containing protein"
R7A2020_00045	R7A2020_00045	0	7664	8095	-1	267	0.0271739130434783	432	10	"transcriptional repressor"
R7A2020_00050	fabA	0	8338	8853	1	0	0	516	0	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA"
R7A2020_00055	fabB	0	8903	10123	1	0	0	1221	0	"beta-ketoacyl-ACP synthase I"
R7A2020_00060	fabI	0	10155	10958	1	937	0.0497076023391813	804	34	"enoyl-ACP reductase FabI"
R7A2020_00065	R7A2020_00065	0	11114	12658	1	1385	0.0365296803652968	1545	48	"bifunctional diguanylate cyclase/phosphodiesterase"
R7A2020_00070	R7A2020_00070	0	12664	13674	-1	470	0.0244186046511628	1011	21	"class I SAM-dependent methyltransferase"
R7A2020_00075	pnp	0	13800	15947	-1	78	0.000547345374931582	2148	1	"polyribonucleotide nucleotidyltransferase"
R7A2020_00080	rpsO	0	16357	16626	-1	0	0	270	0	"30S ribosomal protein S15"
R7A2020_00085	corA	0	16808	17902	-1	1162	0.0343347639484979	1095	32	"magnesium/cobalt transporter CorA"
R7A2020_00090	truB	0	17947	18924	-1	833	0.0324129651860744	978	27	"tRNA pseudouridine(55) synthase TruB"
R7A2020_00095	rbfA	0	18924	19379	-1	649	0.0411311053984576	456	16	"30S ribosome-binding factor RbfA"
R7A2020_00100	infB	0	19554	22136	-1	0	0	2583	0	"translation initiation factor IF-2"
R7A2020_00105	R7A2020_00105	0	22133	22783	-1	84	0.0072202166064982	651	4	"RNA-binding protein"
R7A2020_00110	nusA	0	22822	24417	-1	93	0.00368188512518409	1596	5	"transcription termination/antitermination protein NusA"
R7A2020_00115	rimP	0	24467	25114	-1	27	0.0036231884057971	648	2	"ribosome maturation factor RimP"
R7A2020_00120	R7A2020_00120	0	25401	25565	1	148	0.0567375886524823	165	8	"hypothetical protein"
R7A2020_00125	trmB	0	25589	26290	-1	1610	0.0485762144053601	702	29	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
R7A2020_00130	R7A2020_00130	0	26316	27581	-1	0	0	1266	0	"methionine adenosyltransferase"
R7A2020_00135	R7A2020_00135	0	27750	28169	-1	72	0.0140056022408964	420	5	"helix-turn-helix transcriptional regulator"
R7A2020_00140	lnt	0	28308	29900	-1	1201	0.0324723247232472	1593	44	"apolipoprotein N-acyltransferase"
R7A2020_00145	R7A2020_00145	0	30081	31025	-1	1260	0.0609452736318408	945	49	"LysR family transcriptional regulator"
R7A2020_00150	R7A2020_00150	0	31126	31887	1	1461	0.0509259259259259	762	33	"SDR family oxidoreductase"
R7A2020_00155	R7A2020_00155	0	31913	32383	-1	708	0.0473815461346633	471	19	glyoxalase
R7A2020_00160	R7A2020_00160	0	32397	33473	-1	1238	0.0490730643402399	1077	45	"HlyC/CorC family transporter"
R7A2020_00165	ybeY	0	33501	34001	-1	132	0.0140845070422535	501	6	"rRNA maturation RNase YbeY"
R7A2020_00170	R7A2020_00170	0	34020	35069	-1	1255	0.0470324748040314	1050	42	"PhoH family protein"
R7A2020_00175	miaB	0	35096	36505	-1	2150	0.0408673894912427	1410	49	"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB"
R7A2020_00180	R7A2020_00180	0	36582	37382	-1	448	0.0249632892804699	801	17	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
R7A2020_00185	rimI	0	37410	37904	-1	569	0.0402843601895735	495	17	"ribosomal protein S18-alanine N-acetyltransferase"
R7A2020_00190	tsaB	0	37904	38581	-1	0	0	678	0	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
R7A2020_00195	R7A2020_00195	0	38678	39781	-1	989	0.0457933972310969	1104	43	"DUF1513 domain-containing protein"
R7A2020_00200	R7A2020_00200	0	39784	40863	-1	1173	0.037037037037037	1080	34	"peptidase M75, Imelysin"
R7A2020_00205	R7A2020_00205	0	40863	42464	-1	1570	0.0352422907488987	1602	48	"c-type cytochrome"
R7A2020_00210	bfr	0	42477	42962	-1	399	0.0410628019323672	486	17	bacterioferritin
R7A2020_00215	R7A2020_00215	0	42928	43239	-1	349	0.0488721804511278	312	13	"(2Fe-2S)-binding protein"
R7A2020_00220	R7A2020_00220	0	43352	44641	-1	984	0.0300820419325433	1290	33	peptidase
R7A2020_00225	R7A2020_00225	0	45077	46330	1	4	0.000937207122774133	1254	1	"FAD-dependent oxidoreductase"
R7A2020_00230	R7A2020_00230	0	46435	47712	-1	1803	0.0477941176470588	1278	52	"4-aminobutyrate--2-oxoglutarate transaminase"
R7A2020_00235	R7A2020_00235	0	47950	49089	1	1008	0.0423116615067079	1140	41	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00240	R7A2020_00240	0	49086	50156	1	1863	0.0526893523600439	1071	48	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00245	R7A2020_00245	0	50153	53212	1	5577	0.0511341791618608	3060	133	"efflux RND transporter permease subunit"
R7A2020_00250	R7A2020_00250	0	53287	54033	-1	445	0.0251572327044025	747	16	"ABC transporter ATP-binding protein"
R7A2020_00255	R7A2020_00255	0	54030	54866	-1	1686	0.0434782608695652	837	31	"ABC transporter ATP-binding protein"
R7A2020_00260	R7A2020_00260	0	54863	55783	-1	1169	0.0434227330779055	921	34	"ABC transporter permease"
R7A2020_00265	R7A2020_00265	0	55780	56841	-1	1586	0.0487264673311185	1062	44	"ABC transporter permease"
R7A2020_00270	R7A2020_00270	0	56860	58503	-1	1586	0.0400572246065808	1644	56	"ABC transporter substrate-binding protein"
R7A2020_00275	R7A2020_00275	0	58765	60012	-1	1197	0.0329566854990584	1248	35	"lytic murein transglycosylase"
R7A2020_00280	recR	0	60033	60638	-1	1188	0.060077519379845	606	31	"recombination protein RecR"
R7A2020_00285	R7A2020_00285	0	60730	61731	-1	1387	0.0551643192488263	1002	47	"cell wall hydrolase"
R7A2020_00290	R7A2020_00290	0	61961	62368	-1	426	0.0431034482758621	408	15	"hypothetical protein"
