Supplementary Table 1. GII ICESym unique genes,,,,,,,,,,,,,
prokka locus,NCBI mln locus,NCBI NZP2037 locus,Length (AA),NCBI Annotations,KEGG KO,COG,GII Unique / Divergent,,,,,,
NZP2037ICESym_00045,mln462,A9174_RS30825,294,VirB6 type IV secretion protein,,U,Divergent,,,,,,
NZP2037ICESym_00046,mln461,A9174_RS30830,226,VirB5 type IV secretion protein,,U,Divergent,,,,,,
NZP2037ICESym_00054,-,-,92,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00097,mln418,A9174_RS31070,101,putative RNA polymerase sigma-54 factor / hypothetical protein,K03092,K,Divergent,,,,,,
NZP2037ICESym_00099,-,-,45,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00101,mln414,A9174_RS31090,376,nodulation protein NolL / acetyltransferase,,Q,Divergent,,,,,,
NZP2037ICESym_00118,mln399,A9174_RS31155,404,putative glycosyltransferase,,G,Unique,,,,,,
NZP2037ICESym_00120,-,-,66,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00130,mln391,A9174_RS31195,176,conserved hypothetical protein,,S,Divergent; Truncated by IS6 Insertion ,,,,,,
NZP2037ICESym_00132,-,-,52,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00133,mln389,A9174_RS31205,393,HlyD family type I secretion periplasmic adaptor subunit,,U,Unique,,,,,,
NZP2037ICESym_00134,mln388,A9174_RS31205,718,putative bacteriocin ABC transporter / peptidase C39 / peptidase domain-containing ABC transporter,,V,Unique,,,,,,
NZP2037ICESym_00147,-,-,42,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00150,-,-,55,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00183,mln344,A9174_RS31405,740,conserved hypothetical protein / tetratricopeptide repeat protein,,S,Unique,,,,,,
NZP2037ICESym_00190,mln336,A9174_RS31435,76,RNA binding protein / hypothetical protein,,S,Unique,,,,,,
NZP2037ICESym_00191,mln335,A9174_RS31440,359,putative appr-1-p processing domain protein / hypothetical protein,,S,Unique,,,,,,
NZP2037ICESym_00192,mln334,-,146,conserved hypothetical protein,,S,-,,,,,,
NZP2037ICESym_00193,mln332,A9174_RS31450,345,IS110 family transposase,,L,Unique,,,,,,
NZP2037ICESym_00199,-,-,150,prokka unique predicted CDS,,NA,-,,,,,,
NZP2037ICESym_00200,mln327,A9174_RS31480,322,omptin family outer membrane protease,,M,Unique,,,,,,
NZP2037ICESym_00226,mln303,A9174_RS31595,69,conserved hypothetical protein,,S,Unique,,,,,,
NZP2037ICESym_00228,-,-,35,prokka unique predicted CDS,,NA,-,,,,,,
