locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,2,0.00104931794333683,1119,1,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,2204,0.0474716202270382,1140,46,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,2487,0.0655226209048362,753,42,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,601,0.0663390663390663,477,27,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,1693,0.0528169014084507,1002,45,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,1,0.00209643605870021,561,1,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,401,0.0512048192771084,390,17,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,344,0.0298913043478261,432,11,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,463,0.0190058479532164,804,13,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,2403,0.0517503805175038,1545,68,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,3062,0.0616279069767442,1011,53,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,6,0.00434782608695652,270,1,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,2724,0.0493562231759657,1095,46,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,2370,0.0456182472989196,978,38,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,1032,0.0231362467866324,456,9,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,0,0,2583,0,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,2,0.00180505415162455,651,1,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,338,0.00294550810014728,1596,4,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,6,0.0036231884057971,648,2,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,27,0.0425531914893617,165,6,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,1054,0.0636515912897822,702,38,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,50,0.0252100840336134,420,9,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,1032,0.0236162361623616,1593,32,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,1296,0.0572139303482587,945,46,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,2393,0.0648148148148148,762,42,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,928,0.0648379052369077,471,26,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,2286,0.0523446019629226,1077,48,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,103,0.00469483568075117,501,2,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,1721,0.051511758118701,1050,46,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,4272,0.0658882402001668,1410,79,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,558,0.0337738619676946,801,23,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,826,0.0545023696682464,495,23,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,3281,0.053248136315229,1104,50,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,1672,0.0457516339869281,1080,42,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,2456,0.0455212922173275,1602,62,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,549,0.0483091787439614,486,20,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,483,0.0639097744360902,312,17,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,1361,0.0437556973564266,1290,48,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,4202,0.0716911764705882,1278,78,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,2768,0.0691434468524252,1140,67,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,2118,0.0614709110867179,1071,56,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,8617,0.063437139561707,3060,165,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,1988,0.0581761006289308,747,37,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,2092,0.0561009817671809,837,40,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,1427,0.0408684546615581,921,32,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,1799,0.0609080841638981,1062,55,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,2442,0.0450643776824034,1644,63,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,1852,0.044256120527307,1248,47,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,3647,0.0833333333333333,606,43,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,1272,0.0469483568075117,1002,40,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,607,0.0488505747126437,408,17,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,832,0.0652173913043478,324,18,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
R7A2020_00310,R7A2020_00310,0,64953,65372,1,2097,0.0784313725490196,420,28,HIT domain-containing protein
R7A2020_00315,nudC,0,65444,66388,1,2349,0.0609452736318408,945,49,NAD(+) diphosphatase
R7A2020_00320,R7A2020_00320,0,66420,66725,1,53,0.0268199233716475,306,7,Dabb family protein
R7A2020_00325,R7A2020_00325,0,66722,67585,-1,0,0,864,0,prephenate dehydratase
R7A2020_00330,R7A2020_00330,0,67622,68350,-1,0,0,729,0,3-deoxy-manno-octulosonate cytidylyltransferase
R7A2020_00335,R7A2020_00335,0,68544,69191,1,416,0.016304347826087,648,9,cytochrome c family protein
R7A2020_00340,R7A2020_00340,0,69363,71240,1,534,0.0225281602002503,1878,36,ABC transporter substrate-binding protein
R7A2020_00345,R7A2020_00345,0,71240,73108,1,2130,0.0452830188679245,1869,72,ABC transporter substrate-binding protein
R7A2020_00350,R7A2020_00350,0,73139,74233,1,564,0.0107296137339056,1095,10,microcin C ABC transporter permease YejB
R7A2020_00355,R7A2020_00355,0,74233,75378,1,293,0.0174358974358974,1146,17,ABC transporter permease
R7A2020_00360,R7A2020_00360,0,75375,77006,1,1241,0.0208933717579251,1632,29,ABC transporter ATP-binding protein
R7A2020_00365,R7A2020_00365,0,77036,77977,1,1997,0.0474406991260924,942,38,glyoxylate/hydroxypyruvate reductase A
R7A2020_00370,R7A2020_00370,0,77986,78495,-1,1067,0.043778801843318,510,19,AAA family ATPase
R7A2020_00375,R7A2020_00375,0,78583,78942,-1,512,0.042483660130719,360,13,hypothetical protein
R7A2020_00380,R7A2020_00380,0,79072,79989,-1,2051,0.0626598465473146,918,49,class I SAM-dependent methyltransferase
R7A2020_00385,R7A2020_00385,0,80141,81148,1,2190,0.0536130536130536,1008,46,ligase-associated DNA damage response exonuclease
R7A2020_00390,R7A2020_00390,0,81153,82754,1,2674,0.0447870778267254,1602,61,cisplatin damage response ATP-dependent DNA ligase
R7A2020_00395,R7A2020_00395,0,82759,83904,-1,3629,0.0523076923076923,1146,51,hypothetical protein
R7A2020_00400,R7A2020_00400,0,84193,84268,1,0,0,76,0,
R7A2020_00405,R7A2020_00405,0,84419,84607,1,454,0.037037037037037,189,6,YodC family protein
R7A2020_00410,R7A2020_00410,0,84817,85254,1,624,0.0614973262032086,438,23,acid-shock protein
R7A2020_00415,R7A2020_00415,0,85279,85836,1,2639,0.092436974789916,558,44,RNA polymerase sigma factor
R7A2020_00420,R7A2020_00420,0,85854,86402,1,344,0.0256410256410256,549,12,hypothetical protein
R7A2020_00425,R7A2020_00425,0,86399,86854,1,14,0.0051413881748072,456,2,periplasmic heavy metal sensor
R7A2020_00430,R7A2020_00430,0,86964,87239,1,231,0.0466101694915254,276,11,hypothetical protein
R7A2020_00435,R7A2020_00435,0,87355,88851,1,3052,0.0518053375196232,1497,66,DUF1800 family protein
R7A2020_00440,R7A2020_00440,0,88891,90150,1,4919,0.0802987861811391,1260,86,DUF1501 domain-containing protein
R7A2020_00445,R7A2020_00445,0,90773,94174,-1,7313,0.0529045643153527,3402,153,acyl-[ACP]--phospholipid O-acyltransferase
R7A2020_00450,R7A2020_00450,0,94464,96020,-1,2261,0.0422641509433962,1557,56,indolepyruvate oxidoreductase subunit beta family protein
R7A2020_00455,R7A2020_00455,0,96013,98166,-1,4694,0.0633187772925764,2154,116,indolepyruvate ferredoxin oxidoreductase subunit alpha
R7A2020_00460,R7A2020_00460,0,98274,98756,-1,691,0.0437956204379562,483,18,MarR family transcriptional regulator
R7A2020_00465,R7A2020_00465,0,98756,100327,-1,3442,0.056095736724009,1572,75,NAD(P)/FAD-dependent oxidoreductase
R7A2020_00470,R7A2020_00470,0,100385,101176,-1,2133,0.0593471810089021,792,40,cyclase family protein
R7A2020_00475,R7A2020_00475,0,101297,102871,1,2123,0.0507462686567164,1575,68,NAD(P)/FAD-dependent oxidoreductase
R7A2020_00480,R7A2020_00480,0,102982,104511,1,1742,0.0330514988470407,1530,43,ABC transporter substrate-binding protein
R7A2020_00485,R7A2020_00485,0,104602,105609,1,1249,0.041958041958042,1008,36,ABC transporter permease
R7A2020_00490,R7A2020_00490,0,105575,106444,1,1460,0.0459459459459459,870,34,ABC transporter permease
R7A2020_00495,R7A2020_00495,0,106441,107319,1,2950,0.0667556742323097,879,50,ABC transporter ATP-binding protein
R7A2020_00500,R7A2020_00500,0,107312,108148,1,1117,0.0575035063113604,837,41,ABC transporter ATP-binding protein
R7A2020_00505,R7A2020_00505,0,108226,108825,1,1982,0.0549019607843137,600,28,glyoxalase/bleomycin resistance/dioxygenase family protein
R7A2020_00510,R7A2020_00510,0,108968,111262,1,2697,0.0435450819672131,2295,85,bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase
R7A2020_00515,R7A2020_00515,0,111259,112032,1,2113,0.0531107738998483,774,35,SDR family oxidoreductase
R7A2020_00520,R7A2020_00520,0,112026,112496,1,429,0.0498753117206983,471,20,MarR family transcriptional regulator
R7A2020_00525,R7A2020_00525,0,112493,113305,1,1783,0.046242774566474,813,32,enoyl-CoA hydratase family protein
R7A2020_00530,R7A2020_00530,0,113305,114453,1,2708,0.0511247443762781,1149,50,acyl-CoA dehydrogenase
R7A2020_00535,R7A2020_00535,0,114518,114931,1,792,0.0368271954674221,414,13,RidA family protein
R7A2020_00540,R7A2020_00540,0,114928,116022,-1,3228,0.055793991416309,1095,52,LLM class flavin-dependent oxidoreductase
R7A2020_00545,R7A2020_00545,0,116113,116907,1,1950,0.0472673559822747,795,32,HpcH/HpaI aldolase/citrate lyase family protein
R7A2020_00550,R7A2020_00550,0,117308,118105,1,2120,0.0602941176470588,798,41,amino acid ABC transporter substrate-binding protein
R7A2020_00555,R7A2020_00555,0,118257,118931,1,518,0.04,675,23,amino acid ABC transporter permease
R7A2020_00560,R7A2020_00560,0,118980,120254,1,1733,0.0359447004608295,1275,39,cysteine desulfurase-like protein
R7A2020_00565,R7A2020_00565,0,120438,121268,-1,1790,0.0551626591230552,831,39,dipeptide ABC transporter ATP-binding protein
R7A2020_00570,R7A2020_00570,0,121265,122122,-1,2360,0.0615595075239398,858,45,ABC transporter ATP-binding protein
R7A2020_00575,R7A2020_00575,0,122125,123048,-1,1623,0.0483460559796438,924,38,ABC transporter permease subunit
R7A2020_00580,R7A2020_00580,0,123050,124057,-1,731,0.0256410256410256,1008,22,ABC transporter permease subunit
R7A2020_00585,R7A2020_00585,0,124108,125700,-1,1372,0.0361623616236162,1593,49,ABC transporter substrate-binding protein
R7A2020_00590,R7A2020_00590,0,126169,128220,1,2807,0.0567335243553009,2052,99,long-chain fatty acid--CoA ligase
R7A2020_00595,R7A2020_00595,0,128393,129067,1,1062,0.0539130434782609,675,31,methyltransferase
R7A2020_00600,R7A2020_00600,0,129051,129773,-1,1177,0.0650406504065041,723,40,HAD family hydrolase
R7A2020_00605,pgi,0,129779,131422,-1,1331,0.0236051502145923,1644,33,glucose-6-phosphate isomerase
R7A2020_00610,R7A2020_00610,0,131726,133219,1,2156,0.03147128245476,1494,40,PLP-dependent aminotransferase family protein
R7A2020_00615,R7A2020_00615,0,133412,135001,1,5943,0.0798816568047337,1590,108,trimethylamine methyltransferase family protein
R7A2020_00620,R7A2020_00620,0,135044,135514,-1,616,0.0673316708229426,471,27,hypothetical protein
R7A2020_00625,chrA,0,135507,136898,-1,2737,0.0591216216216216,1392,70,chromate efflux transporter
R7A2020_00630,R7A2020_00630,0,136895,137713,-1,2007,0.0616045845272206,819,43,sulfurtransferase
R7A2020_00635,R7A2020_00635,0,137914,139719,-1,3660,0.048828125,1806,75,dihydroxy-acid dehydratase family protein
R7A2020_00640,R7A2020_00640,0,139869,140318,1,156,0.0339425587467363,450,13,carbon monoxide dehydrogenase subunit G
R7A2020_00645,R7A2020_00645,0,140334,141503,-1,1,0.00100502512562814,1170,1,Mrp/NBP35 family ATP-binding protein
R7A2020_00650,R7A2020_00650,0,141718,142095,1,688,0.0619195046439628,378,20,VOC family protein
R7A2020_00655,R7A2020_00655,0,142136,143386,-1,3490,0.0723684210526316,1251,77,sensor domain-containing diguanylate cyclase
R7A2020_00660,R7A2020_00660,0,143559,144458,1,1443,0.0718954248366013,900,55,LysR family transcriptional regulator
R7A2020_00665,R7A2020_00665,0,144594,145073,1,462,0.0367647058823529,480,15,formate dehydrogenase subunit gamma
R7A2020_00670,R7A2020_00670,0,145070,146626,1,4883,0.0618867924528302,1557,82,NADH-quinone oxidoreductase subunit NuoF
R7A2020_00675,fdhF,0,146637,149549,1,6611,0.0589422688736375,2913,146,formate dehydrogenase subunit alpha
R7A2020_00680,fdhD,0,149552,150382,1,466,0.0282885431400283,831,20,formate dehydrogenase accessory sulfurtransferase FdhD
R7A2020_00685,R7A2020_00685,0,150372,150680,1,407,0.0303030303030303,309,8,formate dehydrogenase subunit delta
R7A2020_00690,R7A2020_00690,0,150795,152348,1,2938,0.0537065052950076,1554,71,alpha/beta fold hydrolase
R7A2020_00695,R7A2020_00695,0,152457,152936,1,589,0.0465686274509804,480,19,carboxymuconolactone decarboxylase family protein
R7A2020_00700,R7A2020_00700,0,153021,153383,1,575,0.0420711974110032,363,13,nuclear transport factor 2 family protein
R7A2020_00705,R7A2020_00705,0,153421,153735,1,553,0.0483271375464684,315,13,hypothetical protein
R7A2020_00710,R7A2020_00710,0,153917,155344,-1,1891,0.0452674897119342,1428,55,gamma-aminobutyraldehyde dehydrogenase
R7A2020_00715,R7A2020_00715,0,155371,156186,-1,1077,0.0503597122302158,816,35,ABC transporter permease
R7A2020_00720,R7A2020_00720,0,156176,157144,-1,800,0.0303030303030303,969,25,ABC transporter permease
R7A2020_00725,R7A2020_00725,0,157141,158139,-1,1698,0.0599294947121034,999,51,ABC transporter ATP-binding protein
R7A2020_00730,R7A2020_00730,0,158314,159468,-1,2565,0.0661241098677518,1155,65,ABC transporter substrate-binding protein
R7A2020_00735,R7A2020_00735,0,159682,160527,-1,1812,0.0444444444444444,846,32,class I SAM-dependent methyltransferase
R7A2020_00740,R7A2020_00740,0,160604,161086,1,1040,0.0462287104622871,483,19,helix-turn-helix domain-containing protein
R7A2020_00745,R7A2020_00745,0,161093,161998,-1,3160,0.0544747081712062,906,42,LysR family transcriptional regulator
R7A2020_00750,R7A2020_00750,0,162073,162690,-1,549,0.0417457305502846,618,22,DedA family protein
R7A2020_00755,R7A2020_00755,0,162687,163286,-1,982,0.0568627450980392,600,29,phospholipid methyltransferase
R7A2020_00760,R7A2020_00760,0,163575,164249,1,559,0.0504347826086957,675,29,response regulator transcription factor
R7A2020_00765,R7A2020_00765,0,164260,165621,1,2248,0.0440414507772021,1362,51,HAMP domain-containing histidine kinase
R7A2020_00770,R7A2020_00770,0,165695,166471,-1,1511,0.0528700906344411,777,35,DeoR/GlpR transcriptional regulator
R7A2020_00775,R7A2020_00775,0,166898,167785,1,1503,0.0582010582010582,888,44,phosphotransferase family protein
R7A2020_00780,R7A2020_00780,0,167782,170235,1,3630,0.0436032582654528,2454,91,FAD-dependent oxidoreductase
R7A2020_00785,R7A2020_00785,0,170232,170864,-1,1094,0.0333951762523191,633,18,class I SAM-dependent methyltransferase
R7A2020_00790,R7A2020_00790,0,170968,171870,1,962,0.046875,903,36,phosphotransferase family protein
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,41,0.00742574257425743,474,3,DUF805 domain-containing protein
R7A2020_00800,R7A2020_00800,0,172642,173565,-1,1120,0.0521628498727735,924,41,DMT family transporter
R7A2020_00805,R7A2020_00805,0,173673,174953,-1,2661,0.0505050505050505,1281,55,amidohydrolase family protein
R7A2020_00810,R7A2020_00810,0,175106,176860,1,4498,0.0549229738780978,1755,82,ABC transporter ATP-binding protein
R7A2020_00815,ilvD,0,176905,178749,-1,1891,0.0363288718929254,1845,57,dihydroxy-acid dehydratase
R7A2020_00820,R7A2020_00820,0,178946,179290,1,135,0.0272108843537415,345,8,winged helix-turn-helix transcriptional regulator
R7A2020_00825,R7A2020_00825,0,179310,179894,1,1023,0.0582329317269076,585,29,SRPBCC family protein
R7A2020_00830,R7A2020_00830,0,179942,180412,1,725,0.0523690773067332,471,21,VOC family protein
R7A2020_00835,R7A2020_00835,0,180463,182055,-1,1422,0.0236162361623616,1593,32,peptide chain release factor 3
R7A2020_00840,R7A2020_00840,0,182154,183083,-1,1622,0.0632111251580278,930,50,haloalkane dehalogenase
R7A2020_00845,R7A2020_00845,0,183080,183673,-1,261,0.0197628458498024,594,10,TetR family transcriptional regulator
R7A2020_00850,R7A2020_00850,0,183801,184868,1,3424,0.0682068206820682,1068,62,FAD-binding oxidoreductase
R7A2020_00855,R7A2020_00855,0,184862,186235,-1,2554,0.0530367835757057,1374,62,amidase
R7A2020_00860,R7A2020_00860,0,186396,187196,-1,1646,0.0425844346549192,801,29,class II glutamine amidotransferase
