locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
R7A2020_00005	dnaA	0	1	1545	1	0	0	1545	0	"chromosomal replication initiator protein DnaA"
R7A2020_00010	R7A2020_00010	0	1851	2969	1	0	0	1119	0	"DNA polymerase III subunit beta"
R7A2020_00015	recF	0	3053	4192	1	1254	0.0423116615067079	1140	41	"DNA replication/repair protein RecF"
R7A2020_00020	R7A2020_00020	0	4224	4976	1	891	0.0390015600624025	753	25	"molybdopterin-synthase adenylyltransferase MoeB"
R7A2020_00025	R7A2020_00025	0	4991	5467	1	424	0.0417690417690418	477	17	"GNAT family N-acetyltransferase"
R7A2020_00030	R7A2020_00030	0	5518	6519	-1	1271	0.0516431924882629	1002	44	"D-glycerate dehydrogenase"
R7A2020_00035	R7A2020_00035	0	6668	7228	1	0	0	561	0	"hypothetical protein"
R7A2020_00040	R7A2020_00040	0	7218	7607	-1	362	0.0271084337349398	390	9	"DUF4260 domain-containing protein"
R7A2020_00045	R7A2020_00045	0	7664	8095	-1	50	0.00815217391304348	432	3	"transcriptional repressor"
R7A2020_00050	fabA	0	8338	8853	1	0	0	516	0	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA"
R7A2020_00055	fabB	0	8903	10123	1	0	0	1221	0	"beta-ketoacyl-ACP synthase I"
R7A2020_00060	fabI	0	10155	10958	1	836	0.0453216374269006	804	31	"enoyl-ACP reductase FabI"
R7A2020_00065	R7A2020_00065	0	11114	12658	1	1253	0.04337899543379	1545	57	"bifunctional diguanylate cyclase/phosphodiesterase"
R7A2020_00070	R7A2020_00070	0	12664	13674	-1	1750	0.0523255813953488	1011	45	"class I SAM-dependent methyltransferase"
R7A2020_00075	pnp	0	13800	15947	-1	4	0.000547345374931582	2148	1	"polyribonucleotide nucleotidyltransferase"
R7A2020_00080	rpsO	0	16357	16626	-1	0	0	270	0	"30S ribosomal protein S15"
R7A2020_00085	corA	0	16808	17902	-1	1162	0.0343347639484979	1095	32	"magnesium/cobalt transporter CorA"
R7A2020_00090	truB	0	17947	18924	-1	879	0.0276110444177671	978	23	"tRNA pseudouridine(55) synthase TruB"
R7A2020_00095	rbfA	0	18924	19379	-1	429	0.0308483290488432	456	12	"30S ribosome-binding factor RbfA"
R7A2020_00100	infB	0	19554	22136	-1	0	0	2583	0	"translation initiation factor IF-2"
R7A2020_00105	R7A2020_00105	0	22133	22783	-1	116	0.00541516245487365	651	3	"RNA-binding protein"
R7A2020_00110	nusA	0	22822	24417	-1	415	0.00441826215022091	1596	6	"transcription termination/antitermination protein NusA"
R7A2020_00115	rimP	0	24467	25114	-1	186	0.0072463768115942	648	4	"ribosome maturation factor RimP"
R7A2020_00120	R7A2020_00120	0	25401	25565	1	30	0.0141843971631206	165	2	"hypothetical protein"
R7A2020_00125	trmB	0	25589	26290	-1	1160	0.0552763819095477	702	33	"tRNA (guanosine(46)-N7)-methyltransferase TrmB"
R7A2020_00130	R7A2020_00130	0	26316	27581	-1	0	0	1266	0	"methionine adenosyltransferase"
R7A2020_00135	R7A2020_00135	0	27750	28169	-1	45	0.0168067226890756	420	6	"helix-turn-helix transcriptional regulator"
R7A2020_00140	lnt	0	28308	29900	-1	900	0.0280442804428044	1593	38	"apolipoprotein N-acyltransferase"
R7A2020_00145	R7A2020_00145	0	30081	31025	-1	1096	0.0422885572139304	945	34	"LysR family transcriptional regulator"
R7A2020_00150	R7A2020_00150	0	31126	31887	1	1685	0.0648148148148148	762	42	"SDR family oxidoreductase"
R7A2020_00155	R7A2020_00155	0	31913	32383	-1	766	0.0498753117206983	471	20	glyoxalase
R7A2020_00160	R7A2020_00160	0	32397	33473	-1	2649	0.0567066521264995	1077	52	"HlyC/CorC family transporter"
R7A2020_00165	ybeY	0	33501	34001	-1	230	0.0187793427230047	501	8	"rRNA maturation RNase YbeY"
R7A2020_00170	R7A2020_00170	0	34020	35069	-1	1714	0.0582306830907055	1050	52	"PhoH family protein"
R7A2020_00175	miaB	0	35096	36505	-1	3198	0.0600500417014178	1410	72	"tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB"
R7A2020_00180	R7A2020_00180	0	36582	37382	-1	459	0.0323054331864905	801	22	"1-acyl-sn-glycerol-3-phosphate acyltransferase"
R7A2020_00185	rimI	0	37410	37904	-1	512	0.0260663507109005	495	11	"ribosomal protein S18-alanine N-acetyltransferase"
R7A2020_00190	tsaB	0	37904	38581	-1	0	0	678	0	"tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB"
R7A2020_00195	R7A2020_00195	0	38678	39781	-1	1387	0.0415335463258786	1104	39	"DUF1513 domain-containing protein"
R7A2020_00200	R7A2020_00200	0	39784	40863	-1	1491	0.0403050108932462	1080	37	"peptidase M75, Imelysin"
R7A2020_00205	R7A2020_00205	0	40863	42464	-1	1383	0.0367107195301028	1602	50	"c-type cytochrome"
R7A2020_00210	bfr	0	42477	42962	-1	312	0.0458937198067633	486	19	bacterioferritin
R7A2020_00215	R7A2020_00215	0	42928	43239	-1	250	0.0263157894736842	312	7	"(2Fe-2S)-binding protein"
R7A2020_00220	R7A2020_00220	0	43352	44641	-1	975	0.03281677301732	1290	36	peptidase
R7A2020_00225	R7A2020_00225	0	45077	46330	1	302	0.0084348641049672	1254	9	"FAD-dependent oxidoreductase"
R7A2020_00230	R7A2020_00230	0	46435	47712	-1	1847	0.0523897058823529	1278	57	"4-aminobutyrate--2-oxoglutarate transaminase"
R7A2020_00235	R7A2020_00235	0	47950	49089	1	1561	0.0474716202270382	1140	46	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00240	R7A2020_00240	0	49086	50156	1	2079	0.0658616904500549	1071	60	"efflux RND transporter periplasmic adaptor subunit"
R7A2020_00245	R7A2020_00245	0	50153	53212	1	4453	0.0484429065743945	3060	126	"efflux RND transporter permease subunit"
R7A2020_00250	R7A2020_00250	0	53287	54033	-1	1501	0.0487421383647799	747	31	"ABC transporter ATP-binding protein"
R7A2020_00255	R7A2020_00255	0	54030	54866	-1	1225	0.0504908835904628	837	36	"ABC transporter ATP-binding protein"
R7A2020_00260	R7A2020_00260	0	54863	55783	-1	840	0.0408684546615581	921	32	"ABC transporter permease"
R7A2020_00265	R7A2020_00265	0	55780	56841	-1	1522	0.0509413067552602	1062	46	"ABC transporter permease"
R7A2020_00270	R7A2020_00270	0	56860	58503	-1	1721	0.0422031473533619	1644	59	"ABC transporter substrate-binding protein"
R7A2020_00275	R7A2020_00275	0	58765	60012	-1	710	0.0301318267419962	1248	32	"lytic murein transglycosylase"
R7A2020_00280	recR	0	60033	60638	-1	857	0.0678294573643411	606	35	"recombination protein RecR"
R7A2020_00285	R7A2020_00285	0	60730	61731	-1	1376	0.0563380281690141	1002	48	"cell wall hydrolase"
R7A2020_00290	R7A2020_00290	0	61961	62368	-1	397	0.0431034482758621	408	15	"hypothetical protein"
