locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,38,0.0112781954887218,312,3,(2Fe-2S)-binding protein
R7A2020_00425,R7A2020_00425,0,86399,86854,1,7,0.0102827763496144,456,4,periplasmic heavy metal sensor
R7A2020_01950,tsaE,0,429386,430897,1,112,0.0101088646967341,1512,13,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02060,rplT,0,451560,451961,1,38,0.0116959064327485,402,4,50S ribosomal protein L20
R7A2020_02370,R7A2020_02370,0,512880,513098,1,6,0.0106382978723404,219,2,DUF3329 domain-containing protein
R7A2020_03510,R7A2020_03510,0,740661,741353,-1,45,0.011864406779661,693,7,glutathione S-transferase family protein
R7A2020_03775,R7A2020_03775,0,787843,788067,1,13,0.0104166666666667,225,2,hypothetical protein
R7A2020_03880,R7A2020_03880,0,807772,808245,1,5,0.0099009900990099,474,4,RloB domain-containing protein
R7A2020_04455,rpsP,0,930164,930565,-1,14,0.0116959064327485,402,4,30S ribosomal protein S16
R7A2020_04535,R7A2020_04535,0,945784,946083,1,16,0.0117647058823529,300,3,hypothetical protein
R7A2020_04705,R7A2020_04705,0,975967,976506,1,16,0.0108932461873638,540,5,AprI/Inh family metalloprotease inhibitor
R7A2020_04810,rplS,0,996300,996845,1,52,0.010752688172043,546,5,50S ribosomal protein L19
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,28,0.0115942028985507,405,4,ribbon-helix-helix protein, CopG family
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,88,0.0103761348897536,906,8,anti-sigma factor
R7A2020_06535,R7A2020_06535,0,1341042,1341146,1,1,0.0111111111111111,105,1,pseudogene
R7A2020_06705,gap,0,1368052,1369062,-1,35,0.0116279069767442,1011,10,type I glyceraldehyde-3-phosphate dehydrogenase
R7A2020_06840,xylF,0,1394321,1395361,1,66,0.0112994350282486,1041,10,D-xylose ABC transporter substrate-binding protein
R7A2020_08725,R7A2020_08725,0,1796879,1797373,1,8,0.0118483412322275,495,5,GTP-binding protein
