locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_02020,R7A2020_02020,0,445871,446089,1,2,0.00531914893617021,219,1,hypothetical protein
R7A2020_03260,R7A2020_03260,0,684548,685225,-1,7,0.00519031141868512,678,3,ribulose-phosphate 3-epimerase
R7A2020_03880,R7A2020_03880,0,807772,808245,1,6,0.00495049504950495,474,2,RloB domain-containing protein
R7A2020_04210,R7A2020_04210,0,888535,889035,1,9,0.00469483568075117,501,2,phage tail protein
R7A2020_04385,R7A2020_04385,0,918997,919452,-1,3,0.0051413881748072,456,2,winged helix-turn-helix transcriptional regulator
R7A2020_04865,sdhC,0,1006497,1006916,1,7,0.00560224089635854,420,2,succinate dehydrogenase, cytochrome b556 subunit
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,2,0.00495049504950495,474,2,hypothetical protein
R7A2020_05020,R7A2020_05020,0,1031762,1032793,-1,15,0.00569476082004556,1032,5,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
R7A2020_05490,R7A2020_05490,0,1130472,1130693,1,6,0.00529100529100529,222,1,DUF1674 domain-containing protein
R7A2020_05985,rpmE,0,1230702,1230923,-1,3,0.00529100529100529,222,1,50S ribosomal protein L31
R7A2020_06055,R7A2020_06055,0,1245435,1246082,-1,3,0.00543478260869565,648,3,thiamine phosphate synthase
R7A2020_06200,R7A2020_06200,0,1272893,1274068,1,25,0.004995004995005,1176,5,phosphoserine transaminase
R7A2020_06400,R7A2020_06400,0,1320616,1321041,1,19,0.00550964187327824,426,2,nuclear transport factor 2 family protein
R7A2020_06900,R7A2020_06900,0,1404159,1404608,-1,5,0.00522193211488251,450,2,response regulator
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,15,0.00540540540540541,216,1,hypothetical protein
R7A2020_08930,ptsN,0,1835321,1835785,1,12,0.00505050505050505,465,2,PTS IIA-like nitrogen regulatory protein PtsN
R7A2020_09615,R7A2020_09615,0,1967578,1969032,1,30,0.00565428109854604,1455,7,glutamate synthase subunit beta
R7A2020_09675,R7A2020_09675,0,1983240,1984685,-1,22,0.00569105691056911,1446,7,homospermidine synthase
R7A2020_10195,R7A2020_10195,0,2086500,2087696,1,10,0.00490677134445535,1197,5,acyl-CoA dehydrogenase
R7A2020_10985,R7A2020_10985,0,2249664,2250164,1,2,0.00469483568075117,501,2,hypothetical protein
R7A2020_11080,R7A2020_11080,0,2261995,2262201,-1,1,0.00564971751412429,207,1,cold-shock protein
R7A2020_11375,greA,0,2324355,2324828,1,4,0.00495049504950495,474,2,transcription elongation factor GreA
R7A2020_11780,R7A2020_11780,0,2405564,2406202,1,9,0.0055045871559633,639,3,TetR/AcrR family transcriptional regulator
R7A2020_12070,R7A2020_12070,0,2464959,2465177,1,3,0.00531914893617021,219,1,hypothetical protein
R7A2020_12615,R7A2020_12615,0,2592647,2592871,1,1,0.00520833333333333,225,1,hypothetical protein
R7A2020_13595,R7A2020_13595,0,2770646,2770858,1,6,0.00549450549450549,213,1,4-oxalocrotonate tautomerase family protein
R7A2020_14620,R7A2020_14620,0,2968100,2968543,-1,4,0.00529100529100529,444,2,SRPBCC family protein
R7A2020_15120,R7A2020_15120,0,3080185,3080397,1,9,0.00549450549450549,213,1,hypothetical protein
R7A2020_15480,R7A2020_15480,0,3162953,3163399,-1,18,0.005249343832021,447,2,winged helix-turn-helix transcriptional regulator
R7A2020_16990,R7A2020_16990,0,3474325,3477708,1,116,0.00556134862704206,3384,16,SPOR domain-containing protein
R7A2020_18240,R7A2020_18240,0,3751555,3751788,-1,3,0.005,234,1,pseudogene
R7A2020_18290,R7A2020_18290,0,3762398,3764026,1,46,0.00505050505050505,1629,7,DNA alkylation response protein
R7A2020_18760,R7A2020_18760,0,3873939,3874169,-1,1,0.0050761421319797,231,1,DUF1289 domain-containing protein
R7A2020_19225,lpdA,0,3960168,3961613,-1,52,0.00569105691056911,1446,7,dihydrolipoyl dehydrogenase
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,95,0.00477516912057302,2955,12,Rne/Rng family ribonuclease
R7A2020_20180,R7A2020_20180,0,4133098,4133337,1,2,0.00490196078431373,240,1,DUF2188 domain-containing protein
R7A2020_21580,rnd,0,4399537,4400688,1,18,0.00510204081632653,1152,5,ribonuclease D
R7A2020_21910,R7A2020_21910,0,4476171,4476404,1,3,0.005,234,1,DUF2093 domain-containing protein
R7A2020_22525,R7A2020_22525,0,4590362,4590844,1,2,0.0048661800486618,483,2,hypothetical protein
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,3,0.00518134715025907,453,2,MucR family transcriptional regulator
R7A2020_23295,R7A2020_23295,0,4719395,4719643,1,3,0.00469483568075117,249,1,30S ribosomal protein S18
R7A2020_23400,R7A2020_23400,0,4739826,4740524,-1,40,0.00503355704697987,699,3,phosphatidylserine decarboxylase
R7A2020_24445,R7A2020_24445,0,4966287,4968200,-1,28,0.00552825552825553,1914,9,hypothetical protein
R7A2020_25310,R7A2020_25310,0,5138166,5140160,-1,15,0.0047142015321155,1995,8,methyltransferase domain-containing protein
R7A2020_25615,R7A2020_25615,0,5207664,5208587,-1,18,0.00508905852417303,924,4,sugar ABC transporter permease
R7A2020_26985,R7A2020_26985,0,5502458,5503831,1,17,0.00513259195893926,1374,6,glutamate--cysteine ligase
R7A2020_27015,R7A2020_27015,0,5509344,5509595,-1,3,0.00465116279069767,252,1,DUF768 domain-containing protein
R7A2020_27685,R7A2020_27685,0,5662128,5662541,-1,12,0.0056657223796034,414,2,hypothetical protein
R7A2020_27815,R7A2020_27815,0,5691458,5691877,1,8,0.00560224089635854,420,2,organic hydroperoxide resistance protein
R7A2020_27820,R7A2020_27820,0,5692091,5692597,1,23,0.00462962962962963,507,2,transcriptional regulator
R7A2020_28340,R7A2020_28340,0,5805333,5805776,1,4,0.00529100529100529,444,2,response regulator
R7A2020_29645,R7A2020_29645,0,6105851,6106102,-1,1,0.00465116279069767,252,1,hypothetical protein
R7A2020_31095,hemA,0,6427215,6428492,1,17,0.00551470588235294,1278,6,5-aminolevulinate synthase
R7A2020_31305,R7A2020_31305,0,6474541,6475806,-1,33,0.00557103064066852,1266,6,two-component sensor histidine kinase
