locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,137,0.0140056022408964,420,5,helix-turn-helix transcriptional regulator
R7A2020_00335,R7A2020_00335,0,68544,69191,1,136,0.016304347826087,648,9,cytochrome c family protein
R7A2020_00350,R7A2020_00350,0,73139,74233,1,652,0.0139484978540773,1095,13,microcin C ABC transporter permease YejB
R7A2020_00400,R7A2020_00400,0,84193,84268,1,17,0.0151515151515152,76,1,
R7A2020_00605,pgi,0,129779,131422,-1,855,0.0150214592274678,1644,21,glucose-6-phosphate isomerase
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,107,0.0134228187919463,174,2,hypothetical protein
R7A2020_02435,R7A2020_02435,0,525112,525188,-1,6,0.0149253731343284,77,1,
R7A2020_03050,R7A2020_03050,0,637401,637703,1,140,0.0155038759689922,303,4,hypothetical protein
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,575,0.0168067226890756,558,8,hypothetical protein
R7A2020_05235,R7A2020_05235,0,1079548,1079703,1,13,0.0149253731343284,156,2,hypothetical protein
R7A2020_05390,R7A2020_05390,0,1105561,1106067,1,147,0.0162037037037037,507,7,GNAT family N-acetyltransferase
R7A2020_05435,R7A2020_05435,0,1114557,1115435,-1,593,0.0160213618157543,879,12,acid phosphatase
R7A2020_06055,R7A2020_06055,0,1245435,1246082,-1,366,0.016304347826087,648,9,thiamine phosphate synthase
R7A2020_06115,ruvB,0,1253632,1254669,1,259,0.0158371040723982,1038,14,Holliday junction branch migration DNA helicase RuvB
R7A2020_06160,ybgF,0,1262592,1263704,1,291,0.0168954593453009,1113,16,tol-pal system protein YbgF
R7A2020_06420,pyk,0,1322920,1324356,1,897,0.0147179067865904,1437,18,pyruvate kinase
R7A2020_06510,R7A2020_06510,0,1336849,1337052,-1,123,0.0172413793103448,204,3,YdcH family protein
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,208,0.0140845070422535,1002,12,DUF4034 domain-containing protein
R7A2020_06695,R7A2020_06695,0,1364619,1365815,-1,655,0.014720314033366,1197,15,phosphoglycerate kinase
R7A2020_07800,R7A2020_07800,0,1588630,1589148,-1,185,0.0135440180586907,519,6,disulfide bond formation protein B
R7A2020_08040,R7A2020_08040,0,1639845,1639921,1,115,0.0149253731343284,77,1,
R7A2020_08060,R7A2020_08060,0,1643343,1643419,1,4,0.0149253731343284,77,1,
R7A2020_08080,R7A2020_08080,0,1647355,1647431,1,122,0.0149253731343284,77,1,
R7A2020_08300,R7A2020_08300,0,1690559,1691410,1,377,0.0151724137931034,852,11,sugar phosphate isomerase/epimerase
R7A2020_08545,R7A2020_08545,0,1746285,1746431,1,11,0.0158730158730159,147,2,hypothetical protein
R7A2020_08635,R7A2020_08635,0,1772299,1773297,-1,582,0.0141010575793184,999,12,ABC transporter permease
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,1018,0.015552099533437,2268,30,penicillin-binding protein
R7A2020_08775,R7A2020_08775,0,1807585,1807800,-1,31,0.0162162162162162,216,3,hypothetical protein
R7A2020_08920,rpoN,0,1832885,1834411,1,459,0.0161662817551963,1527,21,RNA polymerase factor sigma-54
R7A2020_09135,R7A2020_09135,0,1870056,1870766,-1,432,0.0165289256198347,711,10,hypothetical protein
R7A2020_09145,R7A2020_09145,0,1872295,1873005,-1,153,0.0148760330578512,711,9,hypothetical protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,840,0.0167516387472688,1614,23,hypothetical protein
R7A2020_10315,R7A2020_10315,0,2118189,2118707,1,339,0.0158013544018059,519,7,helix-turn-helix transcriptional regulator
R7A2020_10510,R7A2020_10510,0,2156704,2157183,-1,136,0.0147058823529412,480,6,hypothetical protein
R7A2020_10900,ychF,0,2234592,2235695,-1,538,0.0159744408945687,1104,15,redox-regulated ATPase YchF
R7A2020_10985,R7A2020_10985,0,2249664,2250164,1,170,0.0164319248826291,501,7,hypothetical protein
R7A2020_11560,R7A2020_11560,0,2357898,2358779,1,412,0.016,882,12,hypothetical protein
R7A2020_11630,mntR,0,2373670,2374122,1,648,0.0155440414507772,453,6,manganese-binding transcriptional regulator MntR
R7A2020_11945,R7A2020_11945,0,2438597,2439472,1,226,0.0134048257372654,876,10,serine protease
R7A2020_12085,R7A2020_12085,0,2467742,2468176,-1,352,0.0161725067385445,435,6,hypothetical protein
R7A2020_12160,R7A2020_12160,0,2490029,2490376,1,130,0.0168350168350168,348,5,hypothetical protein
R7A2020_12185,tagF,0,2494533,2495075,-1,119,0.0151515151515152,543,7,type VI secretion system-associated protein TagF
R7A2020_12230,R7A2020_12230,0,2506868,2507317,-1,169,0.0156657963446475,450,6,type VI secretion system tube protein Hcp
R7A2020_12240,tssB,0,2508909,2509445,-1,1032,0.0152838427947598,537,7,type VI secretion system contractile sheath small subunit
R7A2020_12640,R7A2020_12640,0,2595782,2595940,1,9,0.0145985401459854,159,2,hypothetical protein
R7A2020_12820,R7A2020_12820,0,2625534,2626124,1,477,0.0139165009940358,591,7,NADPH-dependent F420 reductase
R7A2020_12830,R7A2020_12830,0,2626738,2626998,1,65,0.0135135135135135,261,3,pseudogene
R7A2020_12995,R7A2020_12995,0,2652545,2652964,-1,213,0.0168067226890756,420,6,hypothetical protein
R7A2020_13265,R7A2020_13265,0,2705187,2706644,-1,936,0.0153102336825141,1458,19,hypothetical protein
R7A2020_13550,R7A2020_13550,0,2762192,2762464,1,218,0.0171673819742489,273,4,hypothetical protein
R7A2020_13680,R7A2020_13680,0,2786626,2786775,1,31,0.015625,150,2,hypothetical protein
R7A2020_13685,R7A2020_13685,0,2786884,2787483,-1,354,0.0156862745098039,600,8,TetR/AcrR family transcriptional regulator
R7A2020_13805,R7A2020_13805,0,2817662,2818279,1,369,0.015180265654649,618,8,TetR/AcrR family transcriptional regulator
R7A2020_14045,R7A2020_14045,0,2864427,2864645,-1,84,0.0159574468085106,219,3,hypothetical protein
R7A2020_14260,R7A2020_14260,0,2907248,2907535,-1,69,0.016260162601626,288,4,hypothetical protein
R7A2020_14460,R7A2020_14460,0,2935632,2935919,-1,316,0.016260162601626,288,4,hypothetical protein
R7A2020_15045,metF,0,3062962,3063879,1,622,0.0153452685421995,918,12,methylenetetrahydrofolate reductase [NAD(P)H]
R7A2020_15295,R7A2020_15295,0,3121502,3121927,1,40,0.0165289256198347,426,6,low affinity iron permease family protein
R7A2020_15310,R7A2020_15310,0,3123241,3123816,-1,386,0.0142566191446029,576,7,DUF1211 domain-containing protein
R7A2020_16755,rirA,0,3426979,3427440,-1,261,0.0152671755725191,462,6,iron-responsive transcriptional regulator RirA
R7A2020_16915,R7A2020_16915,0,3457389,3457462,1,6,0.015625,74,1,
R7A2020_17305,R7A2020_17305,0,3543987,3545204,1,205,0.0135004821600771,1218,14,LL-diaminopimelate aminotransferase
R7A2020_17350,hisI,0,3552507,3552968,-1,186,0.0152671755725191,462,6,phosphoribosyl-AMP cyclohydrolase
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,873,0.0153977758768178,1374,18,glutamate--tRNA ligase
R7A2020_17970,R7A2020_17970,0,3697921,3698328,-1,134,0.0172413793103448,408,6,hypothetical protein
R7A2020_18170,glpD,0,3736325,3737851,1,772,0.0161662817551963,1527,21,glycerol-3-phosphate dehydrogenase
R7A2020_18655,R7A2020_18655,0,3837772,3838137,-1,226,0.016025641025641,366,5,SnoaL-like domain-containing protein
R7A2020_18915,R7A2020_18915,0,3897822,3897896,-1,7,0.0153846153846154,75,1,
R7A2020_19025,R7A2020_19025,0,3921773,3922459,-1,398,0.0170940170940171,687,10,TerC family protein
R7A2020_19490,rpsM,0,4015643,4016011,-1,349,0.0158730158730159,369,5,30S ribosomal protein S13
R7A2020_19690,R7A2020_19690,0,4048031,4048106,-1,4,0.0151515151515152,76,1,
R7A2020_20060,R7A2020_20060,0,4113463,4113666,-1,58,0.0172413793103448,204,3,DUF3126 family protein
R7A2020_20480,purS,0,4187187,4187429,1,149,0.0144927536231884,243,3,phosphoribosylformylglycinamidine synthase subunit PurS
R7A2020_20615,R7A2020_20615,0,4208429,4208641,-1,18,0.0164835164835165,213,3,pseudogene
R7A2020_20695,R7A2020_20695,0,4224157,4224807,1,68,0.0144404332129964,651,8,FMN-binding negative transcriptional regulator
R7A2020_20855,R7A2020_20855,0,4256272,4257282,1,290,0.0151162790697674,1011,13,hypothetical protein
R7A2020_20860,R7A2020_20860,0,4257565,4258803,-1,621,0.014218009478673,1239,15,type II toxin-antitoxin system HipA family toxin
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,415,0.0157016683022571,1197,16,SAVED domain-containing protein
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,165,0.0149051490514905,867,11,hypothetical protein
R7A2020_21375,nrdR,0,4359856,4360335,-1,55,0.0147058823529412,480,6,transcriptional repressor NrdR
R7A2020_21400,R7A2020_21400,0,4364996,4366249,-1,545,0.0168697282099344,1254,18,murein L,D-transpeptidase
R7A2020_21485,R7A2020_21485,0,4379541,4379690,-1,12,0.015625,150,2,hypothetical protein
R7A2020_21635,R7A2020_21635,0,4410038,4410403,1,266,0.016025641025641,366,5,cupin domain-containing protein
