locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01005,R7A2020_01005,0,219134,219307,-1,3,0.00671140939597315,174,1,hypothetical protein
R7A2020_01560,R7A2020_01560,0,343546,343695,-1,46,0.0078125,150,1,DUF3096 domain-containing protein
R7A2020_03360,gshB,0,709147,710088,1,53,0.00749063670411985,942,6,glutathione synthase
R7A2020_03465,R7A2020_03465,0,731645,732202,-1,11,0.00630252100840336,558,3,hypothetical protein
R7A2020_03860,secB,0,802736,803239,1,11,0.00699300699300699,504,3,protein-export chaperone SecB
R7A2020_04095,rsmG,0,852182,852814,1,32,0.00742115027829314,633,4,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
R7A2020_04775,R7A2020_04775,0,990728,990886,-1,1,0.0072992700729927,159,1,pseudogene
R7A2020_04975,R7A2020_04975,0,1026293,1026751,-1,3,0.0076530612244898,459,3,Crp/Fnr family transcriptional regulator
R7A2020_05925,ssrS,0,1223153,1223308,1,15,0.00746268656716418,156,1,
R7A2020_06160,ybgF,0,1262592,1263704,1,63,0.00633579725448786,1113,6,tol-pal system protein YbgF
R7A2020_06220,R7A2020_06220,0,1278288,1280015,1,124,0.00680272108843537,1728,10,hypothetical protein
R7A2020_06420,pyk,0,1322920,1324356,1,76,0.00735895339329518,1437,9,pyruvate kinase
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,27,0.00648508430609598,906,5,anti-sigma factor
R7A2020_06515,R7A2020_06515,0,1337291,1337470,1,1,0.0065359477124183,180,1,YdcH family protein
R7A2020_06705,gap,0,1368052,1369062,-1,26,0.00697674418604651,1011,6,type I glyceraldehyde-3-phosphate dehydrogenase
R7A2020_07190,R7A2020_07190,0,1468235,1468386,-1,1,0.00769230769230769,152,1,pseudogene
R7A2020_07710,R7A2020_07710,0,1571192,1572274,-1,28,0.00760043431053203,1083,7,ABC transporter ATP-binding protein
R7A2020_07880,R7A2020_07880,0,1605478,1605657,1,2,0.0065359477124183,180,1,Flp family type IVb pilin
R7A2020_08015,R7A2020_08015,0,1634058,1635546,1,29,0.00710339384372534,1489,9,
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,69,0.00725764644893727,2268,14,penicillin-binding protein
R7A2020_09135,R7A2020_09135,0,1870056,1870766,-1,10,0.00826446280991736,711,5,hypothetical protein
R7A2020_09145,R7A2020_09145,0,1872295,1873005,-1,55,0.00826446280991736,711,5,hypothetical protein
R7A2020_09430,R7A2020_09430,0,1924480,1925850,1,137,0.00686106346483705,1371,8,glutamine synthetase
R7A2020_10395,R7A2020_10395,0,2136902,2137501,-1,8,0.00784313725490196,600,4,hypothetical protein
R7A2020_10470,R7A2020_10470,0,2149759,2150367,1,30,0.00770712909441233,609,4,DUF1134 domain-containing protein
R7A2020_10485,R7A2020_10485,0,2152607,2152951,-1,57,0.00680272108843537,345,2,winged helix-turn-helix transcriptional regulator
R7A2020_10595,R7A2020_10595,0,2173283,2174230,-1,121,0.00743494423791822,948,6,cation transporter
R7A2020_10985,R7A2020_10985,0,2249664,2250164,1,82,0.00704225352112676,501,3,hypothetical protein
R7A2020_11085,R7A2020_11085,0,2262406,2262753,-1,3,0.00673400673400673,348,2,hypothetical protein
R7A2020_11335,R7A2020_11335,0,2316318,2317628,-1,179,0.00807174887892377,1311,9,HlyC/CorC family transporter
R7A2020_11405,R7A2020_11405,0,2330257,2330829,1,81,0.00819672131147541,573,4,SIS domain-containing protein
R7A2020_11630,mntR,0,2373670,2374122,1,17,0.0077720207253886,453,3,manganese-binding transcriptional regulator MntR
R7A2020_12120,R7A2020_12120,0,2476649,2477149,-1,10,0.00704225352112676,501,3,DUF1036 domain-containing protein
R7A2020_12240,tssB,0,2508909,2509445,-1,86,0.00655021834061135,537,3,type VI secretion system contractile sheath small subunit
R7A2020_12340,R7A2020_12340,0,2531184,2531774,1,50,0.00795228628230616,591,4,CatB-related O-acetyltransferase
R7A2020_12755,R7A2020_12755,0,2615897,2616619,1,66,0.00813008130081301,723,5,SDR family oxidoreductase
R7A2020_13100,R7A2020_13100,0,2671600,2671782,1,2,0.00641025641025641,183,1,hypothetical protein
R7A2020_13520,R7A2020_13520,0,2755899,2756075,1,4,0.00657894736842105,177,1,hypothetical protein
R7A2020_14260,R7A2020_14260,0,2907248,2907535,-1,5,0.00813008130081301,288,2,hypothetical protein
R7A2020_14435,R7A2020_14435,0,2931551,2932246,1,96,0.00674536256323777,696,4,isoprenylcysteine carboxylmethyltransferase family protein
R7A2020_14530,R7A2020_14530,0,2948161,2948472,1,18,0.0075187969924812,312,2,Rieske 2Fe-2S domain-containing protein
R7A2020_14620,R7A2020_14620,0,2968100,2968543,-1,12,0.00793650793650794,444,3,SRPBCC family protein
R7A2020_15295,R7A2020_15295,0,3121502,3121927,1,44,0.00826446280991736,426,3,low affinity iron permease family protein
R7A2020_15920,R7A2020_15920,0,3247156,3248430,1,30,0.00645161290322581,1275,7,NADH-quinone oxidoreductase subunit E
R7A2020_16090,R7A2020_16090,0,3283455,3284075,-1,114,0.00757575757575758,621,4,response regulator transcription factor
R7A2020_16155,R7A2020_16155,0,3295157,3295666,1,28,0.00691244239631336,510,3,protein tyrosine phosphatase
