locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym
R7A2020_00005,L,chromosomal replication initiator protein DnaA,K02313,chromosomal replication initiator protein,dnaA,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,1,1545,1545,1,FALSE
R7A2020_00010,L,DNA polymerase III subunit beta,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],dnaN,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",R7A2020_00010,1851,2969,1119,1,FALSE
R7A2020_00015,NA,DNA replication/repair protein RecF,K03629,DNA replication and repair protein RecF,recF,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,3053,4192,1140,1,FALSE
R7A2020_00020,NA,molybdopterin-synthase adenylyltransferase MoeB,NA,NA,moeB,H,involved in molybdopterin and thiamine biosynthesis family 2,R7A2020_00020,4224,4976,753,1,FALSE
R7A2020_00025,NA,GNAT family N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_00025,4991,5467,477,1,FALSE
R7A2020_00030,NA,D-glycerate dehydrogenase,K00015,glyoxylate reductase [EC:1.1.1.26],gyaR,CH,D-isomer specific 2-hydroxyacid dehydrogenase,R7A2020_00030,5518,6519,1002,-1,FALSE
R7A2020_00035,HYP,hypothetical protein,NA,NA,MA20_24010,S,Bacterial SH3 domain,R7A2020_00035,6668,7228,561,1,FALSE
R7A2020_00040,NA,DUF4260 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4260),R7A2020_00040,7218,7607,390,-1,FALSE
R7A2020_00045,NA,transcriptional repressor,K09826,"Fur family transcriptional regulator, iron response regulator",fur,K,Belongs to the Fur family,R7A2020_00045,7664,8095,432,-1,FALSE
R7A2020_00050,I,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,K01716,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14],fabA,I,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length",fabA,8338,8853,516,1,FALSE
R7A2020_00055,I,beta-ketoacyl-ACP synthase I,K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],fabB,IQ,Belongs to the beta-ketoacyl-ACP synthases family,fabB,8903,10123,1221,1,FALSE
R7A2020_00060,NA,enoyl-ACP reductase FabI,K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI,I,Enoyl- acyl-carrier-protein reductase NADH,fabI,10155,10958,804,1,FALSE
R7A2020_00065,NA,bifunctional diguanylate cyclase/phosphodiesterase,K21023,diguanylate cyclase [EC:2.7.7.65],NA,T,Putative diguanylate phosphodiesterase,R7A2020_00065,11114,12658,1545,1,FALSE
R7A2020_00070,NA,class I SAM-dependent methyltransferase,K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],rsmC,J,methyltransferase small,R7A2020_00070,12664,13674,1011,-1,FALSE
R7A2020_00075,J,polyribonucleotide nucleotidyltransferase,K00962,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],pnp,J,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,pnp,13800,15947,2148,-1,FALSE
R7A2020_00080,J,30S ribosomal protein S15,K02956,small subunit ribosomal protein S15,rpsO,J,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,rpsO,16357,16626,270,-1,FALSE
R7A2020_00085,NA,magnesium/cobalt transporter CorA,K03284,magnesium transporter,corA,P,Mediates influx of magnesium ions,corA,16808,17902,1095,-1,FALSE
R7A2020_00090,NA,tRNA pseudouridine(55) synthase TruB,K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25],truB,J,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,truB,17947,18924,978,-1,FALSE
R7A2020_00095,J,30S ribosome-binding factor RbfA,K02834,ribosome-binding factor A,rbfA,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,rbfA,18924,19379,456,-1,FALSE
R7A2020_00100,J,translation initiation factor IF-2,K02519,translation initiation factor IF-2,infB,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,infB,19554,22136,2583,-1,FALSE
R7A2020_00105,K,RNA-binding protein,K07742,uncharacterized protein,ylxR,K,Protein of unknown function (DUF448),R7A2020_00105,22133,22783,651,-1,FALSE
R7A2020_00110,K,transcription termination/antitermination protein NusA,K02600,transcription termination/antitermination protein NusA,nusA,K,Participates in both transcription termination and antitermination,nusA,22822,24417,1596,-1,FALSE
R7A2020_00115,J,ribosome maturation factor RimP,K09748,ribosome maturation factor RimP,rimP,S,Required for maturation of 30S ribosomal subunits,rimP,24467,25114,648,-1,FALSE
R7A2020_00120,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00120,25401,25565,165,1,FALSE
