locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01935,R7A2020_01935,0,424750,425046,1,95,0.0118110236220472,297,3,HPr family phosphocarrier protein
R7A2020_02570,R7A2020_02570,0,546283,546468,-1,47,0.0125786163522013,186,2,hypothetical protein
R7A2020_03885,lepA,0,808294,810099,-1,1094,0.0123697916666667,1806,19,elongation factor 4
R7A2020_05905,R7A2020_05905,0,1220965,1221369,-1,262,0.0115942028985507,405,4,ribbon-helix-helix protein, CopG family
R7A2020_05985,rpmE,0,1230702,1230923,-1,39,0.0105820105820106,222,2,50S ribosomal protein L31
R7A2020_06115,ruvB,0,1253632,1254669,1,626,0.0124434389140271,1038,11,Holliday junction branch migration DNA helicase RuvB
R7A2020_06205,R7A2020_06205,0,1274132,1275733,1,896,0.0110132158590308,1602,15,phosphoglycerate dehydrogenase
R7A2020_06320,phaR,0,1302367,1302978,1,601,0.0115163147792706,612,6,polyhydroxyalkanoate synthesis repressor PhaR
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,241,0.0128205128205128,642,7,hypothetical protein
R7A2020_07235,R7A2020_07235,0,1476011,1476409,-1,184,0.0117302052785924,399,4,GFA family protein
R7A2020_08015,R7A2020_08015,0,1634058,1635546,1,212,0.0126282557221784,1489,16,
R7A2020_08745,R7A2020_08745,0,1800004,1802271,1,472,0.0108864696734059,2268,21,penicillin-binding protein
R7A2020_09175,R7A2020_09175,0,1877352,1879175,-1,902,0.011605415860735,1824,18,RNA-directed DNA polymerase
R7A2020_09885,R7A2020_09885,0,2024193,2024504,-1,207,0.0112781954887218,312,3,hypothetical protein
R7A2020_10185,R7A2020_10185,0,2083786,2085399,1,322,0.010924981791697,1614,15,hypothetical protein
R7A2020_10770,R7A2020_10770,0,2212301,2213563,1,184,0.0111731843575419,1263,12,CCA tRNA nucleotidyltransferase
R7A2020_10900,ychF,0,2234592,2235695,-1,280,0.0106496272630458,1104,10,redox-regulated ATPase YchF
R7A2020_11405,R7A2020_11405,0,2330257,2330829,1,349,0.0122950819672131,573,6,SIS domain-containing protein
R7A2020_12070,R7A2020_12070,0,2464959,2465177,1,7,0.0106382978723404,219,2,hypothetical protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,320,0.0126874279123414,1020,11,YihY/virulence factor BrkB family protein
R7A2020_12945,R7A2020_12945,0,2643831,2644232,-1,137,0.0116959064327485,402,4,type II toxin-antitoxin system HicB family antitoxin
R7A2020_13265,R7A2020_13265,0,2705187,2706644,-1,411,0.0112812248186946,1458,14,hypothetical protein
R7A2020_14095,R7A2020_14095,0,2872736,2872933,-1,92,0.0117647058823529,198,2,hypothetical protein
R7A2020_15090,R7A2020_15090,0,3073091,3073387,-1,111,0.0118110236220472,297,3,type II toxin-antitoxin system RelE/ParE family toxin
R7A2020_15295,R7A2020_15295,0,3121502,3121927,1,163,0.0110192837465565,426,4,low affinity iron permease family protein
R7A2020_15845,R7A2020_15845,0,3231732,3232118,-1,504,0.0121212121212121,387,4,cobalamin biosynthesis protein
R7A2020_16415,R7A2020_16415,0,3351670,3352299,-1,248,0.0111940298507463,630,6,DUF1638 domain-containing protein
R7A2020_17060,yajC,0,3490319,3490660,1,34,0.0103092783505155,342,3,preprotein translocase subunit YajC
R7A2020_17695,R7A2020_17695,0,3630541,3631287,1,207,0.0110062893081761,747,7,cytochrome c biogenesis protein CcdA
R7A2020_17945,dksA,0,3690801,3691217,1,49,0.0112359550561798,417,4,RNA polymerase-binding protein DksA
R7A2020_18170,glpD,0,3736325,3737851,1,505,0.0115473441108545,1527,15,glycerol-3-phosphate dehydrogenase
R7A2020_18690,R7A2020_18690,0,3852751,3853065,-1,178,0.0111524163568773,315,3,hypothetical protein
R7A2020_19420,R7A2020_19420,0,4001353,4001544,1,15,0.0121951219512195,192,2,DUF2735 domain-containing protein
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,1561,0.0123358535614803,2955,31,Rne/Rng family ribonuclease
R7A2020_20695,R7A2020_20695,0,4224157,4224807,1,86,0.0108303249097473,651,6,FMN-binding negative transcriptional regulator
R7A2020_20935,R7A2020_20935,0,4276523,4277812,1,560,0.0109389243391067,1290,12,RDD family protein
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,272,0.010840108401084,867,8,hypothetical protein
R7A2020_20955,R7A2020_20955,0,4280199,4280948,-1,171,0.0125391849529781,750,8,hypothetical protein
R7A2020_22310,R7A2020_22310,0,4550014,4551381,1,191,0.0111683848797251,1368,13,tyrosine-protein kinase family protein
R7A2020_22490,R7A2020_22490,0,4585233,4585442,-1,8,0.0111731843575419,210,2,hypothetical protein
R7A2020_22540,R7A2020_22540,0,4591941,4592234,-1,99,0.0119521912350598,294,3,hypothetical protein
R7A2020_22585,R7A2020_22585,0,4600692,4600892,1,159,0.0116959064327485,201,2,hypothetical protein
R7A2020_22710,R7A2020_22710,0,4618676,4619182,1,31,0.0115740740740741,507,5,flagellar FlbD family protein
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,291,0.0103626943005181,453,4,MucR family transcriptional regulator
R7A2020_23080,R7A2020_23080,0,4676257,4676913,1,224,0.0107142857142857,657,6,porin family protein
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,52,0.0105263157894737,669,6,CvpA family protein
R7A2020_23525,R7A2020_23525,0,4761327,4762658,-1,922,0.0114739629302736,1332,13,dihydroorotase
R7A2020_24055,R7A2020_24055,0,4874262,4875074,-1,425,0.0115606936416185,813,8,peptidoglycan-binding protein
R7A2020_24370,cysQ,0,4947262,4948053,-1,393,0.0103857566765579,792,7,3'(2'),5'-bisphosphate nucleotidase CysQ
R7A2020_24450,R7A2020_24450,0,4968251,4970185,-1,1354,0.0103280680437424,1935,17,hypothetical protein
R7A2020_25055,R7A2020_25055,0,5085403,5085810,-1,51,0.0114942528735632,408,4,ATP F0F1 synthase subunit I
R7A2020_25235,R7A2020_25235,0,5119601,5120191,-1,137,0.0119284294234592,591,6,TetR/AcrR family transcriptional regulator
R7A2020_26355,R7A2020_26355,0,5366610,5367848,-1,298,0.0104265402843602,1239,11,sugar ABC transporter substrate-binding protein
R7A2020_27120,R7A2020_27120,0,5530258,5530458,1,20,0.0116959064327485,201,2,KTSC domain-containing protein
R7A2020_27210,R7A2020_27210,0,5549086,5549298,1,26,0.010989010989011,213,2,pseudogene
R7A2020_27955,R7A2020_27955,0,5722224,5723045,-1,122,0.011444921316166,822,8,helix-turn-helix transcriptional regulator
R7A2020_28110,R7A2020_28110,0,5752010,5752558,-1,101,0.0128205128205128,549,6,hypothetical protein
R7A2020_28225,R7A2020_28225,0,5775864,5776376,-1,67,0.011441647597254,513,5,SRPBCC family protein
R7A2020_28470,R7A2020_28470,0,5838108,5838776,-1,245,0.0105263157894737,669,6,isoprenylcysteine carboxylmethyltransferase family protein
R7A2020_30010,R7A2020_30010,0,6191944,6192950,-1,432,0.0116686114352392,1007,10,pseudogene
R7A2020_31105,mscL,0,6430115,6430537,-1,37,0.0111111111111111,423,4,large conductance mechanosensitive channel protein MscL
