locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_01210,R7A2020_01210,0,263291,264172,-1,313,0.016,882,12,family 16 glycosylhydrolase
R7A2020_02025,R7A2020_02025,0,446090,446848,-1,900,0.0170015455950541,759,11,M48 family metallopeptidase
R7A2020_03510,R7A2020_03510,0,740661,741353,-1,270,0.0152542372881356,693,9,glutathione S-transferase family protein
R7A2020_04485,R7A2020_04485,0,936131,936928,1,210,0.0176470588235294,798,12,murein transglycosylase
R7A2020_04895,R7A2020_04895,0,1010783,1011256,1,481,0.0173267326732673,474,7,hypothetical protein
R7A2020_05705,R7A2020_05705,0,1180351,1181637,1,450,0.0164383561643836,1287,18,glutamate-5-semialdehyde dehydrogenase
R7A2020_05910,R7A2020_05910,0,1221381,1221575,-1,40,0.0179640718562874,195,3,type II toxin-antitoxin system HicA family toxin
R7A2020_06460,R7A2020_06460,0,1329323,1330228,-1,617,0.0168612191958495,906,13,anti-sigma factor
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,289,0.0176056338028169,1002,15,DUF4034 domain-containing protein
R7A2020_06900,R7A2020_06900,0,1404159,1404608,-1,67,0.0182767624020888,450,7,response regulator
R7A2020_07665,lysA,0,1560167,1561435,-1,486,0.0166666666666667,1269,18,diaminopimelate decarboxylase
R7A2020_07670,R7A2020_07670,0,1561503,1561706,-1,40,0.0172413793103448,204,3,hypothetical protein
R7A2020_07745,R7A2020_07745,0,1579674,1580603,-1,341,0.0176991150442478,930,14,electron transfer flavoprotein subunit alpha/FixB family protein
R7A2020_07750,R7A2020_07750,0,1580628,1581377,-1,314,0.0156739811912226,750,10,electron transfer flavoprotein subunit beta/FixA family protein
R7A2020_07950,R7A2020_07950,0,1616950,1617201,-1,103,0.0186046511627907,252,4,hypothetical protein
R7A2020_08080,R7A2020_08080,0,1647355,1647431,1,3,0.0149253731343284,77,1,
R7A2020_08715,R7A2020_08715,0,1793129,1793794,1,182,0.0158730158730159,666,9,hypothetical protein
R7A2020_08820,R7A2020_08820,0,1816428,1816628,-1,98,0.0175438596491228,201,3,hypothetical protein
R7A2020_09725,R7A2020_09725,0,1994951,1996822,1,924,0.0175879396984925,1872,28,DUF882 domain-containing protein
R7A2020_10485,R7A2020_10485,0,2152607,2152951,-1,92,0.0170068027210884,345,5,winged helix-turn-helix transcriptional regulator
R7A2020_10905,R7A2020_10905,0,2235791,2236513,-1,583,0.016260162601626,723,10,aminoacyl-tRNA hydrolase
R7A2020_11085,R7A2020_11085,0,2262406,2262753,-1,134,0.0168350168350168,348,5,hypothetical protein
R7A2020_12075,R7A2020_12075,0,2465421,2466440,1,555,0.0173010380622837,1020,15,YihY/virulence factor BrkB family protein
R7A2020_12160,R7A2020_12160,0,2490029,2490376,1,193,0.0168350168350168,348,5,hypothetical protein
R7A2020_12435,R7A2020_12435,0,2552260,2554269,-1,711,0.0181392627267408,2010,31,AAA family ATPase
R7A2020_12495,R7A2020_12495,0,2566830,2566973,1,16,0.016260162601626,144,2,hypothetical protein
R7A2020_12630,R7A2020_12630,0,2593636,2593950,1,112,0.0185873605947955,315,5,co-chaperone GroES
R7A2020_12785,R7A2020_12785,0,2619903,2620178,-1,35,0.0169491525423729,276,4,hypothetical protein
R7A2020_12810,R7A2020_12810,0,2623604,2624494,-1,207,0.0171503957783641,891,13,LysR family transcriptional regulator
R7A2020_13000,R7A2020_13000,0,2653081,2653383,1,24,0.0155038759689922,303,4,hypothetical protein
R7A2020_13115,R7A2020_13115,0,2673540,2673734,1,89,0.0179640718562874,195,3,hypothetical protein
R7A2020_15090,R7A2020_15090,0,3073091,3073387,-1,48,0.015748031496063,297,4,type II toxin-antitoxin system RelE/ParE family toxin
R7A2020_15160,R7A2020_15160,0,3086542,3086937,1,398,0.0177514792899408,396,6,hypothetical protein
R7A2020_15435,R7A2020_15435,0,3152757,3152954,-1,80,0.0176470588235294,198,3,hypothetical protein
R7A2020_15520,ssrA,0,3169262,3169622,-1,82,0.0162866449511401,361,5,
R7A2020_15810,R7A2020_15810,0,3225543,3225618,1,3,0.0151515151515152,76,1,
R7A2020_16365,R7A2020_16365,0,3343047,3343232,-1,79,0.0188679245283019,186,3,hypothetical protein
R7A2020_16915,R7A2020_16915,0,3457389,3457462,1,4,0.015625,74,1,
R7A2020_17425,R7A2020_17425,0,3567292,3568173,-1,654,0.016,882,12,CoA ester lyase
R7A2020_17605,R7A2020_17605,0,3609958,3610257,-1,70,0.0156862745098039,300,4,DUF3572 domain-containing protein
R7A2020_17790,R7A2020_17790,0,3654089,3655462,1,667,0.0171086398631309,1374,20,glutamate--tRNA ligase
R7A2020_18690,R7A2020_18690,0,3852751,3853065,-1,39,0.0148698884758364,315,4,hypothetical protein
R7A2020_18915,R7A2020_18915,0,3897822,3897896,-1,108,0.0153846153846154,75,1,
R7A2020_18985,R7A2020_18985,0,3912726,3913340,1,224,0.017175572519084,615,9,DUF1326 domain-containing protein
R7A2020_19145,R7A2020_19145,0,3943212,3943805,-1,234,0.0177865612648221,594,9,histidine phosphatase family protein
R7A2020_19785,R7A2020_19785,0,4062228,4062303,1,117,0.0151515151515152,76,1,
R7A2020_19875,R7A2020_19875,0,4077545,4077766,-1,11,0.0158730158730159,222,3,hypothetical protein
R7A2020_19920,R7A2020_19920,0,4087351,4088613,-1,540,0.0176908752327747,1263,19,N-acetylmuramoyl-L-alanine amidase
R7A2020_19925,R7A2020_19925,0,4089265,4092219,1,1768,0.0163151611619578,2955,41,Rne/Rng family ribonuclease
R7A2020_20060,R7A2020_20060,0,4113463,4113666,-1,31,0.0172413793103448,204,3,DUF3126 family protein
R7A2020_20615,R7A2020_20615,0,4208429,4208641,-1,39,0.0164835164835165,213,3,pseudogene
R7A2020_20655,R7A2020_20655,0,4216318,4216710,-1,163,0.017910447761194,393,6,SUF system Fe-S cluster assembly protein
R7A2020_20845,R7A2020_20845,0,4254648,4255007,1,133,0.0163398692810458,360,5,hypothetical protein
R7A2020_20860,R7A2020_20860,0,4257565,4258803,-1,267,0.0161137440758294,1239,17,type II toxin-antitoxin system HipA family toxin
R7A2020_20865,R7A2020_20865,0,4258820,4260460,-1,701,0.0172043010752688,1641,24,recombinase family protein
R7A2020_20875,R7A2020_20875,0,4261990,4263186,1,329,0.0166830225711482,1197,17,SAVED domain-containing protein
R7A2020_20915,R7A2020_20915,0,4270362,4271177,-1,217,0.0172661870503597,816,12,hypothetical protein
R7A2020_20950,R7A2020_20950,0,4279246,4280112,-1,444,0.016260162601626,867,12,hypothetical protein
R7A2020_20965,R7A2020_20965,0,4281977,4283062,1,238,0.0173160173160173,1086,16,site-specific integrase
R7A2020_20980,R7A2020_20980,0,4285817,4286116,1,186,0.0156862745098039,300,4,hypothetical protein
R7A2020_20990,R7A2020_20990,0,4287332,4288732,1,537,0.0167926112510495,1401,20,hypothetical protein
R7A2020_21260,R7A2020_21260,0,4341030,4341106,1,15,0.0149253731343284,77,1,
R7A2020_21465,R7A2020_21465,0,4376742,4377002,-1,144,0.018018018018018,261,4,DUF982 domain-containing protein
R7A2020_21485,R7A2020_21485,0,4379541,4379690,-1,25,0.015625,150,2,hypothetical protein
R7A2020_21550,R7A2020_21550,0,4390238,4391452,-1,318,0.0154738878143133,1215,16,AI-2E family transporter
R7A2020_22315,R7A2020_22315,0,4551371,4552831,1,344,0.0177133655394525,1461,22,hypothetical protein
R7A2020_22555,R7A2020_22555,0,4593545,4594621,-1,290,0.0163576881134133,1077,15,acyltransferase
R7A2020_22560,R7A2020_22560,0,4594656,4595885,-1,271,0.0152963671128107,1230,16,acyltransferase
R7A2020_22685,R7A2020_22685,0,4614224,4614433,1,116,0.0167597765363128,210,3,hypothetical protein
R7A2020_22810,R7A2020_22810,0,4630903,4631427,1,118,0.0156599552572707,525,7,siphovirus Gp157 family protein
R7A2020_23005,R7A2020_23005,0,4664606,4665058,-1,117,0.0155440414507772,453,6,MucR family transcriptional regulator
R7A2020_23345,R7A2020_23345,0,4728966,4729634,1,151,0.0157894736842105,669,9,CvpA family protein
R7A2020_23630,R7A2020_23630,0,4783368,4783967,-1,162,0.0176470588235294,600,9,DUF2062 domain-containing protein
R7A2020_24475,R7A2020_24475,0,4974095,4975822,-1,675,0.0170068027210884,1728,25,hypothetical protein
R7A2020_24580,R7A2020_24580,0,4996750,4996824,1,29,0.0153846153846154,75,1,
R7A2020_24870,pdxH,0,5051557,5052174,1,309,0.015180265654649,618,8,pyridoxamine 5'-phosphate oxidase
R7A2020_26455,R7A2020_26455,0,5389873,5389998,-1,30,0.0185185185185185,126,2,pseudogene
R7A2020_26560,R7A2020_26560,0,5410091,5410990,-1,358,0.0183006535947712,900,14,N-acetyltransferase
R7A2020_27210,R7A2020_27210,0,5549086,5549298,1,67,0.0164835164835165,213,3,pseudogene
R7A2020_27570,R7A2020_27570,0,5633863,5634822,-1,375,0.0183823529411765,960,15,aldo/keto reductase
R7A2020_27820,R7A2020_27820,0,5692091,5692597,1,365,0.0185185185185185,507,8,transcriptional regulator
R7A2020_27925,R7A2020_27925,0,5714683,5715561,-1,448,0.0186915887850467,879,14,carbohydrate ABC transporter permease
R7A2020_31425,R7A2020_31425,0,6505935,6506621,1,130,0.0188034188034188,687,11,sel1 repeat family protein
