locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00005,dnaA,0,1,1545,1,0,0,1545,0,chromosomal replication initiator protein DnaA
R7A2020_00010,R7A2020_00010,0,1851,2969,1,0,0,1119,0,DNA polymerase III subunit beta
R7A2020_00015,recF,0,3053,4192,1,131,0.00928792569659443,1140,9,DNA replication/repair protein RecF
R7A2020_00020,R7A2020_00020,0,4224,4976,1,68,0.0249609984399376,753,16,molybdopterin-synthase adenylyltransferase MoeB
R7A2020_00025,R7A2020_00025,0,4991,5467,1,116,0.0343980343980344,477,14,GNAT family N-acetyltransferase
R7A2020_00030,R7A2020_00030,0,5518,6519,-1,137,0.0293427230046948,1002,25,D-glycerate dehydrogenase
R7A2020_00035,R7A2020_00035,0,6668,7228,1,0,0,561,0,hypothetical protein
R7A2020_00040,R7A2020_00040,0,7218,7607,-1,99,0.0271084337349398,390,9,DUF4260 domain-containing protein
R7A2020_00045,R7A2020_00045,0,7664,8095,-1,7,0.0108695652173913,432,4,transcriptional repressor
R7A2020_00050,fabA,0,8338,8853,1,0,0,516,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA
R7A2020_00055,fabB,0,8903,10123,1,0,0,1221,0,beta-ketoacyl-ACP synthase I
R7A2020_00060,fabI,0,10155,10958,1,162,0.0190058479532164,804,13,enoyl-ACP reductase FabI
R7A2020_00065,R7A2020_00065,0,11114,12658,1,151,0.0144596651445967,1545,19,bifunctional diguanylate cyclase/phosphodiesterase
R7A2020_00070,R7A2020_00070,0,12664,13674,-1,171,0.0162790697674419,1011,14,class I SAM-dependent methyltransferase
R7A2020_00075,pnp,0,13800,15947,-1,0,0,2148,0,polyribonucleotide nucleotidyltransferase
R7A2020_00080,rpsO,0,16357,16626,-1,0,0,270,0,30S ribosomal protein S15
R7A2020_00085,corA,0,16808,17902,-1,64,0.0171673819742489,1095,16,magnesium/cobalt transporter CorA
R7A2020_00090,truB,0,17947,18924,-1,102,0.0132052821128451,978,11,tRNA pseudouridine(55) synthase TruB
R7A2020_00095,rbfA,0,18924,19379,-1,36,0.012853470437018,456,5,30S ribosome-binding factor RbfA
R7A2020_00100,infB,0,19554,22136,-1,7,0.000910746812386157,2583,2,translation initiation factor IF-2
R7A2020_00105,R7A2020_00105,0,22133,22783,-1,0,0,651,0,RNA-binding protein
R7A2020_00110,nusA,0,22822,24417,-1,0,0,1596,0,transcription termination/antitermination protein NusA
R7A2020_00115,rimP,0,24467,25114,-1,0,0,648,0,ribosome maturation factor RimP
R7A2020_00120,R7A2020_00120,0,25401,25565,1,0,0,165,0,hypothetical protein
R7A2020_00125,trmB,0,25589,26290,-1,107,0.0201005025125628,702,12,tRNA (guanosine(46)-N7)-methyltransferase TrmB
R7A2020_00130,R7A2020_00130,0,26316,27581,-1,0,0,1266,0,methionine adenosyltransferase
R7A2020_00135,R7A2020_00135,0,27750,28169,-1,53,0.0224089635854342,420,8,helix-turn-helix transcriptional regulator
R7A2020_00140,lnt,0,28308,29900,-1,163,0.0169741697416974,1593,23,apolipoprotein N-acyltransferase
R7A2020_00145,R7A2020_00145,0,30081,31025,-1,200,0.027363184079602,945,22,LysR family transcriptional regulator
R7A2020_00150,R7A2020_00150,0,31126,31887,1,114,0.0231481481481481,762,15,SDR family oxidoreductase
R7A2020_00155,R7A2020_00155,0,31913,32383,-1,71,0.0324189526184539,471,13,glyoxalase
R7A2020_00160,R7A2020_00160,0,32397,33473,-1,150,0.0207197382769902,1077,19,HlyC/CorC family transporter
R7A2020_00165,ybeY,0,33501,34001,-1,10,0.00234741784037559,501,1,rRNA maturation RNase YbeY
R7A2020_00170,R7A2020_00170,0,34020,35069,-1,100,0.0201567749160134,1050,18,PhoH family protein
R7A2020_00175,miaB,0,35096,36505,-1,241,0.0233527939949958,1410,28,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
R7A2020_00180,R7A2020_00180,0,36582,37382,-1,49,0.0205580029368576,801,14,1-acyl-sn-glycerol-3-phosphate acyltransferase
R7A2020_00185,rimI,0,37410,37904,-1,19,0.00947867298578199,495,4,ribosomal protein S18-alanine N-acetyltransferase
R7A2020_00190,tsaB,0,37904,38581,-1,0,0,678,0,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
R7A2020_00195,R7A2020_00195,0,38678,39781,-1,208,0.0255591054313099,1104,24,DUF1513 domain-containing protein
R7A2020_00200,R7A2020_00200,0,39784,40863,-1,67,0.0174291938997821,1080,16,peptidase M75, Imelysin
R7A2020_00205,R7A2020_00205,0,40863,42464,-1,206,0.0212922173274596,1602,29,c-type cytochrome
R7A2020_00210,bfr,0,42477,42962,-1,81,0.0193236714975845,486,8,bacterioferritin
R7A2020_00215,R7A2020_00215,0,42928,43239,-1,11,0.0075187969924812,312,2,(2Fe-2S)-binding protein
R7A2020_00220,R7A2020_00220,0,43352,44641,-1,92,0.0072926162260711,1290,8,peptidase
R7A2020_00225,R7A2020_00225,0,45077,46330,1,0,0,1254,0,FAD-dependent oxidoreductase
R7A2020_00230,R7A2020_00230,0,46435,47712,-1,265,0.0248161764705882,1278,27,4-aminobutyrate--2-oxoglutarate transaminase
R7A2020_00235,R7A2020_00235,0,47950,49089,1,182,0.0206398348813209,1140,20,efflux RND transporter periplasmic adaptor subunit
R7A2020_00240,R7A2020_00240,0,49086,50156,1,145,0.0230515916575192,1071,21,efflux RND transporter periplasmic adaptor subunit
R7A2020_00245,R7A2020_00245,0,50153,53212,1,639,0.0226835832372165,3060,59,efflux RND transporter permease subunit
R7A2020_00250,R7A2020_00250,0,53287,54033,-1,123,0.0283018867924528,747,18,ABC transporter ATP-binding protein
R7A2020_00255,R7A2020_00255,0,54030,54866,-1,96,0.0182328190743338,837,13,ABC transporter ATP-binding protein
R7A2020_00260,R7A2020_00260,0,54863,55783,-1,79,0.0178799489144317,921,14,ABC transporter permease
R7A2020_00265,R7A2020_00265,0,55780,56841,-1,122,0.0254706533776301,1062,23,ABC transporter permease
R7A2020_00270,R7A2020_00270,0,56860,58503,-1,242,0.0185979971387697,1644,26,ABC transporter substrate-binding protein
R7A2020_00275,R7A2020_00275,0,58765,60012,-1,124,0.0178907721280603,1248,19,lytic murein transglycosylase
R7A2020_00280,recR,0,60033,60638,-1,102,0.0155038759689922,606,8,recombination protein RecR
R7A2020_00285,R7A2020_00285,0,60730,61731,-1,84,0.0234741784037559,1002,20,cell wall hydrolase
R7A2020_00290,R7A2020_00290,0,61961,62368,-1,28,0.0229885057471264,408,8,hypothetical protein
R7A2020_00295,R7A2020_00295,0,62444,62767,-1,39,0.0181159420289855,324,5,YbaB/EbfC family nucleoid-associated protein
R7A2020_00300,R7A2020_00300,0,62791,64608,-1,0,0,1818,0,DNA polymerase III subunit gamma/tau
R7A2020_00305,ffs,0,64712,64808,-1,0,0,97,0,
