locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
R7A2020_00335,R7A2020_00335,0,68544,69191,1,297,0.0144927536231884,648,8,cytochrome c family protein
R7A2020_00795,R7A2020_00795,0,171899,172372,-1,176,0.0148514851485149,474,6,DUF805 domain-containing protein
R7A2020_01950,tsaE,0,429386,430897,1,1126,0.0132192846034215,1512,17,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
R7A2020_02025,R7A2020_02025,0,446090,446848,-1,653,0.0139103554868624,759,9,M48 family metallopeptidase
R7A2020_02060,rplT,0,451560,451961,1,1068,0.0146198830409357,402,5,50S ribosomal protein L20
R7A2020_03000,R7A2020_03000,0,628989,629723,1,222,0.0159744408945687,735,10,TetR/AcrR family transcriptional regulator
R7A2020_03050,R7A2020_03050,0,637401,637703,1,44,0.0155038759689922,303,4,hypothetical protein
R7A2020_03470,R7A2020_03470,0,732469,732553,-1,4,0.0136986301369863,85,1,
R7A2020_04810,rplS,0,996300,996845,1,756,0.0150537634408602,546,7,50S ribosomal protein L19
R7A2020_05285,R7A2020_05285,0,1087192,1087267,-1,36,0.0151515151515152,76,1,
R7A2020_06095,ruvC,0,1251708,1252217,1,94,0.0138248847926267,510,6,crossover junction endodeoxyribonuclease RuvC
R7A2020_06115,ruvB,0,1253632,1254669,1,766,0.0158371040723982,1038,14,Holliday junction branch migration DNA helicase RuvB
R7A2020_06160,ybgF,0,1262592,1263704,1,849,0.0158394931362196,1113,15,tol-pal system protein YbgF
R7A2020_06320,phaR,0,1302367,1302978,1,950,0.0134357005758157,612,7,polyhydroxyalkanoate synthesis repressor PhaR
R7A2020_06530,R7A2020_06530,0,1339918,1340919,-1,310,0.0152582159624413,1002,13,DUF4034 domain-containing protein
R7A2020_07205,R7A2020_07205,0,1470390,1471031,-1,649,0.0146520146520147,642,8,hypothetical protein
R7A2020_07810,R7A2020_07810,0,1590040,1590124,1,13,0.0136986301369863,85,1,
