locus_tag,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ICESym,NSTB_ii,NSGR_ii,NSTY_ii,WTTB_ii,WTGR_ii,WTTY_ii,TY_state,GR_state,TB_state,NS_ii,WT_ii,ES_state,ICE_state
R7A2020_00005,L,chromosomal replication initiator protein DnaA,K02313,chromosomal replication initiator protein,dnaA,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,1,1545,1545,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_00010,L,DNA polymerase III subunit beta,K02338,DNA polymerase III subunit beta [EC:2.7.7.7],dnaN,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",R7A2020_00010,1851,2969,1119,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_00015,NA,DNA replication/repair protein RecF,K03629,DNA replication and repair protein RecF,recF,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP",recF,3053,4192,1140,1,FALSE,0.076367389,0.04127967,0.04127967,0.070175439,0.01754386,0.039215686,NE,NE,NE,0.162022704,0.140350877,NE,NA
R7A2020_00020,NA,molybdopterin-synthase adenylyltransferase MoeB,NA,NA,moeB,H,involved in molybdopterin and thiamine biosynthesis family 2,R7A2020_00020,4224,4976,753,1,FALSE,0.079563183,0.048361934,0.062402496,0.088923557,0.040561622,0.037441498,NE,NE,NE,0.190327613,0.173166927,NE,NA
R7A2020_00025,NA,GNAT family N-acetyltransferase,NA,NA,NA,K,Acetyltransferase (GNAT) domain,R7A2020_00025,4991,5467,477,1,FALSE,0.081081081,0.071253071,0.049140049,0.073710074,0.066339066,0.041769042,NE,NE,NE,0.206388206,0.196560197,NE,NA
R7A2020_00030,NA,D-glycerate dehydrogenase,K00015,glyoxylate reductase [EC:1.1.1.26],gyaR,CH,D-isomer specific 2-hydroxyacid dehydrogenase,R7A2020_00030,5518,6519,1002,-1,FALSE,0.07629108,0.0657277,0.04342723,0.091549296,0.052816901,0.051643192,NE,NE,NE,0.180751174,0.203051643,NE,NA
R7A2020_00035,HYP,hypothetical protein,NA,NA,MA20_24010,S,Bacterial SH3 domain,R7A2020_00035,6668,7228,561,1,FALSE,0,0,0,0.002096436,0,0.002096436,TY-ES,GR-ES,TB-ES,0,0.004192872,CORE-ES,NA
R7A2020_00040,NA,DUF4260 domain-containing protein,NA,NA,NA,S,Domain of unknown function (DUF4260),R7A2020_00040,7218,7607,390,-1,FALSE,0.063253012,0.072289157,0.063253012,0.063253012,0.057228916,0.090361446,NE,NE,NE,0.18373494,0.180722892,NE,NA
R7A2020_00045,NA,transcriptional repressor,K09826,"Fur family transcriptional regulator, iron response regulator",fur,K,Belongs to the Fur family,R7A2020_00045,7664,8095,432,-1,FALSE,0.019021739,0.057065217,0.027173913,0.054347826,0.02173913,0.04076087,NE,NE,NE,0.108695652,0.114130435,NE,NA
R7A2020_00050,I,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,K01716,3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14],fabA,I,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length",fabA,8338,8853,516,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_00055,I,beta-ketoacyl-ACP synthase I,K00647,3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],fabB,IQ,Belongs to the beta-ketoacyl-ACP synthases family,fabB,8903,10123,1221,1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,9.63E-04,0,CORE-ES,NA
R7A2020_00060,NA,enoyl-ACP reductase FabI,K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI,I,Enoyl- acyl-carrier-protein reductase NADH,fabI,10155,10958,804,1,FALSE,0.074561404,0.055555556,0.046783626,0.073099415,0.036549708,0.046783626,NE,NE,NE,0.165204678,0.156432749,NE,NA
R7A2020_00065,NA,bifunctional diguanylate cyclase/phosphodiesterase,K21023,diguanylate cyclase [EC:2.7.7.65],NA,T,Putative diguanylate phosphodiesterase,R7A2020_00065,11114,12658,1545,1,FALSE,0.072298326,0.04261796,0.04109589,0.062404871,0.026636225,0.03957382,NE,NE,NE,0.152207002,0.129375951,NE,NA
R7A2020_00070,NA,class I SAM-dependent methyltransferase,K00564,16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172],rsmC,J,methyltransferase small,R7A2020_00070,12664,13674,1011,-1,FALSE,0.077906977,0.034883721,0.045348837,0.06627907,0.038372093,0.045348837,NE,NE,NE,0.165116279,0.134883721,NE,NA
R7A2020_00075,J,polyribonucleotide nucleotidyltransferase,K00962,polyribonucleotide nucleotidyltransferase [EC:2.7.7.8],pnp,J,Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction,pnp,13800,15947,2148,-1,FALSE,0.001642036,0,5.47E-04,5.47E-04,0,0,TY-ES,GR-ES,TB-ES,0.004378763,0.001094691,CORE-ES,NA
R7A2020_00080,J,30S ribosomal protein S15,K02956,small subunit ribosomal protein S15,rpsO,J,Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome,rpsO,16357,16626,270,-1,FALSE,0.004347826,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0.004347826,0.004347826,CORE-ES,NA
R7A2020_00085,NA,magnesium/cobalt transporter CorA,K03284,magnesium transporter,corA,P,Mediates influx of magnesium ions,corA,16808,17902,1095,-1,FALSE,0.069742489,0.051502146,0.048283262,0.074034335,0.033261803,0.067596567,NE,NE,NE,0.167381974,0.174892704,NE,NA
R7A2020_00090,NA,tRNA pseudouridine(55) synthase TruB,K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25],truB,J,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,truB,17947,18924,978,-1,FALSE,0.050420168,0.036014406,0.034813926,0.058823529,0.024009604,0.036014406,NE,NE,NE,0.12364946,0.114045618,NE,NA
R7A2020_00095,J,30S ribosome-binding factor RbfA,K02834,ribosome-binding factor A,rbfA,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,rbfA,18924,19379,456,-1,FALSE,0.061696658,0.01285347,0.043701799,0.071979434,0.020565553,0.048843188,NE,GR-GD,NE,0.131105398,0.136246787,NE,NA
R7A2020_00100,J,translation initiation factor IF-2,K02519,translation initiation factor IF-2,infB,J,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,infB,19554,22136,2583,-1,FALSE,4.55E-04,0,0,0,9.11E-04,0,TY-ES,GR-ES,TB-ES,9.11E-04,0.00136612,CORE-ES,NA
R7A2020_00105,K,RNA-binding protein,K07742,uncharacterized protein,ylxR,K,Protein of unknown function (DUF448),R7A2020_00105,22133,22783,651,-1,FALSE,0.012635379,0,0.003610108,0.009025271,0.001805054,0.001805054,TY-ES,GR-ES,TB-ES,0.02166065,0.012635379,CORE-ES,NA
R7A2020_00110,K,transcription termination/antitermination protein NusA,K02600,transcription termination/antitermination protein NusA,nusA,K,Participates in both transcription termination and antitermination,nusA,22822,24417,1596,-1,FALSE,0.008100147,0,0.002209131,0.00736377,0,0.003681885,TY-ES,GR-ES,TB-ES,0.015463918,0.014727541,CORE-ES,NA
R7A2020_00115,J,ribosome maturation factor RimP,K09748,ribosome maturation factor RimP,rimP,S,Required for maturation of 30S ribosomal subunits,rimP,24467,25114,648,-1,FALSE,0.009057971,0.003623188,0.001811594,0.007246377,0,0.007246377,TY-ES,GR-ES,TB-ES,0.023550725,0.014492754,CORE-ES,NA
R7A2020_00120,HYP,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00120,25401,25565,165,1,FALSE,0.035460993,0.014184397,0.04964539,0.078014184,0.007092199,0.028368794,NE,SHORT,NE,0.106382979,0.141843972,NE,NA
R7A2020_00125,NA,tRNA (guanosine(46)-N7)-methyltransferase TrmB,K03439,tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33],trmB,J,Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA,trmB,25589,26290,702,-1,FALSE,0.08040201,0.036850921,0.046901173,0.077051926,0.035175879,0.065326633,NE,NE,NE,0.175879397,0.157453936,NE,NA
R7A2020_00130,H,methionine adenosyltransferase,K00789,S-adenosylmethionine synthetase [EC:2.5.1.6],metK,H,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",R7A2020_00130,26316,27581,1266,-1,FALSE,0,0,0,0,0,0.002785515,TY-ES,GR-ES,TB-ES,0.00185701,0.004642526,CORE-ES,NA
R7A2020_00135,K,helix-turn-helix transcriptional regulator,NA,NA,MA20_23890,K,transcriptional,R7A2020_00135,27750,28169,420,-1,FALSE,0.025210084,0.025210084,0.019607843,0.019607843,0.022408964,0.044817927,NE,NE,NE,0.078431373,0.072829132,NE,NA
R7A2020_00140,NA,apolipoprotein N-acyltransferase,K03820,apolipoprotein N-acyltransferase [EC:2.3.1.269],lnt,M,Transfers the fatty acyl group on membrane lipoproteins,lnt,28308,29900,1593,-1,FALSE,0.04797048,0.030258303,0.021402214,0.049446494,0.034686347,0.030258303,NE,NE,NE,0.105535055,0.126199262,NE,NA
R7A2020_00145,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_00145,30081,31025,945,-1,FALSE,0.078358209,0.064676617,0.059701493,0.103233831,0.043532338,0.077114428,NE,NE,NE,0.195273632,0.208955224,NE,NA
R7A2020_00150,NA,SDR family oxidoreductase,NA,NA,NA,IQ,KR domain,R7A2020_00150,31126,31887,762,1,FALSE,0.101851852,0.063271605,0.052469136,0.092592593,0.038580247,0.070987654,NE,NE,NE,0.209876543,0.188271605,NE,NA
R7A2020_00155,NA,glyoxalase,NA,NA,NA,S,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00155,31913,32383,471,-1,FALSE,0.082294264,0.057356608,0.079800499,0.08478803,0.059850374,0.064837905,NE,NE,NE,0.177057357,0.174563591,NE,NA
R7A2020_00160,NA,HlyC/CorC family transporter,NA,NA,tlyC,S,COG1253 Hemolysins and related proteins containing CBS domains,R7A2020_00160,32397,33473,1077,-1,FALSE,0.103598691,0.053435115,0.074154853,0.092693566,0.039258451,0.056706652,NE,NE,NE,0.230098146,0.184296619,NE,NA
R7A2020_00165,J,rRNA maturation RNase YbeY,K07042,probable rRNA maturation factor,ybeY,J,Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA,ybeY,33501,34001,501,-1,FALSE,0.030516432,0.007042254,0.014084507,0.014084507,0.004694836,0.002347418,TY-ES,GR-ES,TB-GD,0.077464789,0.037558685,NE,NA
R7A2020_00170,NA,PhoH family protein,K06217,phosphate starvation-inducible protein PhoH and related proteins,phoH,T,Phosphate starvation-inducible protein PhoH,R7A2020_00170,34020,35069,1050,-1,FALSE,0.101903695,0.057110862,0.048152296,0.090705487,0.036954087,0.066069429,NE,NE,NE,0.198208287,0.18924972,NE,NA
R7A2020_00175,NA,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],miaB,J,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",miaB,35096,36505,1410,-1,FALSE,0.097581318,0.068390325,0.052543786,0.081734779,0.042535446,0.069224354,NE,NE,NE,0.211843203,0.190992494,NE,NA
R7A2020_00180,NA,1-acyl-sn-glycerol-3-phosphate acyltransferase,K22617,lyso-ornithine lipid O-acyltransferase [EC:2.3.1.270],plsC,I,Acyltransferase,R7A2020_00180,36582,37382,801,-1,FALSE,0.07195301,0.04845815,0.058737151,0.058737151,0.046989721,0.063142438,NE,NE,NE,0.177679883,0.162995595,NE,NA
R7A2020_00185,NA,ribosomal protein S18-alanine N-acetyltransferase,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],rimI,K,FR47-like protein,rimI,37410,37904,495,-1,FALSE,0.059241706,0.059241706,0.075829384,0.061611374,0.04028436,0.071090047,NE,NE,NE,0.191943128,0.177725118,NE,NA
R7A2020_00190,O,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,K14742,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,yeaZ,O,Peptidase M22 glycoprotease,tsaB,37904,38581,678,-1,FALSE,0,0,0.001730104,0,0.001730104,0,TY-ES,GR-ES,TB-ES,0.003460208,0.001730104,CORE-ES,NA
R7A2020_00195,NA,DUF1513 domain-containing protein,K09947,uncharacterized protein,NA,S,Protein of unknown function (DUF1513),R7A2020_00195,38678,39781,1104,-1,FALSE,0.068157614,0.041533546,0.059637913,0.072417465,0.039403621,0.048988285,NE,NE,NE,0.15228967,0.153354633,NE,NA
R7A2020_00200,NA,peptidase M75,K07338,uncharacterized protein,IV02_02405,S,Imelysin,R7A2020_00200,39784,40863,1080,-1,FALSE,0.063180828,0.050108932,0.047930283,0.062091503,0.035947712,0.045751634,NE,NE,NE,0.163398693,0.144880174,NE,NA
R7A2020_00205,NA,c-type cytochrome,NA,NA,NA,C,Thiol oxidoreductase,R7A2020_00205,40863,42464,1602,-1,FALSE,0.055066079,0.053597651,0.047723935,0.064610866,0.034508076,0.055066079,NE,NE,NE,0.149779736,0.158590308,NE,NA
R7A2020_00210,NA,bacterioferritin,K03594,bacterioferritin [EC:1.16.3.1],bfr,P,"Iron-storage protein, whose ferroxidase center binds Fe(2 ) ions, oxidizes them by dioxygen to Fe(3 ), and participates in the subsequent Fe(3 ) oxide mineral core formation within the central cavity of the protein complex",bfr,42477,42962,486,-1,FALSE,0.070048309,0.048309179,0.060386473,0.06763285,0.028985507,0.050724638,NE,NE,NE,0.169082126,0.152173913,NE,NA
R7A2020_00215,H,(2Fe-2S)-binding protein,NA,NA,bfd,P,"2 iron, 2 sulfur cluster binding",R7A2020_00215,42928,43239,312,-1,FALSE,0.04887218,0.063909774,0.037593985,0.109022556,0.011278195,0.045112782,NE,WT-GR-ES,NE,0.139097744,0.184210526,NE,NA
R7A2020_00220,NA,peptidase,K07231,putative iron-regulated protein,irpA,P,Imelysin,R7A2020_00220,43352,44641,1290,-1,FALSE,0.057429353,0.043755697,0.050136737,0.056517776,0.030082042,0.038286235,NE,NE,NE,0.141294439,0.124886053,NE,NA
R7A2020_00225,S,FAD-dependent oxidoreductase,K00529,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],thcD,S,pyridine nucleotide-disulfide oxidoreductase,R7A2020_00225,45077,46330,1254,1,FALSE,0.0131209,0.001874414,0.015932521,0.002811621,0.001874414,0.009372071,TY-ES,GR-ES,TB-ES,0.033739456,0.018744142,GD,NA
R7A2020_00230,NA,4-aminobutyrate--2-oxoglutarate transaminase,K00823,4-aminobutyrate aminotransferase [EC:2.6.1.19],gabT,E,Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family,R7A2020_00230,46435,47712,1278,-1,FALSE,0.098345588,0.064338235,0.068933824,0.089154412,0.055147059,0.0625,NE,NE,NE,0.201286765,0.193933824,NE,NA
R7A2020_00235,NA,efflux RND transporter periplasmic adaptor subunit,K21136,"membrane fusion protein, multidrug efflux system",triA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00235,47950,49089,1140,1,FALSE,0.087719298,0.058823529,0.04747162,0.079463364,0.042311662,0.053663571,NE,NE,NE,0.192982456,0.179566563,NE,NA
R7A2020_00240,NA,efflux RND transporter periplasmic adaptor subunit,K21137,"membrane fusion protein, multidrug efflux system",NA,M,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,R7A2020_00240,49086,50156,1071,1,FALSE,0.110867179,0.073545554,0.079034029,0.105378705,0.050493963,0.081229418,NE,NE,NE,0.234906696,0.228320527,NE,NA
R7A2020_00245,NA,efflux RND transporter permease subunit,K21134,multidrug efflux pump,czcA,V,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,R7A2020_00245,50153,53212,3060,1,FALSE,0.082276048,0.062283737,0.071510957,0.091503268,0.050749712,0.051134179,NE,NE,NE,0.201460977,0.197616301,NE,NA
R7A2020_00250,NA,ABC transporter ATP-binding protein,NA,NA,dppFch3,EP,ABC transporter,R7A2020_00250,53287,54033,747,-1,FALSE,0.072327044,0.044025157,0.045597484,0.059748428,0.04245283,0.033018868,NE,NE,NE,0.169811321,0.143081761,NE,NA
R7A2020_00255,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,dppD,EP,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_00255,54030,54866,837,-1,FALSE,0.079943899,0.060308555,0.058906031,0.064516129,0.040673212,0.043478261,NE,NE,NE,0.187938289,0.145862553,NE,NA
R7A2020_00260,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,ddpC,EP,membrane component,R7A2020_00260,54863,55783,921,-1,FALSE,0.072796935,0.049808429,0.04853129,0.067688378,0.039591315,0.054916986,NE,NE,NE,0.174968072,0.154533844,NE,NA
R7A2020_00265,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,dppBch3,EP,ABC-type dipeptide oligopeptide nickel transport,R7A2020_00265,55780,56841,1062,-1,FALSE,0.094130676,0.053156146,0.058693245,0.085271318,0.03986711,0.060908084,NE,NE,NE,0.196013289,0.179401993,NE,NA
R7A2020_00270,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,dppAch3,E,ABC-type dipeptide transport system periplasmic component,R7A2020_00270,56860,58503,1644,-1,FALSE,0.070815451,0.052932761,0.04148784,0.071530758,0.037911302,0.049356223,NE,NE,NE,0.165951359,0.157367668,NE,NA
R7A2020_00275,NA,lytic murein transglycosylase,K08305,membrane-bound lytic murein transglycosylase B [EC:4.2.2.-],mltB,M,Lytic murein transglycosylase,R7A2020_00275,58765,60012,1248,-1,FALSE,0.053672316,0.04519774,0.035781544,0.057438795,0.032015066,0.054613936,NE,NE,NE,0.142184557,0.151600753,NE,NA
R7A2020_00280,NA,recombination protein RecR,K06187,recombination protein RecR,recR,L,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO,recR,60033,60638,606,-1,FALSE,0.112403101,0.063953488,0.05620155,0.120155039,0.036821705,0.058139535,NE,NE,NE,0.218992248,0.253875969,NE,NA
R7A2020_00285,NA,cell wall hydrolase,K01449,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28],cwlJ,M,Cell wall hydrolyses involved in spore germination,R7A2020_00285,60730,61731,1002,-1,FALSE,0.085680751,0.037558685,0.049295775,0.091549296,0.044600939,0.0657277,NE,NE,NE,0.170187793,0.19600939,NE,NA
R7A2020_00290,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00290,61961,62368,408,-1,FALSE,0.08045977,0.048850575,0.031609195,0.048850575,0.040229885,0.037356322,NE,NE,NE,0.158045977,0.126436782,NE,NA
R7A2020_00295,NA,YbaB/EbfC family nucleoid-associated protein,K09747,uncharacterized protein,ybaB,S,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection",R7A2020_00295,62444,62767,324,-1,FALSE,0.101449275,0.039855072,0.057971014,0.101449275,0.061594203,0.09057971,NE,NE,NE,0.221014493,0.217391304,NE,NA
R7A2020_00300,L,DNA polymerase III subunit gamma/tau,K02343,DNA polymerase III subunit gamma/tau [EC:2.7.7.7],dnaX,L,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity",R7A2020_00300,62791,64608,1818,-1,FALSE,0,6.46E-04,6.46E-04,0,0,0,TY-ES,GR-ES,TB-ES,0.001939237,6.46E-04,CORE-ES,NA
R7A2020_00305,J,NA,NA,NA,NA,NA,NA,ffs,64712,64808,97,-1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0,CORE-ES,NA
R7A2020_00310,NA,HIT domain-containing protein,NA,NA,MA20_21960,FG,Histidine triad (HIT) protein,R7A2020_00310,64953,65372,420,1,FALSE,0.072829132,0.072829132,0.067226891,0.084033613,0.033613445,0.092436975,NE,NE,NE,0.18487395,0.19047619,NE,NA
R7A2020_00315,NA,NAD(+) diphosphatase,K03426,NAD+ diphosphatase [EC:3.6.1.22],nudC,L,NADH pyrophosphatase-like rudimentary NUDIX domain,nudC,65444,66388,945,1,FALSE,0.09079602,0.065920398,0.070895522,0.073383085,0.050995025,0.060945274,NE,NE,NE,0.205223881,0.180348259,NE,NA
R7A2020_00320,NA,Dabb family protein,NA,NA,NA,S,Stress responsive A/B Barrel Domain,R7A2020_00320,66420,66725,306,1,FALSE,0.057471264,0.057471264,0.042145594,0.072796935,0.034482759,0.084291188,NE,NE,NE,0.168582375,0.183908046,NE,NA
R7A2020_00325,E,prephenate dehydratase,K04518,prephenate dehydratase [EC:4.2.1.51],pheA,E,Prephenate dehydratase,R7A2020_00325,66722,67585,864,-1,FALSE,0.084353741,0,0.055782313,0.102040816,0,0.069387755,NE,GR-ES,NE,0.165986395,0.19047619,NE,NA
R7A2020_00330,M,3-deoxy-manno-octulosonate cytidylyltransferase,K00979,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38],kdsB,M,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria,R7A2020_00330,67622,68350,729,-1,FALSE,0,0,0,0,0,0,TY-ES,GR-ES,TB-ES,0,0.001610306,CORE-ES,NA
R7A2020_00335,C,cytochrome c family protein,K08738,cytochrome c,cycM,C,"Cytochrome c, class I",R7A2020_00335,68544,69191,648,1,FALSE,0.041666667,0.018115942,0.014492754,0.036231884,0.009057971,0.030797101,TY-GD,GR-GD,NE,0.079710145,0.085144928,NE,NA
R7A2020_00340,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00340,69363,71240,1878,1,FALSE,0.050062578,0.026908636,0.032540676,0.038172716,0.0281602,0.047559449,NE,NE,NE,0.122653317,0.119524406,NE,NA
R7A2020_00345,NA,ABC transporter substrate-binding protein,K13893,microcin C transport system substrate-binding protein,yejA,E,ABC-type oligopeptide transport system periplasmic component,R7A2020_00345,71240,73108,1869,1,FALSE,0.068553459,0.047798742,0.045283019,0.062264151,0.035849057,0.04591195,NE,NE,NE,0.142138365,0.137106918,NE,NA
